campaign_map_attrition_unit_immunities_tables
0
attrition	unit
non_vampire_territory	brt_macemen
non_vampire_territory	brt_crossbow
non_vampire_territory	brt_tournament
chaos_territory	bst_Pestigor
horde_infighting	bst_Pestigor
non_vampire_territory	bst_Pestigor
swamp	bst_Pestigor
chaos_territory	bst_Khorngor
horde_infighting	bst_Khorngor
non_vampire_territory	bst_Khorngor
swamp	bst_Khorngor
chaos_territory	bst_Slaangor
horde_infighting	bst_Slaangor
non_vampire_territory	bst_Slaangor
swamp	bst_Slaangor
chaos_territory	bst_Tzaangor
horde_infighting	bst_Tzaangor
non_vampire_territory	bst_Tzaangor
swamp	bst_Tzaangor
chaos_territory	chs_chaos_dragon
mountain	chs_chaos_dragon
non_vampire_territory	chs_chaos_dragon
snow	chs_chaos_dragon
chaos_territory	chs_marauder_mutant
mountain	chs_marauder_mutant
non_vampire_territory	chs_marauder_mutant
snow	chs_marauder_mutant
chaos_territory	chs_zelot
mountain	chs_zelot
non_vampire_territory	chs_zelot
snow	chs_zelot
mountain	dwf_oathsworn
non_vampire_territory	dwf_oathsworn
snow	dwf_oathsworn
mountain	dwf_giant_slayer
non_vampire_territory	dwf_giant_slayer
snow	dwf_giant_slayer
mountain	dwf_sniper
non_vampire_territory	dwf_sniper
snow	dwf_sniper
non_vampire_territory	emp_imp_guard
non_vampire_territory	emp_huntsmen
non_vampire_territory	emp_sigmar_war
non_vampire_territory	emp_witch_squad
non_vampire_territory	emp_nuln_ironsides
non_vampire_territory	emp_knights_panther
desert	grn_savage_big_great
non_vampire_territory	grn_savage_big_great
wasteland	grn_savage_big_great
desert	grn_black_orc_shields
non_vampire_territory	grn_black_orc_shields
wasteland	grn_black_orc_shields
desert	grn_black_orc_boss
non_vampire_territory	grn_black_orc_boss
wasteland	grn_black_orc_boss
desert	grn_forest_spear
non_vampire_territory	grn_forest_spear
wasteland	grn_forest_spear
desert	grn_nightgoblin_spearmen
non_vampire_territory	grn_nightgoblin_spearmen
wasteland	grn_nightgoblin_spearmen
vampire_territory	vmp_black_grail
vampire_territory	vmp_blood_dragon
vampire_territory	vmp_zombie_dragon
athel_loren	wef_shadowdancer
non_vampire_territory	wef_shadowdancer
athel_loren	wef_eternal_sword
non_vampire_territory	wef_eternal_sword
athel_loren	wef_wildwood_warden
non_vampire_territory	wef_wildwood_warden
horde_infighting	chs_marauder_mutant
horde_infighting	chs_zelot
horde_infighting	chs_chaos_dragon
