building_instances_tables
0
key	num_instances
wh2_main_EMPIRE_academy	1
wh2_main_EMPIRE_roads	1
wh2_main_VAMPIRES_dragons	1
wh2_main_VAMPIRES_wraiths	1
wh2_main_def_barracks	1
wh2_main_def_beasts	1
wh2_main_def_blackguard	1
wh2_main_def_coldones	1
wh2_main_def_defence_major	1
wh2_main_def_defence_minor	1
wh2_main_def_exiles	1
wh2_main_def_farm	1
wh2_main_def_industry	1
wh2_main_def_murder	1
wh2_main_def_order	1
wh2_main_def_pleasure_cult	1
wh2_main_def_resource_animals	1
wh2_main_def_resource_dyes	1
wh2_main_def_resource_furs	1
wh2_main_def_resource_gems	1
wh2_main_def_resource_gold	1
wh2_main_def_resource_iron	1
wh2_main_def_resource_marble	1
wh2_main_def_resource_medicine	1
wh2_main_def_resource_obsidian	1
wh2_main_def_resource_pasture	1
wh2_main_def_resource_pottery	1
wh2_main_def_resource_salt	1
wh2_main_def_resource_spices	1
wh2_main_def_resource_wine	1
wh2_main_def_resource_wood	1
wh2_main_def_slaves	1
wh2_main_def_smith	1
wh2_main_def_sorcery	1
wh2_main_def_worship	1
wh2_main_dwf_resource_animals	1
wh2_main_dwf_resource_medicine	1
wh2_main_dwf_resource_obsidian	1
wh2_main_dwf_resource_spices	1
wh2_main_emp_resource_animals	1
wh2_main_emp_resource_medicine	1
wh2_main_emp_resource_obsidian	1
wh2_main_emp_resource_spices	1
wh2_main_grn_raiders	1
wh2_main_hef_barracks	1
wh2_main_hef_birds	1
wh2_main_hef_court	1
wh2_main_hef_defence_major	1
wh2_main_hef_defence_minor	1
wh2_main_hef_dragons	1
wh2_main_hef_embassy	1
wh2_main_hef_farm	1
wh2_main_hef_industry	1
wh2_main_hef_mages	1
wh2_main_hef_order_major	1
wh2_main_hef_order_minor	1
wh2_main_hef_resource_obsidian	1
wh2_main_hef_resource_pottery	1
wh2_main_hef_smith	1
wh2_main_hef_stables	1
wh2_main_hef_worship	1
wh2_main_horde_def_beasts	1
wh2_main_horde_def_bombardment_a	1
wh2_main_horde_def_bombardment_b	1
wh2_main_horde_def_bombardment_c	1
wh2_main_horde_def_entertainment	1
wh2_main_horde_def_military	1
wh2_main_horde_def_slavery	1
wh2_main_horde_def_sorcery	1
wh2_main_horde_def_worship	1
wh2_main_horde_skaven_assassins	1
wh2_main_horde_skaven_leadership	1
wh2_main_horde_skaven_monsters	1
wh2_main_horde_skaven_plagues	1
wh2_main_horde_skaven_settlement	1
wh2_main_horde_skaven_slaves	1
wh2_main_horde_skaven_stormvermin	1
wh2_main_horde_skaven_supplies	1
wh2_main_horde_skaven_warmachines	1
wh2_main_horde_skaven_weaponteams	1
wh2_main_lzd_beasts	1
wh2_main_lzd_coldones	1
wh2_main_lzd_defence_major	1
wh2_main_lzd_defence_minor	1
wh2_main_lzd_energy	1
wh2_main_lzd_farm	1
wh2_main_lzd_industry	1
wh2_main_lzd_order	1
wh2_main_lzd_resource_animals	1
wh2_main_lzd_resource_dyes	1
wh2_main_lzd_resource_furs	1
wh2_main_lzd_resource_gems	1
wh2_main_lzd_resource_gold	1
wh2_main_lzd_resource_iron	1
wh2_main_lzd_resource_marble	1
wh2_main_lzd_resource_medicine	1
wh2_main_lzd_resource_obsidian	1
wh2_main_lzd_resource_pasture	1
wh2_main_lzd_resource_pottery	1
wh2_main_lzd_resource_salt	1
wh2_main_lzd_resource_spices	1
wh2_main_lzd_resource_wine	1
wh2_main_lzd_resource_wood	1
wh2_main_lzd_saurus	1
wh2_main_lzd_scrying	1
wh2_main_lzd_skinks	1
wh2_main_lzd_slann	1
wh2_main_lzd_smith	1
wh2_main_lzd_terradons	1
wh2_main_lzd_worship_oldones	1
wh2_main_lzd_worship_sotek	1
wh2_main_ritual_def	1
wh2_main_ritual_hef	1
wh2_main_ritual_lzd	1
wh2_main_ritual_skv	1
wh2_main_skv_assassins	1
wh2_main_skv_defence_major	1
wh2_main_skv_defence_minor	1
wh2_main_skv_energy	1
wh2_main_skv_engineers	1
wh2_main_skv_farm	1
