cai_construction_system_templates_tables
0
default_category_and_group_value	key
0	cai_construction_system_template_anarchistic_balanced
0	cai_construction_system_template_anarchistic_military
0	cai_construction_system_template_basic_balanced
0	cai_construction_system_template_basic_economic
0	cai_construction_system_template_basic_military
0	cai_construction_system_template_economist_balanced
0	cai_construction_system_template_economist_economic
0	cai_construction_system_template_economist_military
0	cai_construction_system_template_militaristic_balanced
0	cai_construction_system_template_militaristic_economic
0	cai_construction_system_template_militaristic_military
