cai_personalities_budget_allocation_policy_junctions_tables
1
budget_allocation_key	budget_context_key	budget_policy_key
budget_allocation_military_very_strong_naval	cai_strategic_context_type_last_stand	balanced_naval
budget_allocation_military_very_light_naval	cai_strategic_context_type_peace	balanced_naval
budget_allocation_military_light_naval	cai_strategic_context_type_tension	balanced_naval
budget_allocation_military_strong_naval	cai_strategic_context_type_total_war	balanced_naval
budget_allocation_military_medium_naval	cai_strategic_context_type_war	balanced_naval
budget_allocation_military_strong_schemer	cai_strategic_context_type_last_stand	balanced_schemer
budget_allocation_military_light_schemer	cai_strategic_context_type_peace	balanced_schemer
budget_allocation_military_medium_schemer	cai_strategic_context_type_tension	balanced_schemer
budget_allocation_military_medium_schemer	cai_strategic_context_type_total_war	balanced_schemer
budget_allocation_military_medium_schemer	cai_strategic_context_type_war	balanced_schemer
budget_allocation_military_very_strong	cai_strategic_context_type_last_stand	balanced
budget_allocation_military_very_light	cai_strategic_context_type_peace	balanced
budget_allocation_military_light	cai_strategic_context_type_tension	balanced
budget_allocation_military_strong	cai_strategic_context_type_total_war	balanced
budget_allocation_military_medium	cai_strategic_context_type_war	balanced
default	cai_strategic_context_type_last_stand	default_budget_policy
default	cai_strategic_context_type_peace	default_budget_policy
default	cai_strategic_context_type_tension	default_budget_policy
default	cai_strategic_context_type_total_war	default_budget_policy
default	cai_strategic_context_type_war	default_budget_policy
budget_allocation_military_medium_naval	cai_strategic_context_type_last_stand	economist_naval
budget_allocation_military_very_light_naval	cai_strategic_context_type_peace	economist_naval
budget_allocation_military_light_naval	cai_strategic_context_type_tension	economist_naval
budget_allocation_military_medium_naval	cai_strategic_context_type_total_war	economist_naval
budget_allocation_military_light_naval	cai_strategic_context_type_war	economist_naval
budget_allocation_military_medium_schemer	cai_strategic_context_type_last_stand	economist_schemer
budget_allocation_military_light_schemer	cai_strategic_context_type_peace	economist_schemer
budget_allocation_military_light_schemer	cai_strategic_context_type_tension	economist_schemer
budget_allocation_military_medium_schemer	cai_strategic_context_type_total_war	economist_schemer
budget_allocation_military_medium_schemer	cai_strategic_context_type_war	economist_schemer
budget_allocation_military_medium	cai_strategic_context_type_last_stand	economist
budget_allocation_military_very_light	cai_strategic_context_type_peace	economist
budget_allocation_military_light	cai_strategic_context_type_tension	economist
budget_allocation_military_medium	cai_strategic_context_type_total_war	economist
budget_allocation_military_light	cai_strategic_context_type_war	economist
budget_allocation_horde_tech	cai_strategic_context_type_last_stand	horde_tech
budget_allocation_horde_tech	cai_strategic_context_type_peace	horde_tech
budget_allocation_horde_tech	cai_strategic_context_type_tension	horde_tech
budget_allocation_horde_tech	cai_strategic_context_type_total_war	horde_tech
budget_allocation_horde_tech	cai_strategic_context_type_war	horde_tech
budget_allocation_military_very_strong_naval	cai_strategic_context_type_last_stand	militarist_naval
budget_allocation_military_medium_naval	cai_strategic_context_type_peace	militarist_naval
budget_allocation_military_strong_naval	cai_strategic_context_type_tension	militarist_naval
budget_allocation_military_very_strong_naval	cai_strategic_context_type_total_war	militarist_naval
budget_allocation_military_strong_naval	cai_strategic_context_type_war	militarist_naval
budget_allocation_military_strong_schemer	cai_strategic_context_type_last_stand	militarist_schemer
budget_allocation_military_medium_schemer	cai_strategic_context_type_peace	militarist_schemer
budget_allocation_military_medium_schemer	cai_strategic_context_type_tension	militarist_schemer
budget_allocation_military_strong_schemer	cai_strategic_context_type_total_war	militarist_schemer
budget_allocation_military_medium_schemer	cai_strategic_context_type_war	militarist_schemer
budget_allocation_military_very_strong	cai_strategic_context_type_last_stand	militarist
budget_allocation_military_medium	cai_strategic_context_type_peace	militarist
budget_allocation_military_strong	cai_strategic_context_type_tension	militarist
budget_allocation_military_very_strong	cai_strategic_context_type_total_war	militarist
budget_allocation_military_strong	cai_strategic_context_type_war	militarist
