ancillary_included_subcultures_tables
0
ancillary	subculture
wh2_main_anc_arcane_item_black_staff	wh2_main_sc_def_dark_elves
wh2_main_anc_arcane_item_book_of_hoeth	wh2_main_sc_hef_high_elves
wh2_main_anc_arcane_item_circlet_of_iron	wh2_main_sc_def_dark_elves
wh2_main_anc_arcane_item_cube_of_darkness	wh2_main_sc_lzd_lizardmen
wh2_main_anc_arcane_item_cupped_hands_of_the_old_ones	wh2_main_sc_lzd_lizardmen
wh2_main_anc_arcane_item_darkstar_cloak	wh2_main_sc_def_dark_elves
wh2_main_anc_arcane_item_diadem_of_power	wh2_main_sc_lzd_lizardmen
wh2_main_anc_arcane_item_itxi_grubs	wh2_main_sc_lzd_lizardmen
wh2_main_anc_arcane_item_jewel_of_the_dusk	wh2_main_sc_hef_high_elves
wh2_main_anc_arcane_item_moon_staff_of_lileath	wh2_main_sc_hef_high_elves
wh2_main_anc_arcane_item_plaque_of_dominion	wh2_main_sc_lzd_lizardmen
wh2_main_anc_arcane_item_rod_of_the_storm	wh2_main_sc_lzd_lizardmen
wh2_main_anc_arcane_item_scroll_of_hoeth	wh2_main_sc_hef_high_elves
wh2_main_anc_arcane_item_scrying_stone	wh2_main_sc_skv_skaven
wh2_main_anc_arcane_item_staff_of_solidity	wh2_main_sc_hef_high_elves
wh2_main_anc_arcane_item_starwood_staff	wh2_main_sc_hef_high_elves
wh2_main_anc_arcane_item_the_gem_of_sunfire	wh2_main_sc_hef_high_elves
wh2_main_anc_arcane_item_the_liber_bubonicus	wh2_main_sc_skv_skaven
wh2_main_anc_arcane_item_the_seerstaff_of_saphery	wh2_main_sc_hef_high_elves
wh2_main_anc_arcane_item_the_tricksters_pendant	wh2_main_sc_hef_high_elves
wh2_main_anc_arcane_item_the_vortex_shard	wh2_main_sc_hef_high_elves
wh2_main_anc_arcane_item_tome_of_furion	wh2_main_sc_def_dark_elves
wh2_main_anc_arcane_item_wand_of_the_kharaidon	wh2_main_sc_def_dark_elves
wh2_main_anc_arcane_item_war_crown_of_saphery	wh2_main_sc_hef_high_elves
wh2_main_anc_arcane_item_warp_energy_condenser	wh2_main_sc_skv_skaven
wh2_main_anc_arcane_item_warpstone_tokens	wh2_main_sc_skv_skaven
wh2_main_anc_arcane_item_warpstorm_scroll	wh2_main_sc_skv_skaven
wh2_main_anc_armour_armour_of_caledor	wh2_main_sc_hef_high_elves
wh2_main_anc_armour_armour_of_darkness	wh2_main_sc_def_dark_elves
wh2_main_anc_armour_armour_of_eternal_servitude	wh2_main_sc_def_dark_elves
wh2_main_anc_armour_armour_of_living_death	wh2_main_sc_def_dark_elves
wh2_main_anc_armour_armour_of_midnight	wh2_main_sc_def_dark_elves
wh2_main_anc_armour_armour_of_the_stars	wh2_main_sc_hef_high_elves
wh2_main_anc_armour_cloak_of_hag_graef	wh2_main_sc_def_dark_elves
wh2_main_anc_armour_crown_of_authority	wh2_main_sc_hef_high_elves
wh2_main_anc_armour_dragon_armour_of_aenarion	wh2_main_sc_hef_high_elves
wh2_main_anc_armour_dragonscale_shield	wh2_main_sc_hef_high_elves
wh2_main_anc_armour_enchanted_ithilmar_breastplate	wh2_main_sc_hef_high_elves
wh2_main_anc_armour_helm_of_fortune	wh2_main_sc_hef_high_elves
wh2_main_anc_armour_helm_of_khaine	wh2_main_sc_hef_high_elves
wh2_main_anc_armour_helm_of_the_kraken	wh2_main_sc_def_dark_elves
wh2_main_anc_armour_hide_of_the_cold_ones	wh2_main_sc_lzd_lizardmen
wh2_main_anc_armour_lions_pelt	wh2_main_sc_hef_high_elves
