battle_personalities_tables
7
key	man_animations_table	type	missile_type	variant	battle_entity	rider_attachment_point	battle_entity_stats	autonomous_rider_hero
wh2_def_dreadlord_dragon	hu1d_elf_dr1_dragon_wb_sword_and_crossbow	autonomous_rider		wh2_main_def_dreadlord	wh2_main_def_cavarly_rider_170_hero_blood		wh2_def_dreadlord_dragon	True
wh2_def_dreadlord_female_dragon	hu1b_elf_dr1_dragon_wb_sword_and_shield	autonomous_rider		wh2_main_def_dreadlord_female	wh_main_cavalry_rider_standard			True
wh2_main_def_cold_one_chariot_charioteer	hu1d_elf_wm_cold_one_chariot01_whip	autonomous_rider		wh2_main_def_cold_one_chariot_charioteer	wh_main_cavalry_rider_standard_blood	ap_crewposition_0		False
wh2_main_def_cold_one_chariot_malekith	hu1d_elf_wm_cold_one_chariot01_sword_and_shield	autonomous_rider		wh2_main_def_malekith	wh2_main_def_infantry_hero_blood_malekith_rider	ap_crewposition_0		True
wh2_main_def_cold_one_chariot_rider1	hu1d_elf_wm_cold_one_chariot01_crossbow_01	autonomous_rider		wh2_main_def_cold_one_chariot_rider	wh2_main_rider_standard_360_blood	ap_crewposition_1	wh2_main_def_cold_one_chariot_archer	False
wh2_main_def_cold_one_chariot_rider2	hu1d_elf_wm_cold_one_chariot01_crossbow_02	autonomous_rider		wh2_main_def_cold_one_chariot_rider	wh2_main_rider_standard_360_blood	ap_crewposition_2	wh2_main_def_cold_one_chariot_archer	False
wh2_main_def_seraphon_malekith	hu1d_elf_dr1_dragon_wb_malekith_sword_and_shield	autonomous_rider		wh2_main_def_malekith	wh_main_infantry_standard_large_blood			True
wh2_main_def_veh_cauldron_of_blood_death_hag	hu1b_elf_dual_sword	autonomous_rider		wh2_main_def_death_hag_chalice	wh_main_cavalry_rider_standard	ap_crewposition_0		True
wh2_main_def_veh_cauldron_of_blood_rider_0	hu1b_elf_wm_blood_cauldron_dual_sword_01	autonomous_rider		wh2_main_def_witch_elf	wh_main_cavalry_rider_standard	ap_crewposition_1		False
wh2_main_def_veh_cauldron_of_blood_rider_1	hu1b_elf_wm_blood_cauldron_dual_sword_02	autonomous_rider		wh2_main_def_witch_elf	wh_main_cavalry_rider_standard	ap_crewposition_2		False
wh2_main_hef_alastar_dragon_rider1	hu1d_elf_dr1_dragon_wb_2handed_axe	autonomous_rider		wh2_main_hef_alastair_rider	wh_main_infantry_standard_large_blood			True
wh2_main_hef_alastar_eagle_rider1	hu1d_elf_bi1_eagle_wb_2handed_axe	autonomous_rider		wh2_main_hef_alastair_rider	wh_main_infantry_standard_large_blood			True
wh2_main_hef_chariot_mage_high	hu1b_elf_wm_tiranoc_chariot01_staff_and_sword	autonomous_rider		wh2_main_hef_mage_rider	wh2_main_infantry_standard_wizard_blood_dismembers_high	ap_crewposition_1		True
wh2_main_hef_chariot_mage_life	hu1b_elf_wm_tiranoc_chariot01_staff_and_sword	autonomous_rider		wh2_main_hef_mage_rider	wh2_main_infantry_standard_wizard_blood_dismembers_life	ap_crewposition_1		True
wh2_main_hef_chariot_mage_light	hu1b_elf_wm_tiranoc_chariot01_staff_and_sword	autonomous_rider		wh2_main_hef_mage_rider	wh2_main_infantry_standard_wizard_blood_dismembers_light	ap_crewposition_1		True
wh2_main_hef_chariot_noble	hu1d_elf_wm_tiranoc_chariot01_halberd	autonomous_rider		wh2_main_hef_noble	wh2_main_cavalry_rider_standard_hero	ap_crewposition_1		True
wh2_main_hef_ithilmar_chariot_charioteer	hu1d_elf_wm_tiranoc_chariot01_whip	autonomous_rider		wh2_main_hef_charioteer_spear	wh_main_cavalry_rider_standard_blood	ap_crewposition_0		False
wh2_main_hef_ithilmar_chariot_rider2	hu1d_elf_wm_tiranoc_chariot01_spear	autonomous_rider		wh2_main_hef_charioteer_spear	wh_main_cavalry_rider_standard_blood	ap_crewposition_1		False
wh2_main_hef_noble_eagle	hu1d_elf_bi1_eagle_wb_halberd	autonomous_rider		wh2_main_hef_noble	wh2_main_hef_rider_360_hero_blood			True
wh2_main_hef_prince_dragon_rider1	hu1d_elf_dr1_dragon_wb_sword_and_shield	autonomous_rider		wh2_main_hef_prince	wh_main_infantry_standard_large_blood			True
wh2_main_hef_prince_eagle_rider1	hu1d_elf_bi1_eagle_wb_sword_and_shield	autonomous_rider		wh2_main_hef_prince	wh_main_infantry_standard_large_blood			True
