technologies_tables
5
key	building_level	position_index	icon_name	military_prestige	naval_prestige	econimic_prestige	enlightenment_prestige	mp_available_early	mp_available_late	info_pic	unique_id	is_civil	is_engineering	is_military
tech_chs_branch_1_1	wh_main_chs_port	1	wh_main_chs_scrutiny_of_the_dark_gods	0	0	0	0	False	False	"placeholder.tga"	6159	False	False	True
tech_chs_branch_1_2	wh_main_chs_port	1	wh_main_chs_skulls_for_the_skull_throne	0	0	0	0	False	False	"placeholder.tga"	6164	False	False	True
tech_chs_branch_1_3	wh_main_chs_port	1	wh_main_chs_rituals_of_corruption	0	0	0	0	False	False	"placeholder.tga"	6168	False	False	True
tech_chs_branch_2_1	wh_main_chs_port	1	wh_main_chs_banners_of_ruin	0	0	0	0	False	False	"placeholder.tga"	6175	False	False	True
tech_chs_branch_2_2	wh_main_chs_port	1	wh_main_chs_duels_to_the_death	0	0	0	0	False	False	"placeholder.tga"	6176	False	False	True
tech_chs_branch_2_3	wh_main_chs_port	1	wh_main_chs_culling_of_the_weak	0	0	0	0	False	False	"placeholder.tga"	6186	False	False	True
tech_chs_branch_2_4	wh_main_chs_port	1	wh_main_chs_erection_of_ruinous_monuments	0	0	0	0	False	False	"placeholder.tga"	6188	False	False	True
tech_chs_branch_3_1	wh_main_chs_port	1	wh_main_chs_dark_standards	0	0	0	0	False	False	"placeholder.tga"	6197	False	False	True
tech_chs_branch_3_2	wh_main_chs_port	1	wh_main_chs_aspiration_for_greatness	0	0	0	0	False	False	"placeholder.tga"	6204	False	False	True
tech_chs_branch_3_3	wh_main_chs_port	1	wh_main_chs_a_thousand_twisted_blessings	0	0	0	0	False	False	"placeholder.tga"	6212	False	False	True
tech_chs_branch_3_4	wh_main_chs_port	1	wh_main_chs_superhuman_prowess	0	0	0	0	False	False	"placeholder.tga"	6218	False	False	True
tech_chs_branch_3_5	wh_main_chs_port	1	wh_main_chs_blood_for_the_blood_god	0	0	0	0	False	False	"placeholder.tga"	6223	False	False	True
tech_chs_branch_4_1	wh_main_chs_port	1	wh_main_chs_pennants_of_chaos	0	0	0	0	False	False	"placeholder.tga"	6233	False	False	True
tech_chs_branch_4_2	wh_main_chs_port	1	wh_main_chs_gaze_of_the_dark_gods	0	0	0	0	False	False	"placeholder.tga"	6243	False	False	True
tech_chs_branch_4_3	wh_main_chs_port	1	wh_main_chs_second_to_none	0	0	0	0	False	False	"placeholder.tga"	6248	False	False	True
tech_chs_branch_4_4	wh_main_chs_port	1	wh_main_chs_a_wall_of_hungry_mouths	0	0	0	0	False	False	"placeholder.tga"	6257	False	False	True
tech_chs_branch_4_5	wh_main_chs_port	1	wh_main_chs_infernal_march	0	0	0	0	False	False	"placeholder.tga"	6267	False	False	True
tech_chs_branch_5_1	wh_main_chs_port	1	wh_main_chs_engines_of_mass_destruction	0	0	0	0	False	False	"placeholder.tga"	6271	False	False	True
tech_chs_branch_5_2	wh_main_chs_port	1	wh_main_chs_daemonic_armour	0	0	0	0	False	False	"placeholder.tga"	6275	False	False	True
tech_chs_branch_5_3	wh_main_chs_port	1	wh_main_chs_favour_of_the_dark_gods	0	0	0	0	False	False	"placeholder.tga"	6285	False	False	True
tech_chs_branch_5_4	wh_main_chs_port	1	wh_main_chs_ensorcelled_weapons	0	0	0	0	False	False	"placeholder.tga"	6293	False	False	True
tech_chs_branch_5_5	wh_main_chs_port	1	wh_main_chs_herald_of_doom	0	0	0	0	False	False	"placeholder.tga"	6294	False	False	True
tech_chs_main_1	wh_main_chs_port	1	wh_main_chs_the_path_to_ruination	0	0	0	0	False	False	"placeholder.tga"	6135	False	False	True
tech_chs_main_2	wh_main_chs_port	1	wh_main_chs_lure_of_dark_promises	0	0	0	0	False	False	"placeholder.tga"	6145	False	False	True
tech_chs_main_3	wh_main_chs_port	1	wh_main_chs_unholy_communion	0	0	0	0	False	False	"placeholder.tga"	6149	False	False	True
tech_chs_main_4	wh_main_chs_port	1	wh_main_chs_pledges_to_the_dark_gods	0	0	0	0	False	False	"placeholder.tga"	6152	False	False	True
tech_chs_main_5	wh_main_chs_port	1	wh_main_chs_daemonic_pact	0	0	0	0	False	False	"placeholder.tga"	6156	False	False	True
tech_def_0_0_0	wh_main_chs_port	1	wh2_def_tech_upgrade_0	0	0	0	0	False	False	"placeholder.tga"	8151	False	False	True
