campaign_public_order_populace_effects_tables
0
culture	effect_bundle	populace_happiness
wh2_main_def_dark_elves	def_public_order_5_content	FACTION_PROVINCE_POPULACE_HAPPINESS_CONTENT
wh2_main_def_dark_elves	def_public_order_6_happy	FACTION_PROVINCE_POPULACE_HAPPINESS_HAPPY
wh2_main_def_dark_elves	def_public_order_4_indifferent	FACTION_PROVINCE_POPULACE_HAPPINESS_INDIFFERENT
wh2_main_def_dark_elves	def_public_order_7_jubilant	FACTION_PROVINCE_POPULACE_HAPPINESS_JUBILANT
wh2_main_def_dark_elves	def_public_order_1_outraged	FACTION_PROVINCE_POPULACE_HAPPINESS_OUTRAGED
wh2_main_def_dark_elves	def_public_order_3_troubled	FACTION_PROVINCE_POPULACE_HAPPINESS_TROUBLED
wh2_main_def_dark_elves	def_public_order_2_unhappy	FACTION_PROVINCE_POPULACE_HAPPINESS_UNHAPPY
wh2_main_lzd_lizardmen	lzd_public_order_5_content	FACTION_PROVINCE_POPULACE_HAPPINESS_CONTENT
wh2_main_lzd_lizardmen	lzd_public_order_6_happy	FACTION_PROVINCE_POPULACE_HAPPINESS_HAPPY
wh2_main_lzd_lizardmen	lzd_public_order_4_indifferent	FACTION_PROVINCE_POPULACE_HAPPINESS_INDIFFERENT
wh2_main_lzd_lizardmen	lzd_public_order_7_jubilant	FACTION_PROVINCE_POPULACE_HAPPINESS_JUBILANT
wh2_main_lzd_lizardmen	lzd_public_order_1_outraged	FACTION_PROVINCE_POPULACE_HAPPINESS_OUTRAGED
wh2_main_lzd_lizardmen	lzd_public_order_3_troubled	FACTION_PROVINCE_POPULACE_HAPPINESS_TROUBLED
wh2_main_lzd_lizardmen	lzd_public_order_2_unhappy	FACTION_PROVINCE_POPULACE_HAPPINESS_UNHAPPY
wh2_main_skv_skaven	skv_public_order_5_content	FACTION_PROVINCE_POPULACE_HAPPINESS_CONTENT
wh2_main_skv_skaven	skv_public_order_6_happy	FACTION_PROVINCE_POPULACE_HAPPINESS_HAPPY
wh2_main_skv_skaven	skv_public_order_4_indifferent	FACTION_PROVINCE_POPULACE_HAPPINESS_INDIFFERENT
wh2_main_skv_skaven	skv_public_order_7_jubilant	FACTION_PROVINCE_POPULACE_HAPPINESS_JUBILANT
wh2_main_skv_skaven	skv_public_order_1_outraged	FACTION_PROVINCE_POPULACE_HAPPINESS_OUTRAGED
wh2_main_skv_skaven	skv_public_order_3_troubled	FACTION_PROVINCE_POPULACE_HAPPINESS_TROUBLED
wh2_main_skv_skaven	skv_public_order_2_unhappy	FACTION_PROVINCE_POPULACE_HAPPINESS_UNHAPPY
wh_dlc05_wef_wood_elves	wef_public_order_5_content	FACTION_PROVINCE_POPULACE_HAPPINESS_CONTENT
wh_dlc05_wef_wood_elves	wef_public_order_6_happy	FACTION_PROVINCE_POPULACE_HAPPINESS_HAPPY
wh_dlc05_wef_wood_elves	wef_public_order_4_indifferent	FACTION_PROVINCE_POPULACE_HAPPINESS_INDIFFERENT
wh_dlc05_wef_wood_elves	wef_public_order_7_jubilant	FACTION_PROVINCE_POPULACE_HAPPINESS_JUBILANT
wh_dlc05_wef_wood_elves	wef_public_order_1_outraged	FACTION_PROVINCE_POPULACE_HAPPINESS_OUTRAGED
wh_dlc05_wef_wood_elves	wef_public_order_3_troubled	FACTION_PROVINCE_POPULACE_HAPPINESS_TROUBLED
wh_dlc05_wef_wood_elves	wef_public_order_2_unhappy	FACTION_PROVINCE_POPULACE_HAPPINESS_UNHAPPY
wh_main_emp_empire	emp_public_order_5_content	FACTION_PROVINCE_POPULACE_HAPPINESS_CONTENT
wh_main_emp_empire	emp_public_order_6_happy	FACTION_PROVINCE_POPULACE_HAPPINESS_HAPPY
wh_main_emp_empire	emp_public_order_4_indifferent	FACTION_PROVINCE_POPULACE_HAPPINESS_INDIFFERENT
wh_main_emp_empire	emp_public_order_7_jubilant	FACTION_PROVINCE_POPULACE_HAPPINESS_JUBILANT
wh_main_emp_empire	emp_public_order_1_outraged	FACTION_PROVINCE_POPULACE_HAPPINESS_OUTRAGED
wh_main_emp_empire	emp_public_order_3_troubled	FACTION_PROVINCE_POPULACE_HAPPINESS_TROUBLED
wh_main_emp_empire	emp_public_order_2_unhappy	FACTION_PROVINCE_POPULACE_HAPPINESS_UNHAPPY
wh_main_brt_bretonnia	brt_public_order_5_content	FACTION_PROVINCE_POPULACE_HAPPINESS_CONTENT
wh_main_brt_bretonnia	brt_public_order_6_happy	FACTION_PROVINCE_POPULACE_HAPPINESS_HAPPY
wh_main_brt_bretonnia	brt_public_order_4_indifferent	FACTION_PROVINCE_POPULACE_HAPPINESS_INDIFFERENT
wh_main_brt_bretonnia	brt_public_order_7_jubilant	FACTION_PROVINCE_POPULACE_HAPPINESS_JUBILANT
wh_main_brt_bretonnia	brt_public_order_1_outraged	FACTION_PROVINCE_POPULACE_HAPPINESS_OUTRAGED
wh_main_brt_bretonnia	brt_public_order_3_troubled	FACTION_PROVINCE_POPULACE_HAPPINESS_TROUBLED
wh_main_brt_bretonnia	brt_public_order_2_unhappy	FACTION_PROVINCE_POPULACE_HAPPINESS_UNHAPPY
wh_main_vmp_vampire_counts	vmp_public_order_5_content	FACTION_PROVINCE_POPULACE_HAPPINESS_CONTENT
wh_main_vmp_vampire_counts	vmp_public_order_6_happy	FACTION_PROVINCE_POPULACE_HAPPINESS_HAPPY
wh_main_vmp_vampire_counts	vmp_public_order_4_indifferent	FACTION_PROVINCE_POPULACE_HAPPINESS_INDIFFERENT
wh_main_vmp_vampire_counts	vmp_public_order_7_jubilant	FACTION_PROVINCE_POPULACE_HAPPINESS_JUBILANT
wh_main_vmp_vampire_counts	vmp_public_order_1_outraged	FACTION_PROVINCE_POPULACE_HAPPINESS_OUTRAGED
wh_main_vmp_vampire_counts	vmp_public_order_3_troubled	FACTION_PROVINCE_POPULACE_HAPPINESS_TROUBLED
wh_main_vmp_vampire_counts	vmp_public_order_2_unhappy	FACTION_PROVINCE_POPULACE_HAPPINESS_UNHAPPY
wh_main_dwf_dwarfs	dwf_public_order_5_content	FACTION_PROVINCE_POPULACE_HAPPINESS_CONTENT
wh_main_dwf_dwarfs	dwf_public_order_6_happy	FACTION_PROVINCE_POPULACE_HAPPINESS_HAPPY
wh_main_dwf_dwarfs	dwf_public_order_4_indifferent	FACTION_PROVINCE_POPULACE_HAPPINESS_INDIFFERENT
wh_main_dwf_dwarfs	dwf_public_order_7_jubilant	FACTION_PROVINCE_POPULACE_HAPPINESS_JUBILANT
wh_main_dwf_dwarfs	dwf_public_order_1_outraged	FACTION_PROVINCE_POPULACE_HAPPINESS_OUTRAGED
wh_main_dwf_dwarfs	dwf_public_order_3_troubled	FACTION_PROVINCE_POPULACE_HAPPINESS_TROUBLED
wh_main_dwf_dwarfs	dwf_public_order_2_unhappy	FACTION_PROVINCE_POPULACE_HAPPINESS_UNHAPPY
wh_main_grn_greenskins	grn_public_order_5_content	FACTION_PROVINCE_POPULACE_HAPPINESS_CONTENT
wh_main_grn_greenskins	grn_public_order_6_happy	FACTION_PROVINCE_POPULACE_HAPPINESS_HAPPY
wh_main_grn_greenskins	grn_public_order_4_indifferent	FACTION_PROVINCE_POPULACE_HAPPINESS_INDIFFERENT
wh_main_grn_greenskins	grn_public_order_7_jubilant	FACTION_PROVINCE_POPULACE_HAPPINESS_JUBILANT
wh_main_grn_greenskins	grn_public_order_1_outraged	FACTION_PROVINCE_POPULACE_HAPPINESS_OUTRAGED
wh_main_grn_greenskins	grn_public_order_3_troubled	FACTION_PROVINCE_POPULACE_HAPPINESS_TROUBLED
wh_main_grn_greenskins	grn_public_order_2_unhappy	FACTION_PROVINCE_POPULACE_HAPPINESS_UNHAPPY
