campaign_battle_presets_tables
6
battle_type	coord_x	coord_y	key	unknown4	unknown5	unknown6	unknown7	unknown8
land_normal	0.38	0.603	wh_main_land_battle_brt_forest_a		False	1564135556	ui/frontend ui/battle_map_images/bilbali.png	
land_normal	0.425	0.537	wh_main_land_battle_brt_forest_d		False	1564135556	ui/frontend ui/battle_map_images/castle_carcassonne.png	
land_normal	0.364	0.456	wh_main_land_battle_brt_hills_b	faction:brt	False	1564135556	ui/frontend ui/battle_map_images/bordeleaux.png	
land_normal	0.389	0.535	wh_main_land_battle_brt_hills_d	faction:brt	False	1564135556	ui/frontend ui/battle_map_images/brionne.png	
land_normal	0.436	0.507	wh_main_land_battle_brt_plains_a		False	1564135556	ui/frontend ui/battle_map_images/lyonesse.png	
land_normal	0.42	0.498	wh_main_land_battle_brt_plains_c		False	1564135556	ui/frontend ui/battle_map_images/quenelles.png	
land_normal	0.539	0.463	wh_main_land_battle_dwf_mtn_pass_9		False	1564135556	ui/frontend ui/battle_map_images/wissenburg.png	
land_normal	0.557	0.468	wh_main_land_battle_dwf_mtn_pass_outfield_city_01	faction:dwf	False	1564135556	ui/frontend ui/battle_map_images/pfeildorf.png	
land_normal	0.465	0.391	wh_main_land_battle_emp_forest_a		False	1564135556	ui/frontend ui/battle_map_images/eilhart.png	
land_normal	0.488	0.372	wh_main_land_battle_emp_hills_a	faction:emp	False	1564135556	ui/frontend ui/battle_map_images/altdorf.png	
land_normal	0.483	0.296	wh_main_land_battle_emp_hills_d		False	1564135556	ui/frontend ui/battle_map_images/weismund.png	
land_normal	0.617	0.23	wh_main_land_battle_emp_plains_a		False	1564135556	ui/frontend ui/battle_map_images/castle_von_rauken.png	
land_normal	0.546	0.437	wh_main_land_battle_emp_plains_c		False	1564135556	ui/frontend ui/battle_map_images/averheim.png	
land_normal	0.561	0.376	wh_main_land_battle_emp_wastes_a		False	1564135556	ui/frontend ui/battle_map_images/talabheim.png	
land_normal	0.59	0.6470001	wh_main_land_battle_grn_mtn_pass_outfield_city_05	faction:grn	False	1564135556	ui/frontend ui/battle_map_images/ekrund.png	
land_normal	0.62	0.636	wh_main_land_battle_grn_plains_a	faction:grn	False	1564135556	ui/frontend ui/battle_map_images/bitterstone_mine.png	
land_normal	0.595	0.616	wh_main_land_battle_grn_plains_c		False	1564135556	ui/frontend ui/battle_map_images/stonemine_tower.png	
land_normal	0.511	0.057	wh_main_land_battle_nor_forest_c		False	1564135556	ui/frontend ui/battle_map_images/varg_camp.png	
land_normal	0.448	0.139	wh_main_land_battle_nor_forest_d		False	1564135556	ui/frontend ui/battle_map_images/doom_keep.png	
land_normal	0.635	0.068	wh_main_land_battle_nor_hills_a	faction:nor	False	1564135556	ui/frontend ui/battle_map_images/winter_pyre.png	
land_normal	0.581	0.083	wh_main_land_battle_nor_plains_c	faction:nor	False	1564135556	ui/frontend ui/battle_map_images/aeslings_conclave.png	
land_normal	0.645	0.4	wh_main_land_battle_vmp_marsh_c	faction:vmp	False	1564135556	ui/frontend ui/battle_map_images/bechafen.png	
