cai_diplomacy_complex_treacheries_tables
0
first_event	max_turn_difference	second_event	value
CLIENT_STATE	10	CLIENT_STATE_BROKEN	15
CLIENT_STATE_BROKEN	10	WAR	15
DEFENSIVE_ALLIANCE	10	DEFENSIVE_ALLIANCE_BROKEN	10
DEFENSIVE_ALLIANCE_BROKEN	10	WAR	25
MILITARY_ACCESS	10	MILITARY_ACCESS_BROKEN	10
MILITARY_ACCESS_BROKEN	10	WAR	15
MILITARY_ALLIANCE	10	MILITARY_ALLIANCE_BROKEN	10
MILITARY_ALLIANCE_BROKEN	10	WAR	25
NON_AGGRESSION_PACT	10	NON_AGGRESSION_PACT_BROKEN	10
NON_AGGRESSION_PACT_BROKEN	10	WAR	15
PEACE	10	WAR	30
STATE_GIFT_ACCEPTED	10	WAR	10
TRADE_AGREEMENT	10	TRADE_AGREEMENT_BROKEN	10
TRADE_AGREEMENT_BROKEN	10	WAR	15
VASSALAGE	10	VASSALAGE_BROKEN	15
VASSALAGE_BROKEN	10	WAR	25
VASSALAGE_FORCED	10	VASSALAGE_BROKEN	15
WAR	10	PEACE	15
