effect_bundles_to_effects_junctions_tables
2
effect_bundle_key	effect_key	effect_scope	value	advancement_stage
wh_main_edict_brag_about_da_boss	wh_main_effect_force_army_campaign_recruitment_cost_land	province_to_province_own	-5	start_turn_completed
wh_main_edict_brag_about_da_boss	wh_main_effect_unit_recruitment_points	province_to_province_own	1	start_turn_completed
wh_main_edict_brag_about_da_boss	wh_main_effect_force_all_campaign_replenishment_rate	province_to_region_own_unseen	5	start_turn_completed
wh_main_edict_camp_ruckus	wh_main_effect_province_growth_province	province_to_province_own	30	start_turn_completed
wh_main_edict_camp_ruckus	wh_main_effect_public_order_edict	province_to_province_own	2	start_turn_completed
wh_main_edict_camp_ruckus	wh_main_effect_force_all_campaign_experience_base_all	province_to_province_own	1	start_turn_completed
wh_main_edict_collect_tribute	wh_main_effect_province_tax_rate	province_to_province_own	8	start_turn_completed
wh_main_edict_collect_tribute	wh_main_effect_province_growth_province	province_to_province_own	-5	start_turn_completed
wh_main_edict_collect_tribute	wh_main_effect_public_order_edict	province_to_province_own	-2	start_turn_completed
wh_main_edict_evocation_of_nagash	wh_main_effect_force_all_campaign_experience_base_all	province_to_province_own	1	start_turn_completed
wh_main_edict_evocation_of_nagash	wh_main_effect_unit_recruitment_points	province_to_province_own	1	start_turn_completed
wh_main_edict_evocation_of_nagash	wh_main_effect_force_all_campaign_replenishment_rate	province_to_region_own_unseen	4	start_turn_completed
wh_main_edict_extensive_patrols	wh_main_effect_force_army_campaign_recruitment_cost_land	province_to_province_own	-10	start_turn_completed
wh_main_edict_extensive_patrols	wh_main_effect_unit_recruitment_points	province_to_province_own	2	start_turn_completed
wh_main_edict_foster_independence	wh_main_effect_agent_action_outcome_target_defence_success_chance_enemy_hidden	province_to_region_own	-15	start_turn_completed
wh_main_edict_foster_independence	wh_main_effect_religion_conversion_untainted	province_to_region_own	1	start_turn_completed
wh_main_edict_foster_independence	wh_main_effect_religion_osmosis_untainted	province_to_region_own_unseen	1	start_turn_completed
