feature_tree_to_feature_forests_tables
1
unknown0	faction_feature_tree	unknown2
LOCKED_COMPANION	LOCKED_COMPANION_FACTION	COMPANION_FACTION
LOCKED_HORDE	LOCKED_HORDE	HORDE
MIXED_NAVAL_HORDE	LOCKED_MIXED_NAVAL_HORDE	MIXED_NAVAL_HORDE
RITUAL_MIXED_NAVAL_HORDE	LOCKED_MIXED_NAVAL_HORDE	MIXED_NAVAL_HORDE
VORTEX_RITUAL_MIXED_NAVAL_HORDE	LOCKED_MIXED_NAVAL_HORDE	MIXED_NAVAL_HORDE
VORTEX_RITUAL_MIXED_NAVAL_HORDE_PRIMARY	LOCKED_MIXED_NAVAL_HORDE	MIXED_NAVAL_HORDE
LOCKED_STANDARD	LOCKED_STANDARD_FACTION	STANDARD_FACTION
RITUAL_STANDARD	LOCKED_STANDARD_FACTION	STANDARD_FACTION
VORTEX_RITUAL_STANDARD	LOCKED_STANDARD_FACTION	STANDARD_FACTION
VORTEX_RITUAL_STANDARD_PRIMARY	LOCKED_STANDARD_FACTION	STANDARD_FACTION
MIGRATORY_HORDE	MIGRATORY_HORDE	HORDE
MIGRATORY_STANDARD	MIGRATORY_HORDE	STANDARD_FACTION
RITUAL_MIXED_NAVAL_HORDE	RITUALS	RITUAL_ENABLED
RITUAL_STANDARD	RITUALS	RITUAL_ENABLED
VORTEX_RITUAL_MIXED_NAVAL_HORDE	VORTEX_RITUALS	RITUAL_ENABLED
VORTEX_RITUAL_MIXED_NAVAL_HORDE_PRIMARY	VORTEX_RITUALS	PRIMARY_RITUAL_ENABLED
VORTEX_RITUAL_STANDARD	VORTEX_RITUALS	RITUAL_ENABLED
VORTEX_RITUAL_STANDARD_PRIMARY	VORTEX_RITUALS	PRIMARY_RITUAL_ENABLED
