effect_bonus_value_battle_context_unit_attribute_junctions_tables
0
effect_key	bonus_value_id	battle_context_unit_attribute
wh2_main_effect_cause_fear_versus_brt	enable	wh2_main_effect_cause_fear_versus_brt
wh2_main_effect_cause_fear_versus_bst	enable	wh2_main_effect_cause_fear_versus_bst
wh2_main_effect_cause_fear_versus_chs	enable	wh2_main_effect_cause_fear_versus_chs
wh2_main_effect_cause_fear_versus_def	enable	wh2_main_effect_cause_fear_versus_def
wh2_main_effect_cause_fear_versus_dwf	enable	wh2_main_effect_cause_fear_versus_dwf
wh2_main_effect_cause_fear_versus_emp	enable	wh2_main_effect_cause_fear_versus_emp
wh2_main_effect_cause_fear_versus_grn	enable	wh2_main_effect_cause_fear_versus_grn
wh2_main_effect_cause_fear_versus_hef	enable	wh2_main_effect_cause_fear_versus_hef
wh2_main_effect_cause_fear_versus_human	enable	wh2_main_effect_cause_fear_versus_human
wh2_main_effect_cause_fear_versus_lzd	enable	wh2_main_effect_cause_fear_versus_lzd
wh2_main_effect_cause_fear_versus_rogue	enable	wh2_main_effect_cause_fear_versus_rogue
wh2_main_effect_cause_fear_versus_skv	enable	wh2_main_effect_cause_fear_versus_skv
wh2_main_effect_cause_fear_versus_vmp	enable	wh2_main_effect_cause_fear_versus_vmp
wh2_main_effect_cause_fear_versus_wef	enable	wh2_main_effect_cause_fear_versus_wef
wh2_main_effect_cause_terror_versus_brt	enable	wh2_main_effect_cause_terror_versus_brt
wh2_main_effect_cause_terror_versus_bst	enable	wh2_main_effect_cause_terror_versus_bst
wh2_main_effect_cause_terror_versus_chs	enable	wh2_main_effect_cause_terror_versus_chs
wh2_main_effect_cause_terror_versus_def	enable	wh2_main_effect_cause_terror_versus_def
wh2_main_effect_cause_terror_versus_dwf	enable	wh2_main_effect_cause_terror_versus_dwf
wh2_main_effect_cause_terror_versus_emp	enable	wh2_main_effect_cause_terror_versus_emp
wh2_main_effect_cause_terror_versus_grn	enable	wh2_main_effect_cause_terror_versus_grn
wh2_main_effect_cause_terror_versus_hef	enable	wh2_main_effect_cause_terror_versus_hef
wh2_main_effect_cause_terror_versus_human	enable	wh2_main_effect_cause_terror_versus_human
wh2_main_effect_cause_terror_versus_lzd	enable	wh2_main_effect_cause_terror_versus_lzd
wh2_main_effect_cause_terror_versus_rogue	enable	wh2_main_effect_cause_terror_versus_rogue
wh2_main_effect_cause_terror_versus_skv	enable	wh2_main_effect_cause_terror_versus_skv
wh2_main_effect_cause_terror_versus_vmp	enable	wh2_main_effect_cause_terror_versus_vmp
wh2_main_effect_cause_terror_versus_wef	enable	wh2_main_effect_cause_terror_versus_wef
