campaign_variables_tables
0
variable_key	value
abandon_settlement_income_percentage_modifier	-80
abandon_settlement_per_faction_province_desolation_public_order_penalty	5
abandon_settlement_per_faction_province_uncertainty_public_order_penalty	3
additional_rebellion_army_quality_multiplier	0.1
additional_rebellion_army_quality_offset	0.1
additional_rebellion_building_percent_damage	10
ambush_critical_fail_proportion_of_fail	0
armed_citizenry_army_percentage_on_change_hands	10
armed_citizenry_navy_percentage_on_change_hands	10
artillery_capture_chance	10
autoresolver_alliance_wipe_out_loser_strength_of_max_threshold	0.3
autoresolver_alliance_wipe_out_winner_loser_strength_multiple	7
autoresolver_battle_damage_modifier_full_naval_units_at_sea	2
autoresolver_battle_damage_modifier_non_naval_units_at_sea	0.85
autoresolver_battle_excess_melee_damage_multiplier	0.65
autoresolver_battle_excess_melee_damage_received_from_single_entity_target_multiplier	0.2
autoresolver_battle_excess_melee_damage_received_from_target_multiplier	0.3
autoresolver_battle_missile_range_modifier_used_in_ranged_combat	0.65
autoresolver_battle_naval_ramming_damage_multiplier	50
autoresolver_battle_naval_ramming_initial_seperation	10
autoresolver_battle_num_defender_towers_in_fortified_settlement	5
autoresolver_battle_num_defender_towers_in_unfortified_settlement	0
autoresolver_battle_reinforcement_time	0
autoresolver_battle_result_accuracy_high_prediction_variation	0.01
autoresolver_battle_result_accuracy_low_prediction_variation	0.1
autoresolver_battle_result_accuracy_moderate_prediction_variation	0.05
autoresolver_battle_result_accuracy_very_high_prediction_variation	0
autoresolver_battle_result_accuracy_very_low_prediction_variation	0.15
autoresolver_battle_result_battle_complexity_max_units_for_scale	10
autoresolver_battle_size_kill_factor	1.75
autoresolver_battle_timestep	5
autoresolver_battle_tower_base_kps	0.4
autoresolver_battle_tower_level_1_damage_multiplier	1
autoresolver_battle_tower_level_2_damage_multiplier	1.6
autoresolver_battle_tower_level_3_damage_multiplier	2.1
autoresolver_battle_tower_level_4_damage_multiplier	2.5
autoresolver_bound_max_ammo_per_second_mod_unit_size	3
autoresolver_bound_max_melee_strength_proportion	50
autoresolver_bound_max_ranged_kills_per_second	20
autoresolver_bound_min_melee_kills_per_second_full_strength	0
autoresolver_bound_min_ranged_kills_per_ammo_mod_unit_size	0
autoresolver_bound_min_ranged_kills_per_second	0
autoresolver_building_damage_num_assult_equipment_percentage	0.2
autoresolver_building_damage_num_units_percentage	0.01
autoresolver_casualty_unary_received_by_excess_melee_units_from_target	1
autoresolver_chase_down_damage_multiplier	1
autoresolver_chase_down_loser_modifier	1
autoresolver_chase_down_maximum_damage_unary	0.3
autoresolver_chase_down_speed_comparison_cap	0.2
autoresolver_chase_down_speed_comparison_divider	160
autoresolver_chase_down_surviver_ratio_multiplier	0.05
autoresolver_chase_down_winner_modifier	1
autoresolver_damage_transfer_diff_from_average_to_transfer	0
autoresolver_damage_transfer_enabled	1
autoresolver_damage_transfer_max_diff_from_average_after_transfer	0
autoresolver_damage_transfer_min_health_remaining	0.1
autoresolver_damage_transfer_proportion_of_alliance	0.5
autoresolver_ensured_unit_loss_cp_weight	2
autoresolver_ensured_unit_loss_damage_multiplier	1.75
autoresolver_flying_skirmish_units_use_entire_combat_time	1
autoresolver_flying_unit_melee_damage_dealt_modifier	0
autoresolver_flying_unit_melee_damage_received_modifier	-30
autoresolver_mana_pool_per_round_per_mana_cost_reduction	0
autoresolver_max_attackers_damaging_a_flanked_single_target_in_excess_melee	2
autoresolver_max_attackers_damaging_a_single_target_in_excess_melee	2
autoresolver_max_hp_for_enemy_hp_dps_modifier	2000
autoresolver_min_battle_time_before_retreat	45
autoresolver_min_entity_reduction_unary_of_max	0.002
autoresolver_min_hp_for_enemy_hp_dps_modifier	600
autoresolver_num_excess_melee_units_receiving_casualties_from_target	100
autoresolver_num_units_multiplier_vs_enemy_to_allow_retreat	0.75
autoresolver_siege_attack_kill_multiplier	1.75
autoresolver_special_ability_buff_kps_modifier_maximum	0.4
autoresolver_special_ability_buff_kps_modifier_minimum	0
autoresolver_special_ability_cp_to_strength_divider	250
autoresolver_special_ability_damage_damage_maximum	15
autoresolver_special_ability_damage_damage_minimum	1
autoresolver_special_ability_damage_range	100
autoresolver_special_ability_debuff_kps_modifier_maximum	0.4
autoresolver_special_ability_debuff_kps_modifier_minimum	0
autoresolver_special_ability_maximum_strength_proportion	1
autoresolver_special_ability_minimum_strength_proportion	0
autoresolver_unit_base_retreat_threshold	0.2
autoresolver_unit_wipe_out_threshold	0.2
autoresolver_wall_damage_num_artillery_units_percentage	0.01
autoresolver_winner_additional_building_damage_num_assult_equipment_percentage	0.2
autoresolver_winner_additional_building_damage_num_units_percentage	0.2
autoresolver_winner_additional_wall_damage_per_wall_breach	5
autoresolver_winner_kpd_major_win_threshold	3
autoresolver_winner_kpd_minor_win_threshold	0.3
autoresolver_wipe_out_army_force_unary_lost	0.92
background_resource_supply	20000
base_military_force_provision_range	30
base_recruitment_range_rotation_speed	0.015
