mercenary_unit_groups_tables
0
chance_to_replenish	key	max_count	max_replenish_per_turn	unit_record
0	wh2_main_lzd_cav_cold_one_spearriders_blessed_0	10	0	wh2_main_lzd_cav_cold_one_spearriders_blessed_0
0	wh2_main_lzd_cav_horned_ones_blessed_0	10	0	wh2_main_lzd_cav_horned_ones_blessed_0
0	wh2_main_lzd_cav_terradon_riders_blessed_1	10	0	wh2_main_lzd_cav_terradon_riders_blessed_1
0	wh2_main_lzd_inf_chameleon_skinks_blessed_0	10	0	wh2_main_lzd_inf_chameleon_skinks_blessed_0
0	wh2_main_lzd_inf_saurus_spearmen_blessed_1	10	0	wh2_main_lzd_inf_saurus_spearmen_blessed_1
0	wh2_main_lzd_inf_saurus_warriors_blessed_1	10	0	wh2_main_lzd_inf_saurus_warriors_blessed_1
0	wh2_main_lzd_inf_skink_skirmishers_blessed_0	10	0	wh2_main_lzd_inf_skink_skirmishers_blessed_0
0	wh2_main_lzd_inf_temple_guards_blessed	10	0	wh2_main_lzd_inf_temple_guards_blessed
0	wh2_main_lzd_mon_bastiladon_blessed_2	10	0	wh2_main_lzd_mon_bastiladon_blessed_2
0	wh2_main_lzd_mon_carnosaur_blessed_0	10	0	wh2_main_lzd_mon_carnosaur_blessed_0
0	wh2_main_lzd_mon_kroxigors_blessed	10	0	wh2_main_lzd_mon_kroxigors_blessed
0	wh2_main_lzd_mon_stegadon_blessed_1	10	0	wh2_main_lzd_mon_stegadon_blessed_1
0	wh_dlc02_vmp_cav_blood_knights_0	0	1	wh_dlc02_vmp_cav_blood_knights_0
100	wh_dlc04_emp_art_hammer_of_the_witches_0	1	1	wh_dlc04_emp_art_hammer_of_the_witches_0
100	wh_dlc04_emp_art_sunmaker_0	1	1	wh_dlc04_emp_art_sunmaker_0
100	wh_dlc04_emp_cav_royal_altdorf_gryphites_0	1	1	wh_dlc04_emp_cav_royal_altdorf_gryphites_0
100	wh_dlc04_emp_cav_zintlers_reiksguard_0	1	1	wh_dlc04_emp_cav_zintlers_reiksguard_0
100	wh_dlc04_emp_inf_sigmars_sons_0	1	1	wh_dlc04_emp_inf_sigmars_sons_0
100	wh_dlc04_emp_inf_silver_bullets_0	1	1	wh_dlc04_emp_inf_silver_bullets_0
100	wh_dlc04_emp_inf_stirlands_revenge_0	1	1	wh_dlc04_emp_inf_stirlands_revenge_0
100	wh_dlc04_emp_inf_tattersouls_0	1	1	wh_dlc04_emp_inf_tattersouls_0
100	wh_dlc04_emp_veh_templehof_luminark_0	1	1	wh_dlc04_emp_veh_templehof_luminark_0
100	wh_dlc04_vmp_cav_chillgheists_0	1	1	wh_dlc04_vmp_cav_chillgheists_0
100	wh_dlc04_vmp_cav_vereks_reavers_0	1	1	wh_dlc04_vmp_cav_vereks_reavers_0
100	wh_dlc04_vmp_inf_feasters_in_the_dusk_0	1	1	wh_dlc04_vmp_inf_feasters_in_the_dusk_0
100	wh_dlc04_vmp_inf_konigstein_stalkers_0	1	1	wh_dlc04_vmp_inf_konigstein_stalkers_0
100	wh_dlc04_vmp_inf_sternsmen_0	1	1	wh_dlc04_vmp_inf_sternsmen_0
100	wh_dlc04_vmp_inf_tithe_0	1	1	wh_dlc04_vmp_inf_tithe_0
100	wh_dlc04_vmp_mon_devils_swartzhafen_0	1	1	wh_dlc04_vmp_mon_devils_swartzhafen_0
100	wh_dlc04_vmp_mon_direpack_0	1	1	wh_dlc04_vmp_mon_direpack_0
100	wh_dlc04_vmp_veh_claw_of_nagash_0	1	1	wh_dlc04_vmp_veh_claw_of_nagash_0
0	wh_dlc04_vmp_veh_corpse_cart_0	0	1	wh_dlc04_vmp_veh_corpse_cart_0
0	wh_dlc04_vmp_veh_corpse_cart_1	0	1	wh_dlc04_vmp_veh_corpse_cart_1
0	wh_dlc04_vmp_veh_corpse_cart_2	0	1	wh_dlc04_vmp_veh_corpse_cart_2
0	wh_dlc04_vmp_veh_mortis_engine_0	0	1	wh_dlc04_vmp_veh_mortis_engine_0
100	wh_dlc06_dwf_art_gob_lobber_0	1	1	wh_dlc06_dwf_art_gob_lobber_0
100	wh_dlc06_dwf_inf_dragonback_slayers_0	1	1	wh_dlc06_dwf_inf_dragonback_slayers_0
100	wh_dlc06_dwf_inf_ekrund_miners_0	1	1	wh_dlc06_dwf_inf_ekrund_miners_0
100	wh_dlc06_dwf_inf_norgrimlings_ironbreakers_0	1	1	wh_dlc06_dwf_inf_norgrimlings_ironbreakers_0
100	wh_dlc06_dwf_inf_norgrimlings_irondrakes_0	1	1	wh_dlc06_dwf_inf_norgrimlings_irondrakes_0
100	wh_dlc06_dwf_inf_old_grumblers_0	1	1	wh_dlc06_dwf_inf_old_grumblers_0
100	wh_dlc06_dwf_inf_peak_gate_guard_0	1	1	wh_dlc06_dwf_inf_peak_gate_guard_0
100	wh_dlc06_dwf_inf_ulthars_raiders_0	1	1	wh_dlc06_dwf_inf_ulthars_raiders_0
100	wh_dlc06_dwf_inf_warriors_dragonfire_pass_0	1	1	wh_dlc06_dwf_inf_warriors_dragonfire_pass_0
100	wh_dlc06_dwf_veh_skyhammer_0	1	1	wh_dlc06_dwf_veh_skyhammer_0
100	wh_dlc06_grn_art_hammer_of_gork_0	1	1	wh_dlc06_grn_art_hammer_of_gork_0
100	wh_dlc06_grn_cav_broken_tusks_mob_0	1	1	wh_dlc06_grn_cav_broken_tusks_mob_0
100	wh_dlc06_grn_cav_deff_creepers_0	1	1	wh_dlc06_grn_cav_deff_creepers_0
100	wh_dlc06_grn_cav_durkits_squigs_0	1	1	wh_dlc06_grn_cav_durkits_squigs_0
100	wh_dlc06_grn_cav_mogrubbs_marauders_0	1	1	wh_dlc06_grn_cav_mogrubbs_marauders_0
100	wh_dlc06_grn_cav_moon_howlers_0	1	1	wh_dlc06_grn_cav_moon_howlers_0
100	wh_dlc06_grn_cav_teef_robbers_0	1	1	wh_dlc06_grn_cav_teef_robbers_0
100	wh_dlc06_grn_inf_da_eight_peaks_loonies_0	1	1	wh_dlc06_grn_inf_da_eight_peaks_loonies_0
100	wh_dlc06_grn_inf_da_rusty_arrers_0	1	1	wh_dlc06_grn_inf_da_rusty_arrers_0
100	wh_dlc06_grn_inf_da_warlords_boyz_0	1	1	wh_dlc06_grn_inf_da_warlords_boyz_0
100	wh_dlc06_grn_inf_krimson_killerz_0	1	1	wh_dlc06_grn_inf_krimson_killerz_0
100	wh_dlc06_grn_mon_venom_queen_0	1	1	wh_dlc06_grn_mon_venom_queen_0
0	wh_main_vmp_cav_black_knights_0	0	1	wh_main_vmp_cav_black_knights_0
0	wh_main_vmp_cav_black_knights_3	0	1	wh_main_vmp_cav_black_knights_3
0	wh_main_vmp_cav_hexwraiths	0	1	wh_main_vmp_cav_hexwraiths
0	wh_main_vmp_inf_cairn_wraiths	0	1	wh_main_vmp_inf_cairn_wraiths
0	wh_main_vmp_inf_crypt_ghouls	0	1	wh_main_vmp_inf_crypt_ghouls
0	wh_main_vmp_inf_grave_guard_0	0	1	wh_main_vmp_inf_grave_guard_0
0	wh_main_vmp_inf_grave_guard_1	0	1	wh_main_vmp_inf_grave_guard_1
0.2	wh_main_vmp_inf_skeleton_warriors_0	1	1	wh_main_vmp_inf_skeleton_warriors_0
0.2	wh_main_vmp_inf_skeleton_warriors_1	1	1	wh_main_vmp_inf_skeleton_warriors_1
0.5	wh_main_vmp_inf_zombie	3	3	wh_main_vmp_inf_zombie
0	wh_main_vmp_mon_crypt_horrors	0	1	wh_main_vmp_mon_crypt_horrors
0	wh_main_vmp_mon_dire_wolves	0	1	wh_main_vmp_mon_dire_wolves
0	wh_main_vmp_mon_fell_bats	0	1	wh_main_vmp_mon_fell_bats
0	wh_main_vmp_mon_terrorgheist	0	1	wh_main_vmp_mon_terrorgheist
0	wh_main_vmp_mon_vargheists	0	1	wh_main_vmp_mon_vargheists
0	wh_main_vmp_mon_varghulf	0	1	wh_main_vmp_mon_varghulf
0	wh_main_vmp_veh_black_coach	0	1	wh_main_vmp_veh_black_coach
