ancillary_types_tables
0
type	ui_icon
wh2_main_anc_def_assassin	ui/campaign ui/ancillaries/wh2_main_anc_def_assassin.png
wh2_main_anc_def_degenerate	ui/campaign ui/ancillaries/wh2_main_anc_def_degenerate.png
wh2_main_anc_def_slaver	ui/campaign ui/ancillaries/wh2_main_anc_def_slaver.png
wh2_main_anc_def_warrior	ui/campaign ui/ancillaries/wh2_main_anc_def_warrior.png
wh2_main_anc_def_zealot	ui/campaign ui/ancillaries/wh2_main_anc_def_zealot.png
wh2_main_anc_hef_agent	ui/campaign ui/ancillaries/wh2_main_anc_hef_agent.png
wh2_main_anc_hef_courtier	ui/campaign ui/ancillaries/wh2_main_anc_hef_courtier.png
wh2_main_anc_hef_priest	ui/campaign ui/ancillaries/wh2_main_anc_hef_priest.png
wh2_main_anc_hef_priestess	ui/campaign ui/ancillaries/wh2_main_anc_hef_priestess.png
wh2_main_anc_hef_scholar	ui/campaign ui/ancillaries/wh2_main_anc_hef_scholar.png
wh2_main_anc_hef_warrior	ui/campaign ui/ancillaries/wh2_main_anc_hef_warrior.png
wh2_main_anc_lzd_saurus_warrior	ui/campaign ui/ancillaries/wh2_main_anc_lzd_saurus_warrior.png
wh2_main_anc_lzd_skink_priest	ui/campaign ui/ancillaries/wh2_main_anc_lzd_skink_priest.png
wh2_main_anc_lzd_skink_scribe	ui/campaign ui/ancillaries/wh2_main_anc_lzd_skink_scribe.png
wh2_main_anc_lzd_skink_servant	ui/campaign ui/ancillaries/wh2_main_anc_lzd_skink_servant.png
wh2_main_anc_magic_standard_banner_of_ellyrion	ui/campaign ui/ancillaries/wh2_main_anc_magic_standard_banner_of_ellyrion.png
wh2_main_anc_magic_standard_banner_of_murder	ui/campaign ui/ancillaries/wh2_main_anc_magic_standard_banner_of_murder.png
wh2_main_anc_magic_standard_banner_of_the_under_empire	ui/campaign ui/ancillaries/wh2_main_anc_magic_standard_banner_of_the_under_empire.png
wh2_main_anc_magic_standard_banner_of_the_world_dragon	ui/campaign ui/ancillaries/wh2_main_anc_magic_standard_banner_of_the_world_dragon.png
wh2_main_anc_magic_standard_banner_of_verminous_scurrying	ui/campaign ui/ancillaries/wh2_main_anc_magic_standard_banner_of_verminous_scurrying.png
wh2_main_anc_magic_standard_battle_banner	ui/battle ui/ability_icons/wh2_main_banner_passive_battle_banner.png
wh2_main_anc_magic_standard_dread_banner	ui/campaign ui/ancillaries/wh2_main_anc_magic_standard_dread_banner.png
wh2_main_anc_magic_standard_dwarf_hide_banner	ui/campaign ui/ancillaries/wh2_main_anc_magic_standard_dwarf_hide_banner.png
wh2_main_anc_magic_standard_grand_banner_of_clan_superiority	ui/campaign ui/ancillaries/wh2_main_anc_magic_standard_grand_banner_of_clan_superiority.png
wh2_main_anc_magic_standard_horn_of_isha	ui/campaign ui/ancillaries/wh2_main_anc_magic_standard_horn_of_isha.png
wh2_main_anc_magic_standard_huanchis_blessed_totem	ui/campaign ui/ancillaries/wh2_main_anc_magic_standard_huanchis_blessed_totem.png
wh2_main_anc_magic_standard_hydra_banner	ui/campaign ui/ancillaries/wh2_main_anc_magic_standard_hydra_banner.png
wh2_main_anc_magic_standard_lion_standard	ui/campaign ui/ancillaries/wh2_main_anc_magic_standard_lion_standard.png
wh2_main_anc_magic_standard_sacred_banner_of_the_horned_rat	ui/battle ui/ability_icons/wh2_main_banner_passive_sacred_banner_of_the_horned_rat.png
wh2_main_anc_magic_standard_sea_serpent_standard	ui/campaign ui/ancillaries/wh2_main_anc_magic_standard_sea_serpent_standard.png
wh2_main_anc_magic_standard_shroud_of_dripping_death	ui/campaign ui/ancillaries/wh2_main_anc_magic_standard_shroud_of_dripping_death.png
wh2_main_anc_magic_standard_skavenpelt_banner	ui/campaign ui/ancillaries/wh2_main_anc_magic_standard_skavenpelt_banner.png
wh2_main_anc_magic_standard_standard_of_hag_graef	ui/campaign ui/ancillaries/wh2_main_anc_magic_standard_standard_of_hag_graef.png
wh2_main_anc_magic_standard_storm_banner	ui/battle ui/ability_icons/wh2_main_banner_passive_storm_banner.png
wh2_main_anc_magic_standard_sun_standard_of_chotec	ui/campaign ui/ancillaries/wh2_main_anc_magic_standard_sun_standard_of_chotec.png
wh2_main_anc_magic_standard_sunburst_standard_of_hexoatl	ui/campaign ui/ancillaries/wh2_main_anc_magic_standard_sunburst_standard_of_hexoatl.png
wh2_main_anc_magic_standard_the_blood_banner	ui/campaign ui/ancillaries/wh2_main_anc_magic_standard_the_blood_banner.png
wh2_main_anc_magic_standard_the_jaguar_standard	ui/campaign ui/ancillaries/wh2_main_anc_magic_standard_the_jaguar_standard.png
wh2_main_anc_magic_standard_totem_of_prophecy	ui/campaign ui/ancillaries/wh2_main_anc_magic_standard_totem_of_prophecy.png
wh2_main_anc_mount_ancient_stegadon	ui/campaign ui/mounts/mount_ancient_stegadon.png
wh2_main_anc_mount_barded_ithilmar_steed	ui/campaign ui/mounts/mount_barded_ithilmar_steed.png
wh2_main_anc_mount_black_dragon	ui/campaign ui/mounts/mount_black_dragon.png
wh2_main_anc_mount_carnosaur	ui/campaign ui/mounts/mount_carnosaur.png
wh2_main_anc_mount_cauldron_of_blood	ui/campaign ui/mounts/mount_cauldron_of_blood.png
wh2_main_anc_mount_cold_one	ui/campaign ui/mounts/mount_cold_one.png
wh2_main_anc_mount_cold_one_chariot	ui/campaign ui/mounts/mount_cold_one_chariot.png
wh2_main_anc_mount_dark_pegasus	ui/campaign ui/mounts/mount_dark_pegasus.png
wh2_main_anc_mount_dark_steed	ui/campaign ui/mounts/mount_dark_steed.png
wh2_main_anc_mount_elven_steed	ui/campaign ui/mounts/mount_elven_steed.png
wh2_main_anc_mount_grymloq	ui/campaign ui/mounts/mount_grymloq.png
wh2_main_anc_mount_horned_one	ui/campaign ui/mounts/mount_horned_one.png
wh2_main_anc_mount_ithilmar_chariot	ui/campaign ui/mounts/mount_ithilmar_chariot.png
wh2_main_anc_mount_moon_dragon	ui/campaign ui/mounts/mount_moon_dragon.png
wh2_main_anc_mount_plague_furnace	ui/campaign ui/mounts/mount_plague_furnace.png
wh2_main_anc_mount_rat_ogre	ui/campaign ui/mounts/mount_rat_ogre.png
wh2_main_anc_mount_screaming_bell	ui/campaign ui/mounts/mount_screaming_bell.png
wh2_main_anc_mount_star_dragon	ui/campaign ui/mounts/mount_star_dragon.png
wh2_main_anc_mount_stegadon	ui/campaign ui/mounts/mount_stegadon.png
wh2_main_anc_mount_sun_dragon	ui/campaign ui/mounts/mount_sun_dragon.png
