campaign_rogue_army_group_units_tables
0
unknown0	unknown1	unknown2	unknown3	unknown4
wh2_main_rogue_group_1	0	0	wh2_main_def_cav_cold_one_knights_1	9
wh2_main_rogue_group_1	1	0	wh2_main_def_cav_cold_one_knights_1	5
wh2_main_rogue_group_black_spider_tribe	1032313070	0	wh_main_grn_cav_forest_goblin_spider_riders_1	8
wh2_main_rogue_group_stuff_snatchers	103392219	0	wh_main_grn_cav_forest_goblin_spider_riders_1	5
wh2_main_rogue_group_teef_snatchaz	1039298168	0	wh_main_grn_art_goblin_rock_lobber	0
wh2_main_rogue_group_bernhoffs_brigands	1041723114	0	wh_main_brt_cav_mounted_yeomen_1	6
wh2_main_rogue_group_scourge_of_aquitaine	104262520	0	wh_main_vmp_cav_black_knights_3	6
wh2_main_rogue_group_bernhoffs_brigands	1043075324	0	wh_main_brt_cav_mounted_yeomen_1	6
wh2_main_rogue_group_hunters_of_kurnous	105	0	wh_dlc05_wef_inf_glade_guard_2	5
wh2_main_rogue_group_scions_of_tesseninck	1066461555	0	wh_main_emp_inf_spearmen_0	0
wh2_main_rogue_group_pirates_of_the_southern_ocean	1095130643	0	wh_main_emp_cav_pistoliers_1	0
wh2_main_rogue_group_pirates_of_the_far_sea	1102866443	0	wh_main_emp_cav_pistoliers_1	0
wh2_main_rogue_group_1	1115652328	0	wh_main_chs_cav_chaos_knights_0	4
wh2_main_rogue_group_college_of_pyrotechnics	111766499	0	wh_main_emp_cav_outriders_1	6
wh2_main_rogue_group_black_spider_tribe	1125393406	0	wh_main_grn_cav_forest_goblin_spider_riders_1	8
wh2_main_rogue_group_mengils_manflayers	113	0	wh2_main_def_inf_black_ark_corsairs_1	5
wh2_main_rogue_group_boneclubbers_tribe	1131069992	0	wh_main_grn_inf_black_orcs	5
wh2_main_rogue_group_boneclubbers_tribe	1134905307	0	wh_main_grn_cav_orc_boar_boy_big_uns	5
wh2_main_rogue_group_pirates_of_the_far_sea	1155935889	0	wh_dlc04_emp_inf_free_company_militia_0	0
wh2_main_rogue_group_celestial_storm	1175929969	0	wh_dlc01_chs_mon_dragon_ogre	8
wh2_main_rogue_group_abominations	117644288	0	wh2_main_skv_mon_hell_pit_abomination	9
wh2_main_rogue_group_mengils_manflayers	118	0	wh2_main_def_inf_black_ark_corsairs_0	5
wh2_main_rogue_group_pirates_of_the_southern_ocean	11906156	0	wh_main_emp_art_mortar	0
wh2_main_rogue_group_mengils_manflayers	123	0	wh2_main_def_inf_shades_1	5
wh2_main_rogue_group_vauls_expedition	1230226178	0	wh2_main_hef_inf_archers_1	0
wh2_main_rogue_group_pirates_of_the_far_sea	1231901894	0	wh_main_emp_cav_outriders_0	0
wh2_main_rogue_group_scions_of_tesseninck	125900847	0	wh_main_emp_art_great_cannon	0
wh2_main_rogue_group_mengils_manflayers	127	0	wh2_main_def_inf_shades_2	5
wh2_main_rogue_group_doomseekers	1270099139	0	wh_main_dwf_inf_irondrakes_0	7
wh2_main_rogue_group_hung_warband	1271766659	0	wh_main_chs_cav_marauder_horsemen_1	8
wh2_main_rogue_group_1	1287588583	0	wh_dlc01_chs_inf_chosen_2	6
wh2_main_rogue_group_pirates_of_the_southern_ocean	128836282	0	wh_main_emp_cav_pistoliers_1	0
wh2_main_rogue_group_boneclubbers_tribe	1295443962	0	wh_main_grn_cav_orc_boar_boy_big_uns	5
