character_skill_nodes_tables
5
campaign_key	character_skill_key	character_skill_node_set_key	faction_key	indent	key	tier	subculture	points_on_creation	required_num_parents	visible_in_ui
	mark_khorne	wh_dlc03_skill_node_set_bst_beastlord		0	bst_lord_khorne	28		0	0	True
	mark_slaanesh	wh_dlc03_skill_node_set_bst_beastlord		0	bst_lord_slaanesh	29		0	0	True
	mark_tzeentch	wh_dlc03_skill_node_set_bst_beastlord		0	bst_lord_tzeentch	30		0	0	True
	mark_nurgle	wh_dlc03_skill_node_set_bst_beastlord		0	bst_lord_nurgle	31		0	0	True
	mark_khorne	wh_dlc03_skill_node_set_bst_doombull		0	doombull_khorne	28		0	0	True
	mark_nurgle	wh_dlc03_skill_node_set_bst_doombull		0	doombull_nurgle	29		0	0	True
	mark_khorne	wh_dlc03_skill_node_set_bst_gorebull		0	gorebull_khorne	26		0	0	True
	mark_nurgle	wh_dlc03_skill_node_set_bst_gorebull		0	gorebull_nurgle	27		0	0	True
	mark_slaanesh	wh_dlc03_skill_node_set_bst_bray_shaman_wild		0	shaman_wild_slaanesh	26		0	0	True
	mark_tzeentch	wh_dlc03_skill_node_set_bst_bray_shaman_wild		0	shaman_wild_tzeentch	27		0	0	True
	mark_nurgle	wh_dlc03_skill_node_set_bst_bray_shaman_wild		0	shaman_wild_nurgle	28		0	0	True
	mark_slaanesh	wh_dlc03_skill_node_set_bst_bray_shaman_beast		0	shaman_beast_slaanesh	26		0	0	True
	mark_tzeentch	wh_dlc03_skill_node_set_bst_bray_shaman_beast		0	shaman_beast_tzeentch	27		0	0	True
	mark_nurgle	wh_dlc03_skill_node_set_bst_bray_shaman_beast		0	shaman_beast_nurgle	28		0	0	True
	mark_slaanesh	wh_dlc03_skill_node_set_bst_bray_shaman_death		0	shaman_death_slaanesh	26		0	0	True
	mark_tzeentch	wh_dlc03_skill_node_set_bst_bray_shaman_death		0	shaman_death_tzeentch	27		0	0	True
	mark_nurgle	wh_dlc03_skill_node_set_bst_bray_shaman_death		0	shaman_death_nurgle	28		0	0	True
	mark_slaanesh	wh_dlc03_skill_node_set_bst_bray_shaman_shadows		0	shaman_shadow_slaanesh	26		0	0	True
	mark_tzeentch	wh_dlc03_skill_node_set_bst_bray_shaman_shadows		0	shaman_shadow_tzeentch	27		0	0	True
	mark_nurgle	wh_dlc03_skill_node_set_bst_bray_shaman_shadows		0	shaman_shadow_nurgle	28		0	0	True
	mark_slaanesh	wh_dlc03_skill_node_set_bst_great_bray_shaman_wild		0	lshaman_wild_slaanesh	28		0	0	True
	mark_tzeentch	wh_dlc03_skill_node_set_bst_great_bray_shaman_wild		0	lshaman_wild_tzeentch	29		0	0	True
	mark_nurgle	wh_dlc03_skill_node_set_bst_great_bray_shaman_wild		0	lshaman_wild_nurgle	30		0	0	True
	mark_slaanesh	wh_dlc03_skill_node_set_bst_great_bray_shaman_beasts		0	lshaman_beast_slaanesh	28		0	0	True
	mark_tzeentch	wh_dlc03_skill_node_set_bst_great_bray_shaman_beasts		0	lshaman_beast_tzeentch	29		0	0	True
	mark_nurgle	wh_dlc03_skill_node_set_bst_great_bray_shaman_beasts		0	lshaman_beast_nurgle	30		0	0	True
	mark_slaanesh	wh_dlc03_skill_node_set_bst_great_bray_shaman_death		0	lshaman_death_slaanesh	28		0	0	True
	mark_tzeentch	wh_dlc03_skill_node_set_bst_great_bray_shaman_death		0	lshaman_death_tzeentch	29		0	0	True
	mark_nurgle	wh_dlc03_skill_node_set_bst_great_bray_shaman_death		0	lshaman_death_nurgle	30		0	0	True
	mark_khorne	wh_main_skill_node_set_chs_lord		0	chs_lord_khorne	28		0	0	True
	mark_slaanesh	wh_main_skill_node_set_chs_lord		0	chs_lord_slaanesh	29		0	0	True
	mark_tzeentch	wh_main_skill_node_set_chs_lord		0	chs_lord_tzeentch	30		0	0	True
	mark_nurgle	wh_main_skill_node_set_chs_lord		0	chs_lord_nurgle	31		0	0	True
	mark_slaanesh	wh_dlc07_skill_node_set_chs_sorcerer_lord_shadow		0	chs_lord_shadow_slaanesh	28		0	0	True
	mark_tzeentch	wh_dlc07_skill_node_set_chs_sorcerer_lord_shadow		0	chs_lord_shadow_tzeentch	29		0	0	True
	mark_nurgle	wh_dlc07_skill_node_set_chs_sorcerer_lord_shadow		0	chs_lord_shadow_nurgle	30		0	0	True
	mark_slaanesh	wh_main_skill_node_set_chs_sorcerer_lord_death		0	chs_lord_death_slaanesh	28		0	0	True
	mark_tzeentch	wh_main_skill_node_set_chs_sorcerer_lord_death		0	chs_lord_death_tzeentch	29		0	0	True
	mark_nurgle	wh_main_skill_node_set_chs_sorcerer_lord_death		0	chs_lord_death_nurgle	30		0	0	True
	mark_slaanesh	wh_main_skill_node_set_chs_sorcerer_lord_fire		0	chs_lord_fire_slaanesh	28		0	0	True
	mark_tzeentch	wh_main_skill_node_set_chs_sorcerer_lord_fire		0	chs_lord_fire_tzeentch	29		0	0	True
	mark_nurgle	wh_main_skill_node_set_chs_sorcerer_lord_fire		0	chs_lord_fire_nurgle	30		0	0	True
	mark_slaanesh	wh_main_skill_node_set_chs_sorcerer_lord_metal		0	chs_lord_metal_slaanesh	28		0	0	True
	mark_tzeentch	wh_main_skill_node_set_chs_sorcerer_lord_metal		0	chs_lord_metal_tzeentch	29		0	0	True
	mark_nurgle	wh_main_skill_node_set_chs_sorcerer_lord_metal		0	chs_lord_metal_nurgle	30		0	0	True
