building_units_allowed_tables
4
building	unit	unknown2	unknown3	unknown4	faction	unknown6
wh_dlc06_grn_walls_3_skarsnik	wh_main_grn_inf_night_goblins	0	10100	0		False
wh_dlc06_grn_walls_1_wurrzag	wh_main_grn_inf_savage_orcs	0	10101	0		False
wh_dlc06_grn_walls_2_wurrzag	wh_main_grn_inf_savage_orcs	0	10102	0		False
wh_dlc06_grn_walls_3_wurrzag	wh_main_grn_inf_savage_orcs	0	10103	0		False
wh_dlc06_grn_walls_3_wurrzag	wh_main_grn_inf_savage_orc_arrer_boyz	0	10104	0		False
wh_dlc06_grn_garrison_1_skarsnik	wh_main_grn_inf_night_goblins	0	10105	0		False
wh_dlc06_grn_garrison_2_skarsnik	wh_main_grn_inf_night_goblins	0	10106	0		False
wh_dlc06_grn_garrison_1_wurrzag	wh_main_grn_inf_savage_orcs	0	10107	0		False
wh_dlc06_grn_garrison_2_wurrzag	wh_main_grn_inf_savage_orcs	0	10108	0		False
wh_main_grn_walls_1	wh_main_grn_inf_goblin_spearmen	0	10109	0		False
wh_main_grn_walls_1	wh_main_grn_inf_orc_boyz	0	10110	0		False
wh_main_grn_walls_2	wh_main_grn_inf_goblin_spearmen	0	10111	0		False
wh_main_grn_walls_2	wh_main_grn_inf_orc_boyz	0	10112	0		False
wh_main_grn_walls_3	wh_main_grn_inf_orc_arrer_boyz	0	10113	0		False
wh_main_grn_walls_3	wh_main_grn_inf_orc_boyz	0	10114	0		False
wh_main_grn_garrison_1	wh_main_grn_inf_goblin_spearmen	0	10115	0		False
wh_main_grn_garrison_2	wh_main_grn_inf_goblin_spearmen	0	10116	0		False
wh_main_brt_garrison_2	wh_main_brt_inf_spearmen_at_arms	0	10118	0		False
wh_main_brt_walls_2	wh_dlc07_brt_inf_men_at_arms_2	0	10119	0		False
wh_main_brt_walls_2	wh_main_brt_inf_spearmen_at_arms	0	10120	0		False
wh_main_brt_walls_3	wh_dlc07_brt_inf_men_at_arms_2	0	10121	0		False
wh_main_brt_walls_3	wh_main_brt_inf_spearmen_at_arms	0	10122	0		False
wh_main_emp_walls_1	wh_main_emp_inf_swordsmen	0	10123	0		False
wh_main_emp_walls_2	wh_main_emp_inf_swordsmen	0	10124	0		False
wh_main_emp_walls_2	wh_main_emp_inf_crossbowmen	0	10125	0		False
wh_main_emp_walls_3	wh_main_emp_inf_spearmen_1	0	10126	0		False
wh_main_emp_walls_3	wh_main_emp_inf_crossbowmen	0	10127	0		False
wh_main_emp_garrison_1	wh_main_emp_inf_swordsmen	0	10128	0		False
wh_main_emp_garrison_2	wh_main_emp_inf_swordsmen	0	10129	0		False
wh_main_dwf_wall_1	wh_main_dwf_inf_dwarf_warrior_0	0	10130	0		False
wh_main_dwf_wall_2	wh_main_dwf_inf_dwarf_warrior_0	0	10131	0		False
wh_main_dwf_wall_3	wh_main_dwf_inf_dwarf_warrior_0	0	10132	0		False
wh_main_dwf_wall_3	wh_main_dwf_inf_quarrellers_0	0	10133	0		False
wh_main_dwf_garrison_1	wh_main_dwf_inf_dwarf_warrior_0	0	10134	0		False
wh_main_dwf_garrison_2	wh_main_dwf_inf_dwarf_warrior_0	0	10135	0		False
wh_main_vmp_walls_1	wh_main_vmp_inf_skeleton_warriors_0	0	10136	0		False
wh_main_vmp_walls_2	wh_main_vmp_inf_skeleton_warriors_0	0	10137	0		False
wh_main_vmp_walls_3	wh_main_vmp_inf_skeleton_warriors_1	0	10138	0		False
wh_main_vmp_garrison_1	wh_main_vmp_inf_skeleton_warriors_0	0	10139	0		False
wh_main_vmp_garrison_2	wh_main_vmp_inf_skeleton_warriors_1	0	10140	0		False
wh_main_ksl_walls_1	wh_main_emp_inf_spearmen_0	0	10141	0		False
wh_main_ksl_walls_2	wh_main_emp_inf_spearmen_1	0	10142	0		False
wh_main_ksl_walls_2	wh_main_emp_inf_crossbowmen	0	10143	0		False
wh_main_ksl_walls_3	wh_main_emp_inf_spearmen_1	0	10144	0		False
wh_main_ksl_walls_3	wh_main_emp_inf_crossbowmen	0	10145	0		False
wh_main_teb_walls_1	wh_main_emp_inf_spearmen_0	0	10146	0		False
wh_main_teb_walls_2	wh_main_emp_inf_spearmen_1	0	10147	0		False
wh_main_teb_walls_2	wh_main_emp_inf_crossbowmen	0	10148	0		False
wh_main_teb_walls_3	wh_main_emp_inf_spearmen_1	0	10149	0		False
wh_main_teb_walls_3	wh_main_emp_inf_crossbowmen	0	10150	0		False
wh_dlc06_grn_walls_2_skarsnik	wh_main_grn_inf_night_goblins	0	10151	0		False
wh_dlc06_grn_walls_3_skarsnik	wh_main_grn_inf_night_goblin_archers	0	10152	0		False
wh_main_vmp_walls_1	wh_main_vmp_inf_skeleton_warriors_1	0	10153	0		False
wh_main_vmp_walls_2	wh_main_vmp_inf_skeleton_warriors_1	0	10154	0		False
wh_main_brt_garrison_2	wh_dlc07_brt_inf_men_at_arms_2	0	10155	0		False
wh_dlc06_grn_walls_1_skarsnik	wh_main_grn_inf_night_goblins	0	10156	0		False
wh_dlc06_grn_walls_2_skarsnik	wh_main_grn_inf_night_goblin_fanatics	0	10157	0		False
wh_dlc06_grn_walls_3_skarsnik	wh_main_grn_inf_night_goblin_fanatics	0	10158	0		False
wh_main_teb_walls_3	wh_main_emp_inf_spearmen_0	0	10159	0		False
wh_main_teb_walls_2	wh_main_emp_inf_spearmen_0	0	10160	0		False
wh_main_teb_walls_2	wh_main_emp_inf_swordsmen	0	10161	0		False
