building_units_allowed_tables
4
building	unit	unknown2	unknown3	unknown4	faction	unknown6
wh_dlc03_horde_beastmen_creatures_3	wh_dlc03_bst_feral_manticore	0	1001	0		False
wh_main_emp_forges_2	wh_main_emp_art_helblaster_volley_gun	0	1002	0		False
wh_main_emp_stables_1	wh_main_emp_cav_empire_knights	0	1003	0		False
wh2_main_hef_order_1	wh2_main_hef_inf_spearmen_0	0	1006	0		False
wh2_main_hef_order_2	wh2_main_hef_inf_spearmen_0	0	1007	0		False
wh2_main_hef_order_3	wh2_main_hef_inf_spearmen_0	0	1008	0		False
wh2_main_hef_order_4	wh2_main_hef_inf_spearmen_0	0	1009	0		False
wh2_main_hef_order_5	wh2_main_hef_inf_spearmen_0	0	1010	0		False
wh2_main_def_port_2	wh2_main_def_inf_black_ark_corsairs_0	0	1004	0		False
wh2_main_def_port_3	wh2_main_def_inf_black_ark_corsairs_0	0	1005	0		False
wh2_main_lzd_worship_oldones_3	wh2_main_lzd_inf_temple_guards	0	1011	0		False
wh2_main_lzd_worship_sotek_3	wh2_main_lzd_inf_temple_guards	0	1012	0		False
wh_dlc05_wef_outpost_recruitment_1	wh_dlc05_wef_inf_eternal_guard_0	0	1013	0		False
wh_dlc05_wef_outpost_recruitment_1	wh_dlc05_wef_inf_glade_guard_0	0	1014	0		False
wh_dlc05_wef_outpost_recruitment_1	wh_dlc05_wef_inf_dryads_0	0	1015	0		False
wh2_main_special_fortress_gate_eagle_hef_4	wh2_main_hef_inf_gate_guard	0	1016	0		False
wh2_main_special_fortress_gate_eagle_hef_5	wh2_main_hef_inf_gate_guard	0	1017	0		False
wh2_main_special_fortress_gate_griffon_hef_4	wh2_main_hef_inf_gate_guard	0	1018	0		False
wh2_main_special_fortress_gate_griffon_hef_5	wh2_main_hef_inf_gate_guard	0	1019	0		False
wh2_main_special_fortress_gate_phoenix_hef_4	wh2_main_hef_inf_gate_guard	0	1020	0		False
wh2_main_special_fortress_gate_phoenix_hef_5	wh2_main_hef_inf_gate_guard	0	1021	0		False
wh2_main_special_fortress_gate_unicorn_hef_4	wh2_main_hef_inf_gate_guard	0	1022	0		False
wh2_main_special_fortress_gate_unicorn_hef_5	wh2_main_hef_inf_gate_guard	0	1023	0		False
wh2_main_special_fortress_gate_eagle_hef_3	wh2_main_hef_inf_gate_guard	0	1024	0		False
wh2_main_special_fortress_gate_griffon_hef_3	wh2_main_hef_inf_gate_guard	0	1025	0		False
wh2_main_special_fortress_gate_phoenix_hef_3	wh2_main_hef_inf_gate_guard	0	1026	0		False
wh2_main_special_fortress_gate_unicorn_hef_3	wh2_main_hef_inf_gate_guard	0	1027	0		False
