regions_tables
5
key	r	g	b	owner_bundle	native
wh2_main_aghol_wastelands_fortress_of_the_damned	98	145	125		emp
wh2_main_aghol_wastelands_palace_of_princes	97	129	227		emp
wh2_main_aghol_wastelands_the_palace_of_ruin	176	78	204		emp
wh2_main_ash_river_numas	44	51	109		vmp
wh2_main_ash_river_quatar	39	64	117		vmp
wh2_main_ash_river_springs_of_eternal_life	232	153	6		vmp
wh2_main_atalan_mountains_eye_of_the_panther	155	33	158		grn
wh2_main_atalan_mountains_martek	209	34	222		brt
wh2_main_atalan_mountains_vulture_mountain	0	192	198		grn
wh2_main_avelorn_evershale	221	249	222		hef
wh2_main_avelorn_gaean_vale	237	219	87		hef
wh2_main_avelorn_tor_saroir	113	202	160		hef
wh2_main_blackspine_mountains_plain_of_dogs	45	33	210		grn
wh2_main_blackspine_mountains_plain_of_spiders	115	165	242		grn
wh2_main_blackspine_mountains_red_desert	125	218	104		grn
wh2_main_caledor_tor_sethai	11	200	8		hef
wh2_main_caledor_vauls_anvil	224	252	178		hef
wh2_main_charnel_valley_granite_massif	38	119	215		grn
wh2_main_charnel_valley_karag_orrud	128	0	194		grn
wh2_main_chrace_elisia	28	57	186		hef
wh2_main_chrace_tor_achare	20	65	161		hef
wh2_main_coast_of_araby_al_haikk	86	1	92		brt
wh2_main_coast_of_araby_copher	63	34	190		brt
wh2_main_coast_of_araby_fyrus	222	205	190		brt
wh2_main_cothique_mistnar	165	173	37		hef
wh2_main_cothique_tor_koruali	131	228	98		hef
wh2_main_crater_of_the_walking_dead_doom_glade	141	180	247		vmp
wh2_main_crater_of_the_walking_dead_rasetra	12	110	222		vmp
wh2_main_deadwood_dargoth	139	143	230		def
wh2_main_deadwood_nagrar	180	125	8		def
wh2_main_deadwood_shagrath	95	38	43		def
wh2_main_deadwood_the_frozen_city	126	65	229		def
wh2_main_devils_backbone_lahmia	4	167	214		vmp
wh2_main_devils_backbone_lybaras	245	117	201		vmp
wh2_main_devils_backbone_mahrak	229	43	83		vmp
wh2_main_doom_glades_hag_hall	172	248	186		def
wh2_main_doom_glades_ice_rock_gorge	57	28	202		def
wh2_main_doom_glades_temple_of_addaioth	88	29	123		def
wh2_main_doom_glades_vauls_anvil	14	158	134		def
wh2_main_eagle_gate	153	54	206		hef
wh2_main_eataine_angerrial	138	184	88		hef
wh2_main_eataine_lothern	226	18	226		hef
wh2_main_eataine_shrine_of_asuryan	130	210	239		hef
wh2_main_eataine_tower_of_lysean	238	147	146		hef
wh2_main_ellyrion_tor_elyr	186	84	191		hef
wh2_main_ellyrion_whitefire_tor	21	221	151		hef
wh2_main_great_desert_of_araby_bel_aliad	24	11	217		vmp
wh2_main_great_desert_of_araby_black_tower_of_arkhan	138	153	145		vmp
wh2_main_great_desert_of_araby_el-kalabad	236	203	228		brt
wh2_main_great_desert_of_araby_pools_of_despair	226	244	134		vmp
wh2_main_griffon_gate	168	91	9		hef
wh2_main_headhunters_jungle_mangrove_coast	139	204	133		lzd
wh2_main_headhunters_jungle_marks_of_the_old_ones	61	70	48		lzd
wh2_main_headhunters_jungle_oyxl	171	28	246		lzd
wh2_main_hell_pit_hell_pit	23	0	111		skv
wh2_main_huahuan_desert_chamber_of_visions	65	35	31		lzd
wh2_main_huahuan_desert_sentinels_of_xeti	85	181	204		lzd
wh2_main_huahuan_desert_the_golden_colossus	135	171	174		lzd
wh2_main_iron_mountains_altar_of_ultimate_darkness	47	158	68		def
wh2_main_iron_mountains_har_kaldra	153	170	239		def
wh2_main_iron_mountains_naggarond	41	23	103		def
wh2_main_iron_mountains_rackdo_gorge	50	213	38		def
wh2_main_ironfrost_glacier_dagraks_end	123	238	81		emp
wh2_main_ironfrost_glacier_ironfrost	240	180	231		emp
wh2_main_isthmus_of_lustria_fallen_gates	140	51	235		lzd
wh2_main_isthmus_of_lustria_hexoatl	166	41	92		lzd
wh2_main_isthmus_of_lustria_skeggi	165	113	136		emp
wh2_main_isthmus_of_lustria_ziggurat_of_dawn	182	34	30		lzd
wh2_main_jungles_of_green_mists_spektazuma	120	249	137		lzd
wh2_main_jungles_of_green_mists_wellsprings_of_eternity	0	98	39		lzd
wh2_main_kingdom_of_beasts_serpent_coast	155	79	30		lzd
wh2_main_kingdom_of_beasts_temple_of_skulls	130	116	96		lzd
wh2_main_kingdom_of_beasts_the_cursed_jungle	147	199	64		lzd
wh2_main_land_of_assassins_lashiek	127	231	14		brt
wh2_main_land_of_assassins_palace_of_the_wizard_caliph	73	31	99		brt
wh2_main_land_of_assassins_sorcerers_islands	143	230	186		brt
wh2_main_land_of_the_dead_khemri	26	174	17		vmp
