trait_to_antitraits_tables
0
trait	antitrait
wh2_main_trait_agent_target_fail	wh2_main_trait_agent_target_success
wh2_main_trait_agent_target_success	wh2_main_trait_agent_target_fail
wh2_main_trait_attacking_defeat	wh2_main_trait_attacking_victory
wh2_main_trait_attacking_victory	wh2_main_trait_attacking_defeat
wh2_main_trait_corrupted_chaos	wh2_main_trait_non_corrupted
wh2_main_trait_corrupted_vampire	wh2_main_trait_non_corrupted
wh2_main_trait_defeats_at_sea	wh2_main_trait_wins_at_sea
wh2_main_trait_defeats	wh2_main_trait_wins
wh2_main_trait_defending_defeat	wh2_main_trait_defending_victory
wh2_main_trait_defending_victory	wh2_main_trait_defending_defeat
wh2_main_trait_fighter	wh2_main_trait_routed
wh2_main_trait_lazy	wh2_main_trait_lone_wolf
wh2_main_trait_lone_wolf	wh2_main_trait_lazy
wh2_main_trait_routed	wh2_main_trait_fighter
wh2_main_trait_siege_defeat	wh2_main_trait_siege_victory
wh2_main_trait_siege_victory	wh2_main_trait_siege_defeat
wh2_main_trait_wins_at_sea	wh2_main_trait_defeats_at_sea
wh2_main_trait_wins	wh2_main_trait_defeats
wh_dlc07_trait_brt_lord_bad_attacker	wh_dlc07_trait_brt_lord_good_attacker
wh_dlc07_trait_brt_lord_bad_defender	wh_dlc07_trait_brt_lord_good_defender
wh_dlc07_trait_brt_lord_good_attacker	wh_dlc07_trait_brt_lord_bad_attacker
wh_dlc07_trait_brt_lord_good_defender	wh_dlc07_trait_brt_lord_bad_defender
