campaign_variables_tables
0
variable_key	value
military_force_morale_raiding	2
occupation_decision_sack_public_order_reduction	15
raid_faction_province_public_order_penalty	-5
raid_settlement_gdp_income_percentage	32
raid_settlement_trade_income_percentage	18
settlement_looting_publicorder_reduction	15
settlement_vandalisation_chance	70
rebel_army_additional_units_per_turn_size	4
rebel_budget_factor_army	0.25
rebel_budget_factor_garrison	0.45
rebel_budget_factor_settlement_buildings	375
rebel_budget_factor_settlement_slot	625
rebel_initial_army_size	8
raid_faction_province_development_penalty	-10
