cultures_subcultures_tables
1
subculture	culture	unknown2	unknown3
wh2_main_rogue_abominations	wh2_main_rogue	267873816	Beastmen
wh2_main_rogue_beastcatchas	wh2_main_rogue	567044600	Greenskins
wh2_main_rogue_bernhoffs_brigands	wh2_main_rogue	1826192931	Empire
wh2_main_rogue_black_spider_tribe	wh2_main_rogue	247852815	Greenskins
wh2_main_rogue_boneclubbers_tribe	wh2_main_rogue	1373406808	Greenskins
wh2_main_rogue_celestial_storm	wh2_main_rogue	1990928929	Lizardmen
wh2_main_rogue_college_of_pyrotechnics	wh2_main_rogue	1387042618	Empire
wh2_main_rogue_doomseekers	wh2_main_rogue	1709279109	Dwarfs
wh2_main_rogue_gerhardts_mercenaries	wh2_main_rogue	1367046420	Empire
wh2_main_rogue_heirs_of_mourkain	wh2_main_rogue	1899998288	Vampire_Counts
wh2_main_rogue_hung_warband	wh2_main_rogue	848210185	Chaos
wh2_main_rogue_hunters_of_kurnous	wh2_main_rogue	754622578	Wood_Elves
wh2_main_rogue_jerrods_errantry	wh2_main_rogue	1009496839	Bretonnia
wh2_main_rogue_mangy_houndz	wh2_main_rogue	791666829	Greenskins
wh2_main_rogue_mengils_manflayers	wh2_main_rogue	1352551546	Dark_Elves
wh2_main_rogue_morrsliebs_howlers	wh2_main_rogue	1585398451	Skaven
wh2_main_rogue_pirates_of_the_far_sea	wh2_main_rogue	672549254	Empire
wh2_main_rogue_pirates_of_the_southern_ocean	wh2_main_rogue	1736748453	Empire
wh2_main_rogue_pirates_of_trantio	wh2_main_rogue	848611215	Empire
wh2_main_rogue_scions_of_tesseninck	wh2_main_rogue	745588064	Empire
wh2_main_rogue_scourge_of_aquitaine	wh2_main_rogue	1154473397	Bretonnia
wh2_main_rogue_stuff_snatchers	wh2_main_rogue	122224488	Greenskins
wh2_main_rogue_teef_snatchaz	wh2_main_rogue	1018454244	Greenskins
wh2_main_rogue_the_wandering_dead	wh2_main_rogue	262553704	Vampire_Counts
wh2_main_rogue_tor_elithis	wh2_main_rogue	1787406583	High_Elves
wh2_main_rogue_troll_skullz	wh2_main_rogue	1324878929	Greenskins
wh2_main_rogue_vashnaar	wh2_main_rogue	939841996	Dark_Elves
wh2_main_rogue_vauls_expedition	wh2_main_rogue	437768142	High_Elves
wh2_main_rogue_worldroot_rangers	wh2_main_rogue	309109572	Wood_Elves
wh2_main_rogue_wrath_of_nature	wh2_main_rogue	1253285273	Wood_Elves
wh2_main_sc_def_dark_elves	wh2_main_def_dark_elves	1851343782	
wh2_main_sc_hef_high_elves	wh2_main_hef_high_elves	1851343764	
wh2_main_sc_lzd_lizardmen	wh2_main_lzd_lizardmen	1851343747	
wh2_main_sc_skv_skaven	wh2_main_skv_skaven	1851343750	
wh_dlc03_sc_bst_beastmen	wh_dlc03_bst_beastmen	1851343759	
wh_dlc05_sc_wef_wood_elves	wh_dlc05_wef_wood_elves	1851343774	
wh_main_sc_brt_bretonnia	wh_main_brt_bretonnia	1851343786	
wh_main_sc_chs_chaos	wh_main_chs_chaos	1851343731	
wh_main_sc_dwf_dwarfs	wh_main_dwf_dwarfs	1851343740	
wh_main_sc_emp_empire	wh_main_emp_empire	1851343725	
wh_main_sc_grn_greenskins	wh_main_grn_greenskins	1851343715	
wh_main_sc_grn_savage_orcs	wh_main_grn_greenskins	1851343842	
wh_main_sc_ksl_kislev	wh_main_emp_empire	1851343837	
wh_main_sc_nor_norsca	wh_main_chs_chaos	1851343827	
wh_main_sc_teb_teb	wh_main_emp_empire	1851343830	
wh_main_sc_vmp_vampire_counts	wh_main_vmp_vampire_counts	1851343795	
