battlefield_siege_vehicles_custom_battles_tables
0
cap	probability	vehicle
2	30	brt_battering_ram
10	100	brt_siege_tower_15m
2	30	bst_battering_ram
10	100	bst_siege_tower_15m
2	30	chs_battering_ram
10	100	chs_siege_tower_15m
2	30	def_battering_ram
10	100	def_siege_tower_15m
2	30	dwf_battering_ram
10	100	dwf_siege_tower_15m
2	30	emp_battering_ram
10	100	emp_siege_tower_15m
2	30	grn_battering_ram
10	100	grn_siege_tower_15m
2	30	hef_battering_ram
10	100	hef_siege_tower_15m
2	30	lzd_battering_ram
10	100	lzd_siege_tower_15m
2	30	skv_battering_ram
10	100	skv_siege_tower_15m
2	30	vmp_battering_ram
10	100	vmp_siege_tower_15m
2	30	wef_battering_ram
10	100	wef_siege_tower_15m
