frontend_faction_leaders_tables
17
uniform	x_offset	y_offset	key	character_image	prelude_battle	video	loading_screen_image	loading_screen_intro_video	override_force_location_x	override_force_location_y	voiceover	unknown12
composite_scene/front_end_selection/karl_franz_selection.csc	0	0	wh2_main_political_party_def_malekith	UI\Portraits\Faction_leaders\wh2_main_def_malekith.png		Front_end_selection_movies/def_malekith	ui/loading_ui/load_images/campaign_11.png		-1	-1	wh2_main_vo_actor_Dark_Elves_Malekith	False
composite_scene/front_end_selection/karl_franz_selection.csc	0	0	wh2_main_political_party_def_morathi	UI\Portraits\Faction_leaders\wh2_main_def_morathi.png		Front_end_selection_movies/def_morathi	ui/loading_ui/load_images/campaign_11.png		-1	-1	wh2_main_vo_actor_Dark_Elves_Morathi	False
composite_scene/front_end_selection/karl_franz_selection.csc	0	0	wh2_main_political_party_hef_teclis	UI\Portraits\Faction_leaders\wh2_main_hef_teclis.png		Front_end_selection_movies/hef_teclis	ui/loading_ui/load_images/campaign_10.png		-1	-1	wh2_main_vo_actor_High_Elves_Teclis	False
composite_scene/front_end_selection/karl_franz_selection.csc	0	0	wh2_main_political_party_hef_tyrion	UI\Portraits\Faction_leaders\wh2_main_hef_tyrion.png		Front_end_selection_movies/hef_tyrion	ui/loading_ui/load_images/campaign_10.png		-1	-1	wh2_main_vo_actor_High_Elves_Tyrion	False
composite_scene/front_end_selection/karl_franz_selection.csc	0	0	wh2_main_political_party_lzd_kroq_gar	UI\Portraits\Faction_leaders\wh2_main_lzd_kroq_gar.png		Front_end_selection_movies/lzd_kroqgar	ui/loading_ui/load_images/campaign_9.png		-1	-1	wh2_main_vo_actor_Lizardmen_Kroq_Gar_Saurus	False
composite_scene/front_end_selection/karl_franz_selection.csc	0	0	wh2_main_political_party_lzd_lord_mazdamundi	UI\Portraits\Faction_leaders\wh2_main_lzd_lord_mazdamundi.png		Front_end_selection_movies/lzd_mazdamundi	ui/loading_ui/load_images/campaign_9.png		-1	-1	wh2_main_vo_actor_Lizardmen_Lord_Mazdamundi	False
composite_scene/front_end_selection/karl_franz_selection.csc	0	0	wh2_main_political_party_skv_lord_skrolk	UI\Portraits\Faction_leaders\wh2_main_skv_lord_skrolk.png		Front_end_selection_movies/skv_skrolk	ui/loading_ui/load_images/campaign_12.png		-1	-1	wh2_main_vo_actor_Skaven_Lord_Skrolk	False
composite_scene/front_end_selection/karl_franz_selection.csc	0	0	wh2_main_political_party_skv_queek_headtaker	UI\Portraits\Faction_leaders\wh2_main_skv_queek_headtaker.png		Front_end_selection_movies/skv_queek	ui/loading_ui/load_images/campaign_12.png		-1	-1	wh2_main_vo_actor_Skaven_Queek_Headtaker	False
composite_scene/front_end_selection/karl_franz_selection.csc	0	0	wh2_main_political_party_vor_def_malekith	UI\Portraits\Faction_leaders\wh2_main_def_malekith.png		Front_end_selection_movies/def_malekith	ui/loading_ui/load_images/campaign_11.png	warhammer2/def/def_intro	-1	-1	wh2_main_vo_actor_Dark_Elves_Malekith	True
composite_scene/front_end_selection/karl_franz_selection.csc	0	0	wh2_main_political_party_vor_def_morathi	UI\Portraits\Faction_leaders\wh2_main_def_morathi.png		Front_end_selection_movies/def_morathi	ui/loading_ui/load_images/campaign_11.png	warhammer2/def/def_intro	-1	-1	wh2_main_vo_actor_Dark_Elves_Morathi	False
