aide_de_camp_speeches_tables
8
unknown0	unknown1	unknown2	unknown3	unknown4	unknown5	unknown6	unknown7	unknown8
adc_allied_general_injured	1	False	11	True	False	icon_death	10000	True
adc_allied_general_killed	1	False	11	False	False	icon_death	10000	True
adc_allies_come_under_player_control	1	False	3	False	False	icon_adc_reinforcements	10000	True
adc_ally_reinforcements	1	False	11	True	False	icon_adc_reinforcements	15000	True
adc_enemy_attacking_gates	0	False	3	False	False	icon_attacking_gates	10000	True
adc_enemy_capturing_gates	0	False	3	False	False	icon_gates	5000	True
adc_enemy_capturing_victory_point	0	False	3	False	False	icon_capture_point	5000	True
adc_enemy_flying_units_must_land	0	False	3	True	False	icon_flying_units_withdraw	10000	False
adc_enemy_fort_about_to_be_captured	1	False	11	False	False	icon_capture_point	10000	True
adc_enemy_gate_captured	1	False	11	True	False	icon_gates	10000	True
adc_enemy_gate_destroyed	1	False	11	True	False	icon_attacking_gates	10000	True
adc_enemy_general_appears	1	False	3	False	False	icon_adc_reinforcements	10000	True
adc_enemy_general_injured	1	False	11	True	False	icon_death	10000	True
adc_enemy_general_killed	1	False	11	False	False	icon_death	10000	True
adc_enemy_hidden_unit_spotted	1	False	20	False	False	icon_spotted	10000	True
adc_enemy_ladders_docked	0	False	3	False	False	icon_ladders_docked	10000	True
adc_enemy_point_captured	1	False	11	False	False	icon_capture_point	10000	True
adc_enemy_reclaimed_victory_point	0	False	3	False	False	icon_capture_point	5000	True
adc_enemy_reinforcements	1	False	11	True	False	icon_adc_reinforcements	15000	True
adc_enemy_siege_equipment_destroyed	0	False	3	False	False	icon_siege_equipment_destroyed	10000	True
adc_enemy_tower_captured	1	False	55	True	False	icon_tower	10000	True
adc_enemy_tower_destroyed	1	False	55	True	False	icon_tower	10000	True
adc_enemy_unit_spawned_from_army_ability	0	False	3	True	False	default	10000	True
adc_losing	0	False	55	False	False	icon_capture_point	10000	False
adc_own_ally_attacked	0	False	3	False	False	icon_ally_attacked	7000	True
adc_own_ally_destroyed	0	False	12	False	False	icon_death	10000	True
adc_own_attacking_gates	0	False	3	False	False	icon_attacking_gates	10000	True
adc_own_capturing_gates	0	False	3	False	False	icon_gates	10000	True
adc_own_capturing_victory_point	0	False	3	False	False	icon_capture_point	5000	True
adc_own_flying_units_must_land	0	False	3	True	False	icon_flying_units_withdraw	10000	False
adc_own_fort_about_to_be_captured	1	False	11	True	False	icon_capture_point	10000	True
adc_own_gate_captured	1	False	11	True	False	icon_gates	10000	True
adc_own_gate_destroyed	1	False	11	True	False	icon_gates	10000	True
adc_own_general_attacked	1	False	11	True	False	icon_ally_attacked	7000	True
adc_own_general_injured	1	False	11	True	False	icon_death	10000	True
adc_own_general_killed	1	False	11	True	False	icon_death	10000	True
adc_own_hidden_unit_spotted	1	False	20	False	False	icon_spotted	10000	True
adc_own_ladders_docked	0	False	3	False	False	icon_ladders_docked	10000	True
adc_own_point_captured	1	False	11	False	False	icon_capture_point	10000	True
adc_own_reclaimed_victory_point	0	False	3	False	False	icon_capture_point	5000	True
adc_own_reinforcements	1	False	11	True	False	icon_adc_reinforcements	15000	True
adc_own_ship_being_boarded	1	False	55	False	False	icon_ally_attacked	10000	True
adc_own_ship_on_fire	1	False	3	False	False	icon_ally_attacked	10000	True
adc_own_siege_equipment_destroyed	0	False	3	False	False	icon_siege_equipment_destroyed	10000	True
adc_own_tower_captured	1	False	55	True	False	icon_tower	10000	True
adc_own_tower_destroyed	1	False	55	False	False	icon_tower	10000	True
adc_own_unit_berserk	0	False	11	False	False	icon_ally_attacked	10000	True
adc_own_unit_lost	1	False	11	False	False	icon_routing	7000	True
adc_own_unit_out_of_ammo	1	False	11	False	False	icon_ally_attacked	7000	True
adc_own_unit_rallied	0	False	3	True	False	icon_rally	10000	True
adc_own_unit_routed	1	False	11	False	False	icon_routing	10000	True
adc_own_unit_wavering	0	False	3	False	False	icon_routing	7000	True
adc_walls_breached	1	False	11	True	False	icon_gates	10000	True
adc_winning	0	False	55	False	False	icon_capture_point	10000	False
