ancillaries_tables
16
key	type	applies_to	transferrable	unique_to_world	unique_to_faction	precedence	start_date	end_date	avatar_skill	avatar_special_ability	legendary_item	mp_exclusive	is_wife_ancillary	category	min_starting_age	max_starting_age	min_expiry_age	max_expiry_age	immortal	provided_bodyguard_unit	provided_banner	uniqueness_score	turns_before_swap_allowed	subcategory	randomly_dropped
wh2_main_anc_arcane_item_black_staff	wh_main_anc_arcane_item	.	True	False	False	1	0	9999	False	False	False	False	False	arcane_item	16	30	30	50	True			55	0		True
wh2_main_anc_arcane_item_book_of_hoeth	wh_main_anc_arcane_item	.	True	False	False	1	0	9999	False	False	False	False	False	arcane_item	16	30	30	50	True			55	0		True
wh2_main_anc_arcane_item_circlet_of_iron	wh_main_anc_arcane_item	.	False	False	False	1	0	9999	False	False	False	False	False	arcane_item	16	30	30	50	True			200	0		False
wh2_main_anc_arcane_item_cube_of_darkness	wh_main_anc_arcane_item	.	True	False	False	1	0	9999	False	False	False	False	False	arcane_item	16	30	30	50	True			30	0		True
wh2_main_anc_arcane_item_cupped_hands_of_the_old_ones	wh_main_anc_arcane_item	.	True	False	False	1	0	9999	False	False	False	False	False	arcane_item	16	30	30	50	True			45	0		True
wh2_main_anc_arcane_item_darkstar_cloak	wh_main_anc_arcane_item	.	True	False	False	1	0	9999	False	False	False	False	False	arcane_item	16	30	30	50	True			20	0		True
wh2_main_anc_arcane_item_diadem_of_power	wh_main_anc_arcane_item	.	True	False	False	1	0	9999	False	False	False	False	False	arcane_item	16	30	30	50	True			25	0		True
wh2_main_anc_arcane_item_itxi_grubs	wh_main_anc_arcane_item	.	True	False	False	1	0	9999	False	False	False	False	False	arcane_item	16	30	30	50	True			25	0		True
wh2_main_anc_arcane_item_jewel_of_the_dusk	wh_main_anc_arcane_item	.	True	False	False	1	0	9999	False	False	False	False	False	arcane_item	16	30	30	50	True			150	0		False
wh2_main_anc_arcane_item_moon_staff_of_lileath	wh_main_anc_arcane_item	.	False	False	False	1	0	9999	False	False	False	False	False	arcane_item	16	30	30	50	True			200	0		False
wh2_main_anc_arcane_item_plaque_of_dominion	wh_main_anc_arcane_item	.	True	False	False	1	0	9999	False	False	False	False	False	arcane_item	16	30	30	50	True			25	0		True
wh2_main_anc_arcane_item_rod_of_the_storm	wh_main_anc_arcane_item	.	True	False	False	1	0	9999	False	False	False	False	False	arcane_item	16	30	30	50	True			25	0		True
wh2_main_anc_arcane_item_scroll_of_hoeth	wh_main_anc_enchanted_item	.	False	False	False	1	0	9999	False	False	False	False	False	enchanted_item	16	30	30	50	True			200	0		False
