building_level_armed_citizenry_junctions_tables
1
building_level	id	unknown3	unit_group
wh_main_emp_barracks_1	300	0	wh_main_emp_inf_swordsmen
wh_main_emp_barracks_2	301	0	wh_main_emp_inf_halberdiers
wh_main_emp_barracks_3	302	0	wh_main_emp_inf_greatswords
wh_main_emp_barracks_3	303	0	wh_main_emp_inf_halberdiers
wh_main_emp_farm_basic_1	304	0	wh_main_emp_inf_spearmen_0
wh_main_emp_farm_basic_2	305	0	wh_main_emp_inf_spearmen_0
wh_main_emp_farm_basic_3	306	0	wh_main_emp_inf_spearmen_0
wh_main_emp_forges_1	307	0	wh_main_emp_art_mortar
wh_main_emp_forges_2	308	0	wh_main_emp_art_mortar
wh_main_emp_forges_3	309	0	wh_main_emp_art_mortar
wh_main_emp_port_1	310	0	wh_main_emp_inf_halberdiers
wh_main_emp_port_2	311	0	wh_main_emp_inf_halberdiers
wh_main_emp_port_3	312	0	wh_main_emp_inf_halberdiers
wh_main_emp_resource_pastures_1	313	0	wh_main_emp_cav_outriders_0
wh_main_emp_resource_pastures_2	314	0	wh_main_emp_cav_outriders_0
wh_main_emp_resource_pastures_3	315	0	wh_main_emp_cav_outriders_0
wh_main_emp_resource_pastures_3	316	0	wh_main_emp_cav_pistoliers_1
wh_main_emp_stables_1	317	0	wh_main_emp_cav_empire_knights
wh_main_emp_stables_2	318	0	wh_main_emp_cav_empire_knights
wh_main_emp_stables_3	319	0	wh_main_emp_cav_demigryph_knights_0
wh_main_emp_tavern_1	320	0	wh_dlc04_emp_inf_free_company_militia_0
wh_main_emp_tavern_2	321	0	wh_dlc04_emp_inf_free_company_militia_0
wh_main_emp_tavern_3	322	0	wh_dlc04_emp_inf_free_company_militia_0
wh_main_ksl_port_1	326	0	wh_main_emp_inf_halberdiers
wh_main_ksl_port_2	327	0	wh_main_emp_inf_halberdiers
wh_main_ksl_port_3	328	0	wh_main_emp_inf_halberdiers
wh_main_teb_port_1	329	0	wh_main_emp_inf_halberdiers
wh_main_teb_port_2	330	0	wh_main_emp_inf_halberdiers
wh_main_teb_port_3	331	0	wh_main_emp_inf_halberdiers
wh_main_emp_barracks_1	332	0	wh_main_emp_inf_swordsmen
wh_main_emp_barracks_2	333	0	wh_main_emp_inf_swordsmen
wh_main_emp_port_1	334	0	wh_main_emp_inf_crossbowmen
wh_main_emp_port_2	335	0	wh_main_emp_inf_crossbowmen
wh_main_emp_port_3	336	0	wh_main_emp_inf_crossbowmen
wh_main_ksl_port_1	337	0	wh_main_emp_inf_crossbowmen
wh_main_ksl_port_2	338	0	wh_main_emp_inf_crossbowmen
wh_main_ksl_port_3	339	0	wh_main_emp_inf_crossbowmen
wh_main_teb_port_1	340	0	wh_main_emp_inf_crossbowmen
wh_main_teb_port_2	341	0	wh_main_emp_inf_crossbowmen
wh_main_teb_port_3	342	0	wh_main_emp_inf_crossbowmen
wh_main_emp_worship_3	343	0	wh_main_emp_cha_warrior_priest_0
wh_main_emp_industry_basic_1	344	0	wh_main_emp_inf_swordsmen
wh_main_emp_industry_basic_2	345	0	wh_main_emp_inf_swordsmen
wh_main_emp_industry_basic_3	346	0	wh_main_emp_inf_swordsmen
wh2_main_emp_roads_2	347	0	wh_dlc04_emp_inf_free_company_militia_0
wh2_main_emp_roads_1	348	0	wh_dlc04_emp_inf_free_company_militia_0
wh_main_ksl_walls_1	349	0	wh_main_emp_inf_swordsmen
wh_main_ksl_walls_2	350	0	wh_main_emp_inf_swordsmen
wh_main_teb_worship_1	351	0	wh_main_emp_inf_swordsmen
wh_main_teb_worship_2	352	0	wh_main_emp_inf_swordsmen
wh_main_emp_worship_2	353	0	wh_main_emp_cha_warrior_priest_0
wh_main_emp_worship_1	354	0	wh_main_emp_cha_warrior_priest_0
wh_main_middenheim_worship_1	355	0	wh_main_emp_inf_greatswords
wh_main_middenheim_worship_2	356	0	wh_main_emp_inf_greatswords
wh_main_special_blazing_sun_chapterhouse	16409	0	wh_dlc04_emp_cav_knights_blazing_sun_0
wh_main_special_blazing_sun_chapterhouse	16410	0	wh_dlc04_emp_cav_knights_blazing_sun_0
wh_main_special_blazing_sun_chapterhouse	16417	0	default
wh_main_special_knights_panther_chapterhouse	16420	0	emp_knights_panther
wh_main_special_knights_panther_chapterhouse	16428	0	emp_knights_panther
wh_main_special_knights_panther_chapterhouse	16429	0	default
wh_main_special_reiksfort	45762	0	wh_main_emp_cav_reiksguard
wh_main_special_reiksfort	45764	0	wh_main_emp_cav_reiksguard
