character_skill_level_to_ancillaries_junctions_tables
1
granted_ancillary	skill	level
wh2_main_anc_mount_def_death_hag_cauldron_of_blood	wh2_main_skill_def_death_hag_mount_cauldron_of_blood	1
wh2_main_anc_mount_def_dreadlord_fem_black_dragon	wh2_main_skill_def_dreadlord_fem_mount_black_dragon	1
wh2_main_anc_mount_def_dreadlord_fem_cold_one	wh2_main_skill_def_dreadlord_fem_mount_cold_one	1
wh2_main_anc_mount_def_dreadlord_fem_dark_pegasus	wh2_main_skill_def_dreadlord_fem_mount_dark_pegasus	1
wh2_main_anc_mount_def_dreadlord_fem_dark_steed	wh2_main_skill_def_dreadlord_fem_mount_dark_steed	1
wh2_main_anc_mount_def_dreadlord_black_dragon	wh2_main_skill_def_dreadlord_mount_black_dragon	1
wh2_main_anc_mount_def_dreadlord_cold_one	wh2_main_skill_def_dreadlord_mount_cold_one	1
wh2_main_anc_mount_def_dreadlord_dark_pegasus	wh2_main_skill_def_dreadlord_mount_dark_pegasus	1
wh2_main_anc_mount_def_dreadlord_dark_steed	wh2_main_skill_def_dreadlord_mount_dark_steed	1
wh2_main_anc_mount_def_malekith_cold_one_chariot	wh2_main_skill_def_malekith_mount_cold_one_chariot	1
wh2_main_anc_mount_def_malekith_cold_one	wh2_main_skill_def_malekith_mount_cold_one	1
wh2_main_anc_mount_def_malekith_seraphon	wh2_main_skill_def_malekith_mount_seraphon	1
wh2_main_anc_mount_def_morathi_sulephet	wh2_main_skill_def_morathi_mount_sulephet	1
wh2_main_anc_mount_def_sorceress_dark_cold_one	wh2_main_skill_def_sorceress_dark_mount_cold_one	1
wh2_main_anc_mount_def_sorceress_dark_dark_pegasus	wh2_main_skill_def_sorceress_dark_mount_dark_pegasus	1
wh2_main_anc_mount_def_sorceress_dark_dark_steed	wh2_main_skill_def_sorceress_dark_mount_dark_steed	1
wh2_main_anc_mount_def_sorceress_fire_cold_one	wh2_main_skill_def_sorceress_fire_mount_cold_one	1
wh2_main_anc_mount_def_sorceress_fire_dark_pegasus	wh2_main_skill_def_sorceress_fire_mount_dark_pegasus	1
wh2_main_anc_mount_def_sorceress_fire_dark_steed	wh2_main_skill_def_sorceress_fire_mount_dark_steed	1
wh2_main_anc_mount_def_sorceress_shadow_cold_one	wh2_main_skill_def_sorceress_shadow_mount_cold_one	1
wh2_main_anc_mount_def_sorceress_shadow_dark_pegasus	wh2_main_skill_def_sorceress_shadow_mount_dark_pegasus	1
wh2_main_anc_mount_def_sorceress_shadow_dark_steed	wh2_main_skill_def_sorceress_shadow_mount_dark_steed	1
wh2_main_anc_mount_hef_mage_high_elven_steed	wh2_main_skill_hef_mage_high_mount_elven_steed	1
wh2_main_anc_mount_hef_mage_high_ithilmar_chariot	wh2_main_skill_hef_mage_high_mount_ithilmar_chariot	1
wh2_main_anc_mount_hef_mage_life_elven_steed	wh2_main_skill_hef_mage_life_mount_elven_steed	1
wh2_main_anc_mount_hef_mage_life_ithilmar_chariot	wh2_main_skill_hef_mage_life_mount_ithilmar_chariot	1
wh2_main_anc_mount_hef_mage_light_elven_steed	wh2_main_skill_hef_mage_light_mount_elven_steed	1
wh2_main_anc_mount_hef_mage_light_ithilmar_chariot	wh2_main_skill_hef_mage_light_mount_ithilmar_chariot	1
wh2_main_anc_mount_hef_noble_barded_ithilmar_steed	wh2_main_skill_hef_noble_barded_ithilmar_steed	1
wh2_main_anc_mount_hef_noble_eagle	wh2_main_skill_hef_noble_great_eagle	1
wh2_main_anc_mount_hef_noble_ithilmar_chariot	wh2_main_skill_hef_noble_ithilmar_chariot	1
wh2_main_anc_mount_hef_alastair_great_eagle	wh2_main_skill_hef_prince_alastar_mount_great_eagle	1
wh2_main_anc_mount_hef_alastair_star_dragon	wh2_main_skill_hef_prince_alastar_mount_star_dragon	1
wh2_main_anc_mount_hef_alastair_sun_dragon	wh2_main_skill_hef_prince_alastar_mount_sun_dragon	1
wh2_main_anc_mount_hef_prince_barded_ithilmar_steed	wh2_main_skill_hef_prince_mount_barded_ithilmar_steed	1
wh2_main_anc_mount_hef_prince_great_eagle	wh2_main_skill_hef_prince_mount_great_eagle	1
wh2_main_anc_mount_hef_prince_star_dragon	wh2_main_skill_hef_prince_mount_star_dragon	1
wh2_main_anc_mount_hef_prince_sun_dragon	wh2_main_skill_hef_prince_mount_sun_dragon	1
wh2_main_anc_mount_hef_princess_elven_steed	wh2_main_skill_hef_princess_mount_elven_steed	1
wh2_main_anc_mount_hef_princess_great_eagle	wh2_main_skill_hef_princess_mount_great_eagle	1
wh2_main_anc_mount_hef_princess_moon_dragon	wh2_main_skill_hef_princess_mount_moon_dragon	1
wh2_main_anc_mount_hef_princess_star_dragon	wh2_main_skill_hef_princess_mount_star_dragon	1
wh2_main_anc_mount_hef_teclis_barded_ithilmar_steed	wh2_main_skill_hef_teclis_mount_barded_ithilmar_steed	1
