regions_to_region_groups_junctions_tables
2
region	region_group
wh2_main_vor_albion_albion	wh2_main_vor_wom_region_group_01
wh2_main_vor_albion_pack_ice_bay	wh2_main_vor_wom_region_group_01
wh2_main_vor_albion_troll_fjord	wh2_main_vor_wom_region_group_01
wh2_main_vor_aghol_wastelands_fortress_of_the_damned	wh2_main_vor_wom_region_group_02
wh2_main_vor_aghol_wastelands_palace_of_princes	wh2_main_vor_wom_region_group_02
wh2_main_vor_aghol_wastelands_the_palace_of_ruin	wh2_main_vor_wom_region_group_02
wh2_main_vor_ash_river_numas	wh2_main_vor_wom_region_group_03
wh2_main_vor_ash_river_quatar	wh2_main_vor_wom_region_group_03
wh2_main_vor_ash_river_the_salt_plain	wh2_main_vor_wom_region_group_03
wh2_main_vor_ashen_coast_scarpels_lair	wh2_main_vor_wom_region_group_04
wh2_main_vor_ashen_coast_sulpharets	wh2_main_vor_wom_region_group_04
wh2_main_vor_avelorn_evershale	wh2_main_vor_wom_region_group_05
wh2_main_vor_avelorn_gaean_vale	wh2_main_vor_wom_region_group_05
wh2_main_vor_avelorn_tor_saroir	wh2_main_vor_wom_region_group_05
wh2_main_vor_phoenix_gate	wh2_main_vor_wom_region_group_05
wh2_main_vor_caledor_caledors_repose	wh2_main_vor_wom_region_group_06
wh2_main_vor_caledor_tor_sethai	wh2_main_vor_wom_region_group_06
wh2_main_vor_caledor_vauls_anvil	wh2_main_vor_wom_region_group_06
wh2_main_vor_central_spine_of_sotek_caverns_of_the_great_bat	wh2_main_vor_wom_region_group_07
wh2_main_vor_central_spine_of_sotek_chiquibol	wh2_main_vor_wom_region_group_07
wh2_main_vor_chrace_elisia	wh2_main_vor_wom_region_group_08
wh2_main_vor_chrace_tor_achare	wh2_main_vor_wom_region_group_08
wh2_main_vor_chrace_tor_gard	wh2_main_vor_wom_region_group_08
wh2_main_vor_coast_of_araby_al_haikk	wh2_main_vor_wom_region_group_09
wh2_main_vor_coast_of_araby_copher	wh2_main_vor_wom_region_group_09
wh2_main_vor_coast_of_araby_fyrus	wh2_main_vor_wom_region_group_09
