audio_projectile_bombardments_tables
0
unknown0	unknown1	unknown2	unknown3	unknown4
Battle_IND_Magic_Bloodwrack_Cauldron_Conjure	wh2_main_ability_bloodwrack_cauldron	1000	70	True
Battle_IND_Magic_Brazen_Cauldron_Conjure	wh2_main_ability_brazen_cauldron	1000	70	True
Battle_IND_Magic_Sky_Cauldron_Conjure	wh2_main_ability_sky_cauldron	1000	70	True
Battle_IND_Magic_Soul_Rain_Conjure	wh2_main_ability_soul_rain	1000	70	True
Battle_IND_Magic_Soul_Storm_Conjure	wh2_main_ability_soul_storm	1000	70	True
Battle_IND_Magic_Soul_Torrent_Conjure	wh2_main_ability_soul_torrent	1000	70	True
Battle_IND_Magic_The_Bow_Of_Loren_Conjure_Oneshot	wh_dlc05_ability_the_bow_of_loren_bombardment	1000	70	True
Battle_IND_Magic_Bretonnia_Chalice_of_Potions_Conjure	wh_dlc07_ability_chalice_of_potions	1000	70	True
Battle_IND_Magic_Dark_Doombolt_Conjure	wh_main_spell_dark_magic_doombolt	1000	70	True
Battle_IND_Magic_Fire_Piercing_Bolts_of_Burning_Conjure_Oneshot	wh_main_spell_fire_piercing_bolts_of_burning	1000	70	True
Battle_IND_Magic_Heavens_Comet_Conjure	wh_main_spell_heavens_comet_of_casandora	1000	70	True
Battle_IND_Magic_Heavens_Urannons_Thunderbolt_Conjure_Oneshot	wh_main_spell_heavens_urannons_thunderbolt	1000	70	True
Battle_IND_Magic_Metal_Searing_Doom_Conjure_Oneshot	wh_main_spell_metal_searing_doom	1000	70	True
Battle_IND_Magic_Ruin_Warp_Lightning_Conjure	wh_main_spell_ruin_warp_lightning	1000	70	True
