region_religions_tables
0
region	religion	religion_zeal
wh2_main_aghol_wastelands_fortress_of_the_damned	wh_main_religion_untainted	1
wh2_main_aghol_wastelands_palace_of_princes	wh_main_religion_untainted	1
wh2_main_aghol_wastelands_the_palace_of_ruin	wh_main_religion_untainted	1
wh2_main_ash_river_numas	wh_main_religion_undeath	1
wh2_main_ash_river_quatar	wh_main_religion_undeath	1
wh2_main_ash_river_springs_of_eternal_life	wh_main_religion_undeath	1
wh2_main_atalan_mountains_eye_of_the_panther	wh_main_religion_untainted	1
wh2_main_atalan_mountains_martek	wh_main_religion_untainted	1
wh2_main_atalan_mountains_vulture_mountain	wh_main_religion_untainted	1
wh2_main_avelorn_evershale	wh_main_religion_untainted	1
wh2_main_avelorn_gaean_vale	wh_main_religion_untainted	1
wh2_main_avelorn_tor_saroir	wh_main_religion_untainted	1
wh2_main_blackspine_mountains_plain_of_dogs	wh_main_religion_untainted	1
wh2_main_blackspine_mountains_plain_of_spiders	wh_main_religion_untainted	1
wh2_main_blackspine_mountains_red_desert	wh_main_religion_untainted	1
wh2_main_caledor_tor_sethai	wh_main_religion_untainted	1
wh2_main_caledor_vauls_anvil	wh_main_religion_untainted	1
wh2_main_charnel_valley_granite_massif	wh_main_religion_untainted	1
wh2_main_charnel_valley_karag_orrud	wh2_main_religion_skaven	1
wh2_main_chrace_elisia	wh_main_religion_untainted	1
wh2_main_chrace_tor_achare	wh_main_religion_untainted	1
wh2_main_coast_of_araby_al_haikk	wh_main_religion_untainted	1
wh2_main_coast_of_araby_copher	wh_main_religion_untainted	1
wh2_main_coast_of_araby_fyrus	wh_main_religion_untainted	1
wh2_main_cothique_mistnar	wh_main_religion_untainted	1
wh2_main_cothique_tor_koruali	wh_main_religion_untainted	1
wh2_main_crater_of_the_walking_dead_doom_glade	wh_main_religion_undeath	1
wh2_main_crater_of_the_walking_dead_rasetra	wh_main_religion_undeath	1
wh2_main_deadwood_dargoth	wh_main_religion_untainted	1
wh2_main_deadwood_nagrar	wh_main_religion_untainted	1
wh2_main_deadwood_shagrath	wh_main_religion_untainted	1
wh2_main_deadwood_the_frozen_city	wh_main_religion_untainted	1
wh2_main_devils_backbone_lahmia	wh_main_religion_undeath	1
wh2_main_devils_backbone_lybaras	wh_main_religion_undeath	1
wh2_main_devils_backbone_mahrak	wh_main_religion_undeath	1
wh2_main_doom_glades_hag_hall	wh_main_religion_untainted	1
wh2_main_doom_glades_ice_rock_gorge	wh_main_religion_untainted	1
