main_units_tables
35
additional_building_requirement	campaign_cap	caste	create_time	is_naval	land_unit	num_men	multiplayer_cap	multiplayer_cost	naval_unit	num_ships	min_men_per_ship	max_men_per_ship	prestige	recruitment_cost	recruitement_movie	religion_requirement	unit	upkeep_cost	weight	resource_requirement	world_leader_only	can_trade	special_edition_mask	unique_index	unknown25	in_encyclopedia	region_unit_resource_requirement	audio_voiceover_culture	ui_unit_group_land	ui_unit_group_naval	tier	is_high_thread	porthole_camera	mount	use_hitpoints_in_campaign	unit_scaling	porthole_composite_scene	melee_cp	missile_cp	can_siege	audio_voiceover_culture_override	restrict_xp_gain_in_campaign	audio_voiceover_actor_group	food_cost	has_spoken_vo	is_monstrous	multiplayer_qb_cap	vo_is_dragon	vo_is_dinosaur
	0	chariot	2	False	wh_dlc01_chs_cav_gorebeast_chariot	8	0	1300	wh_main_shp_transport	1	1	8	0	1820			wh_dlc01_chs_cav_gorebeast_chariot	416	heavy		False	False	0	10539	0	True		wh_dlc01_vo_culture_Gorebeast	chariot	chariot	4	False	chaos_gorebeast_chariot		False	True	composite_scene\porthole\chaos_gorebeast_chariot_porthole_01.csc	1300	0	False	vo_culture_None	False	wh_main_vo_actor_default	0	False	True	0	False	False
	0	lord	1	False	wh_dlc01_chs_cha_chaos_lord_10	1	0	1650	wh_main_shp_transport	1	1	1	0	2310			wh_dlc01_chs_cha_chaos_lord_10	528	heavy		False	False	0	9394	0	False		wh_main_vo_culture_Chaos	lord_dragon	lord_dragon	0	True	chaos_lord	wh_main_cam_mnt_chs_manticore	True	False		1450	0	False	vo_culture_None	False	wh_main_vo_actor_Chaos_Lord	0	True	False	0	False	False
	0	lord	1	False	wh_dlc01_chs_cha_chaos_lord_2	1	0	2375	wh_main_shp_transport	1	1	1	0	3325			wh_dlc01_chs_cha_chaos_lord_2	760	heavy		False	False	0	10567	0	False		wh_main_vo_culture_Chaos	lord_dragon	lord_dragon	0	True	chaos_lord	wh_main_cam_mnt_chs_chaos_dragon	True	False		1600	0	False	vo_culture_None	False	wh_main_vo_actor_Chaos_Lord	0	True	False	0	False	False
	0	lord	1	False	wh_dlc01_chs_cha_chaos_sorcerer_lord_death_0	1	0	850	wh_main_shp_transport	1	1	1	0	1190			wh_dlc01_chs_cha_chaos_sorcerer_lord_death_0	432	heavy		False	False	0	9292	0	False		wh_main_vo_culture_Chaos	lord_wizard_death	lord_wizard_death	0	True	chaos_lord		True	False		850	0	False	vo_culture_None	False	wh_dlc01_vo_actor_Chaos_SorcererLord	0	True	False	0	False	False
	0	lord	1	False	wh_dlc01_chs_cha_chaos_sorcerer_lord_death_10	1	0	2025	wh_main_shp_transport	1	1	1	0	2835			wh_dlc01_chs_cha_chaos_sorcerer_lord_death_10	808	heavy		False	False	0	10560	0	False		wh_main_vo_culture_Chaos	lord_wizard_death	lord_wizard_death	0	True	chaos_lord	wh_main_cam_mnt_chs_chaos_dragon	True	False		1500	0	False	vo_culture_None	False	wh_dlc01_vo_actor_Chaos_SorcererLord	0	True	False	0	False	False
	0	lord	1	False	wh_dlc01_chs_cha_chaos_sorcerer_lord_death_12	1	0	950	wh_main_shp_transport	1	1	1	0	1330			wh_dlc01_chs_cha_chaos_sorcerer_lord_death_12	464	heavy		False	False	0	10005	0	False		wh_main_vo_culture_Chaos	lord_wizard_death	lord_wizard_death	0	True	chaos_lord	wh_main_cam_mnt_chs_chaos_steed	True	False		950	0	False	vo_culture_None	False	wh_dlc01_vo_actor_Chaos_SorcererLord	0	True	False	0	False	False
	0	lord	1	False	wh_dlc01_chs_cha_chaos_sorcerer_lord_death_13	1	0	1050	wh_main_shp_transport	1	1	1	0	1470			wh_dlc01_chs_cha_chaos_sorcerer_lord_death_13	496	heavy		False	False	0	10012	0	False		wh_main_vo_culture_Chaos	lord_wizard_death	lord_wizard_death	0	True	chaos_lord	wh_main_cam_mnt_chs_barded_chaos_steed	True	False		1050	0	False	vo_culture_None	False	wh_dlc01_vo_actor_Chaos_SorcererLord	0	True	False	0	False	False
	0	lord	1	False	wh_dlc01_chs_cha_chaos_sorcerer_lord_death_9	1	0	1350	wh_main_shp_transport	1	1	1	0	1890			wh_dlc01_chs_cha_chaos_sorcerer_lord_death_9	592	heavy		False	False	0	9225	0	False		wh_main_vo_culture_Chaos	lord_wizard_death	lord_wizard_death	0	True	chaos_lord	wh_main_cam_mnt_chs_manticore	True	False		1300	0	False	vo_culture_None	False	wh_dlc01_vo_actor_Chaos_SorcererLord	0	True	False	0	False	False
	0	lord	1	False	wh_dlc01_chs_cha_chaos_sorcerer_lord_fire_0	1	0	850	wh_main_shp_transport	1	1	1	0	1190			wh_dlc01_chs_cha_chaos_sorcerer_lord_fire_0	432	heavy		False	False	0	10778	0	False		wh_main_vo_culture_Chaos	lord_wizard_fire	lord_wizard_fire	0	True	chaos_lord		True	False		850	0	False	vo_culture_None	False	wh_dlc01_vo_actor_Chaos_SorcererLord	0	True	False	0	False	False
	0	lord	1	False	wh_dlc01_chs_cha_chaos_sorcerer_lord_fire_10	1	0	2025	wh_main_shp_transport	1	1	1	0	2835			wh_dlc01_chs_cha_chaos_sorcerer_lord_fire_10	808	heavy		False	False	0	10780	0	False		wh_main_vo_culture_Chaos	lord_wizard_fire	lord_wizard_fire	0	True	chaos_lord	wh_main_cam_mnt_chs_chaos_dragon	True	False		1500	0	False	vo_culture_None	False	wh_dlc01_vo_actor_Chaos_SorcererLord	0	True	False	0	False	False
	0	lord	1	False	wh_dlc01_chs_cha_chaos_sorcerer_lord_fire_12	1	0	950	wh_main_shp_transport	1	1	1	0	1330			wh_dlc01_chs_cha_chaos_sorcerer_lord_fire_12	464	heavy		False	False	0	10788	0	False		wh_main_vo_culture_Chaos	lord_wizard_fire	lord_wizard_fire	0	True	chaos_lord	wh_main_cam_mnt_chs_chaos_steed	True	False		950	0	False	vo_culture_None	False	wh_dlc01_vo_actor_Chaos_SorcererLord	0	True	False	0	False	False
	0	lord	1	False	wh_dlc01_chs_cha_chaos_sorcerer_lord_fire_13	1	0	1050	wh_main_shp_transport	1	1	1	0	1470			wh_dlc01_chs_cha_chaos_sorcerer_lord_fire_13	496	heavy		False	False	0	10797	0	False		wh_main_vo_culture_Chaos	lord_wizard_fire	lord_wizard_fire	0	True	chaos_lord	wh_main_cam_mnt_chs_barded_chaos_steed	True	False		1050	0	False	vo_culture_None	False	wh_dlc01_vo_actor_Chaos_SorcererLord	0	True	False	0	False	False
