technology_node_links_tables
2
child_key	initial_descent_tiers	parent_key	parent_link_position	child_link_position	parent_link_position_offset	child_link_position_offset
dlc05_tech_wef_0_1_0	0	dlc05_tech_wef_0_0_0	2	4	0	0
dlc05_tech_wef_1_1_0	0	dlc05_tech_wef_0_0_0	2	4	0	0
dlc05_tech_wef_0_1_1	0	dlc05_tech_wef_0_1_0	1	3	0	0
dlc05_tech_wef_0_2_0	0	dlc05_tech_wef_0_1_0	2	4	0	0
dlc05_tech_wef_0_2_1	0	dlc05_tech_wef_0_2_0	1	3	0	0
dlc05_tech_wef_0_3_0	0	dlc05_tech_wef_0_2_0	2	4	0	0
dlc05_tech_wef_0_3_1	0	dlc05_tech_wef_0_3_0	1	3	0	0
dlc05_tech_wef_0_4_0	0	dlc05_tech_wef_0_3_0	2	4	0	0
dlc05_tech_wef_0_4_1	0	dlc05_tech_wef_0_4_0	1	3	0	0
dlc05_tech_wef_0_5_0	0	dlc05_tech_wef_0_4_0	2	4	0	0
dlc05_tech_wef_0_5_1	0	dlc05_tech_wef_0_5_0	1	3	0	0
dlc05_tech_wef_0_6_0	0	dlc05_tech_wef_0_5_0	2	4	0	0
dlc05_tech_wef_0_6_1	0	dlc05_tech_wef_0_6_0	1	3	0	0
dlc05_tech_wef_0_6_2	0	dlc05_tech_wef_0_6_0	3	1	0	0
dlc05_tech_wef_1_1_1	0	dlc05_tech_wef_1_1_0	3	1	0	0
dlc05_tech_wef_1_2_0	0	dlc05_tech_wef_1_1_0	2	4	0	0
dlc05_tech_wef_1_2_1	0	dlc05_tech_wef_1_2_0	3	1	0	0
dlc05_tech_wef_1_3_0	0	dlc05_tech_wef_1_2_0	2	4	0	0
dlc05_tech_wef_1_3_1	0	dlc05_tech_wef_1_3_0	3	1	0	0
dlc05_tech_wef_1_4_0	0	dlc05_tech_wef_1_3_0	2	4	0	0
dlc05_tech_wef_1_4_1	0	dlc05_tech_wef_1_4_0	3	1	0	0
dlc05_tech_wef_1_5_0	0	dlc05_tech_wef_1_4_0	2	4	0	0
dlc05_tech_wef_0_6_0	0	dlc05_tech_wef_1_5_0	2	4	0	0
dlc05_tech_wef_1_5_1	0	dlc05_tech_wef_1_5_0	3	1	0	0
tech_chs_branch_1_1	0	tech_chs_main_1	3	4	0	0
tech_chs_branch_1_2	0	tech_chs_main_1	3	4	0	0
tech_chs_branch_1_3	0	tech_chs_main_1	3	4	0	0
tech_chs_main_2	0	tech_chs_main_1	2	4	0	0
tech_chs_branch_2_1	0	tech_chs_main_2	3	4	0	0
tech_chs_branch_2_2	0	tech_chs_main_2	3	4	0	0
tech_chs_branch_2_3	0	tech_chs_main_2	3	4	0	0
tech_chs_branch_2_4	0	tech_chs_main_2	3	4	0	0
tech_chs_main_3	0	tech_chs_main_2	2	4	0	0
tech_chs_branch_3_1	0	tech_chs_main_3	3	4	0	0
tech_chs_branch_3_2	0	tech_chs_main_3	3	4	0	0
tech_chs_branch_3_3	0	tech_chs_main_3	3	4	0	0
tech_chs_branch_3_4	0	tech_chs_main_3	3	4	0	0
tech_chs_branch_3_5	0	tech_chs_main_3	3	4	0	0
tech_chs_main_4	0	tech_chs_main_3	2	4	0	0
tech_chs_branch_4_1	0	tech_chs_main_4	3	4	0	0
tech_chs_branch_4_2	0	tech_chs_main_4	3	4	0	0
tech_chs_branch_4_3	0	tech_chs_main_4	3	4	0	0
tech_chs_branch_4_4	0	tech_chs_main_4	3	4	0	0
tech_chs_branch_4_5	0	tech_chs_main_4	3	4	0	0
tech_chs_main_5	0	tech_chs_main_4	2	4	0	0
tech_chs_branch_5_1	0	tech_chs_main_5	3	4	0	0
tech_chs_branch_5_2	0	tech_chs_main_5	3	4	0	0
tech_chs_branch_5_3	0	tech_chs_main_5	3	4	0	0
tech_chs_branch_5_4	0	tech_chs_main_5	3	4	0	0
tech_chs_branch_5_5	0	tech_chs_main_5	3	4	0	0
tech_def_0_1_0	0	tech_def_0_0_0	2	4	0	0
tech_def_0_2_0	0	tech_def_0_0_0	2	4	0	0
tech_def_0_3_0	0	tech_def_0_0_0	2	4	0	0
tech_def_0_1_1	0	tech_def_0_1_0	2	4	0	0
tech_def_0_1_2	0	tech_def_0_1_0	2	4	0	0
tech_def_0_1_3	0	tech_def_0_1_0	2	4	0	0
tech_def_0_2_1	0	tech_def_0_2_0	2	4	0	0
tech_def_0_2_2	0	tech_def_0_2_0	2	4	0	0
tech_def_0_2_3	0	tech_def_0_2_0	2	4	0	0
tech_def_0_3_1	0	tech_def_0_3_0	2	4	0	0
tech_def_0_3_2	0	tech_def_0_3_0	2	4	0	0
tech_def_0_3_3	0	tech_def_0_3_0	2	4	0	0
tech_def_1_1_0	0	tech_def_1_0_0	2	4	0	0
tech_def_1_2_0	0	tech_def_1_0_0	2	4	0	0
tech_def_1_3_0	0	tech_def_1_0_0	2	4	0	0
tech_def_1_1_1	0	tech_def_1_1_0	2	4	0	0
tech_def_1_1_2	0	tech_def_1_1_0	2	4	0	0
tech_def_1_1_3	0	tech_def_1_1_0	2	4	0	0
tech_def_1_2_1	0	tech_def_1_2_0	2	4	0	0
tech_def_1_2_2	0	tech_def_1_2_0	2	4	0	0
tech_def_1_2_3	0	tech_def_1_2_0	2	4	0	0
tech_def_1_3_1	0	tech_def_1_3_0	2	4	0	0
tech_def_1_3_2	0	tech_def_1_3_0	2	4	0	0
tech_def_1_3_3	0	tech_def_1_3_0	2	4	0	0
tech_def_1_3_3_slaanesh	0	tech_def_1_3_0	2	4	0	0
tech_def_2_1_0	0	tech_def_2_0_0	2	4	0	0
tech_def_2_2_0	0	tech_def_2_0_0	2	4	0	0
tech_def_2_3_0	0	tech_def_2_0_0	2	4	0	0
tech_def_2_1_1	0	tech_def_2_1_0	2	4	0	0
tech_def_2_1_2	0	tech_def_2_1_0	2	4	0	0
tech_def_2_1_3	0	tech_def_2_1_0	2	4	0	0
tech_def_2_2_1	0	tech_def_2_2_0	2	4	0	0
tech_def_2_2_2	0	tech_def_2_2_0	2	4	0	0
tech_def_2_2_3	0	tech_def_2_2_0	2	4	0	0
tech_def_2_3_1	0	tech_def_2_3_0	2	4	0	0
tech_def_2_3_2	0	tech_def_2_3_0	2	4	0	0
tech_def_2_3_3	0	tech_def_2_3_0	2	4	0	0
tech_def_3_1_0	0	tech_def_3_0_0	2	4	0	0
tech_def_3_2_0	0	tech_def_3_0_0	2	4	0	0
tech_def_3_3_0	0	tech_def_3_0_0	2	4	0	0
tech_def_3_1_1	0	tech_def_3_1_0	2	4	0	0
tech_def_3_1_2	0	tech_def_3_1_0	2	4	0	0
tech_def_3_1_3	0	tech_def_3_1_0	2	4	0	0
tech_def_3_2_1	0	tech_def_3_2_0	2	4	0	0
tech_def_3_2_2	0	tech_def_3_2_0	2	4	0	0
tech_def_3_2_3	0	tech_def_3_2_0	2	4	0	0
tech_def_3_3_1	0	tech_def_3_3_0	2	4	0	0
tech_def_3_3_2	0	tech_def_3_3_0	2	4	0	0
tech_def_3_3_2_slaanesh	0	tech_def_3_3_0	2	4	0	0
tech_def_3_3_3	0	tech_def_3_3_0	2	4	0	0
tech_dlc03_bst_actions_2	0	tech_dlc03_bst_actions_1	2	4	0	0
tech_dlc03_bst_actions_4	0	tech_dlc03_bst_actions_1	3	4	0.5	0
tech_dlc03_bst_actions_3	0	tech_dlc03_bst_actions_2	2	4	0	0
