videos_tables
7
video_name	video_type	audio_tracks	script_ref
Front_end_selection_movies/alberic_front_end	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/archaon_front_end	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/azhag_front_end	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/balthazar_front_end	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/belegar_front_end	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/def_malekith	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/def_morathi	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/durthu_front_end	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/fay_front_end	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/franz_front_end	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/grimgor_front_end	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/grombrindal_front_end	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/hef_teclis	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/hef_tyrion	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/heinrich_front_end	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/helman_front_end	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/isabella_front_end	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/khazrak_front_end	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/kholek_front_end	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/louen_front_end	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/lzd_kroqgar	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/lzd_mazdamundi	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/malagor_front_end	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/mannfred_front_end	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/morghur_front_end	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/orion_front_end	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/sigvald_front_end	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/skarsnik_front_end	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/skv_queek	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/skv_skrolk	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/thorgrim_front_end	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/ungrim_front_end	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/vlad_front_end	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/volkmar_front_end	FULLSCREEN_INTRO	1	0
Front_end_selection_movies/wurrzag_front_end	FULLSCREEN_INTRO	1	0
MainMenu	FULLSCREEN_INTRO	1	0
SEGA_logo_sting_HD	FULLSCREEN_INTRO	1	0
Warhammer/chs_invasion	FULLSCREEN_INTRO	1	19
Warhammer/chs_rises	FULLSCREEN_INTRO	1	18
Warhammer/faction_select_argwylon	FULLSCREEN_INTRO	1	0
Warhammer/faction_select_belegar	FULLSCREEN_INTRO	1	0
Warhammer/faction_select_brt	FULLSCREEN_INTRO	1	0
Warhammer/faction_select_brt_bordeleaux	FULLSCREEN_INTRO	1	0
Warhammer/faction_select_brt_carcassonne	FULLSCREEN_INTRO	1	0
Warhammer/faction_select_bst	FULLSCREEN_INTRO	1	0
Warhammer/faction_select_bst_mini	FULLSCREEN_INTRO	1	0
Warhammer/faction_select_chs	FULLSCREEN_INTRO	1	0
Warhammer/faction_select_dwf	FULLSCREEN_INTRO	1	0
Warhammer/faction_select_emp	FULLSCREEN_INTRO	1	0
Warhammer/faction_select_grn	FULLSCREEN_INTRO	1	0
Warhammer/faction_select_mini_argwylon	FULLSCREEN_INTRO	1	0
Warhammer/faction_select_mini_wef	FULLSCREEN_INTRO	1	0
Warhammer/faction_select_skarsnik	FULLSCREEN_INTRO	1	0
Warhammer/faction_select_vmp	FULLSCREEN_INTRO	1	0
Warhammer/faction_select_vmp_von_carstein	FULLSCREEN_INTRO	1	0
Warhammer/faction_select_wef	FULLSCREEN_INTRO	1	0
Warhammer/faction_select_wurrzag	FULLSCREEN_INTRO	1	0
Warhammer/front_end_bst_mini	FULLSCREEN_INTRO	1	0
Warhammer/front_end_grand_campaign	FULLSCREEN_INTRO	1	0
Warhammer/front_end_vortex_campaign	FULLSCREEN_INTRO	1	0
Warhammer/front_end_wef_mini	FULLSCREEN_INTRO	1	0
Warhammer/race_intro_brt	FULLSCREEN_INTRO	1	24
Warhammer/race_intro_bst	FULLSCREEN_INTRO	1	20
Warhammer/race_intro_bst_mini	FULLSCREEN_INTRO	1	21
Warhammer/race_intro_chs	FULLSCREEN_INTRO	1	13
Warhammer/race_intro_dwf	FULLSCREEN_INTRO	1	14
Warhammer/race_intro_emp	FULLSCREEN_INTRO	1	15
Warhammer/race_intro_grn	FULLSCREEN_INTRO	1	16
Warhammer/race_intro_vmp	FULLSCREEN_INTRO	1	17
Warhammer/race_intro_wef	FULLSCREEN_INTRO	1	22
Warhammer/race_intro_wef_mini	FULLSCREEN_INTRO	1	23
advert1	FULLSCREEN_INTRO	1	0
advert2	FULLSCREEN_INTRO	1	0
army_morale_down	CAMPAIGN_ESTABLISH	1	0
army_morale_up	CAMPAIGN_ESTABLISH	1	0
army_morale_up_grn	CAMPAIGN_ESTABLISH	1	0
army_special_spawnings	CAMPAIGN_ESTABLISH	1	0
attrition_chaos_wastes	CAMPAIGN_ESTABLISH	1	0
attrition_desert	CAMPAIGN_ESTABLISH	1	0
attrition_disease	CAMPAIGN_ESTABLISH	1	0
attrition_mountain	CAMPAIGN_ESTABLISH	1	0
attrition_sea	CAMPAIGN_ESTABLISH	1	0
attrition_snow	CAMPAIGN_ESTABLISH	1	0
attrition_swamp	CAMPAIGN_ESTABLISH	1	0
attrition_vampire_territory	CAMPAIGN_ESTABLISH	1	0
besieged	CAMPAIGN_ESTABLISH	1	0
black_ark_created	CAMPAIGN_ESTABLISH	1	0
black_ark_destroyed	CAMPAIGN_ESTABLISH	1	0
blessing_of_the_lady	CAMPAIGN_ESTABLISH	1	0
blessing_of_the_lady_removed	CAMPAIGN_ESTABLISH	1	0
blockaded	CAMPAIGN_ESTABLISH	1	0
bray_herd_ceases	CAMPAIGN_ESTABLISH	1	0
bray_herd_rises	CAMPAIGN_ESTABLISH	1	0
carnage_charge	CAMPAIGN_ESTABLISH	1	0
carnage_magic	CAMPAIGN_ESTABLISH	1	0
carnage_weapons	CAMPAIGN_ESTABLISH	1	0
celebration	CAMPAIGN_ESTABLISH	1	0
chaos_doom_tide	CAMPAIGN_ESTABLISH	1	0
chaos_invasion	CAMPAIGN_ESTABLISH	1	0
chaos_rising	CAMPAIGN_ESTABLISH	1	0
chaos_stirs	CAMPAIGN_ESTABLISH	1	0
civilisation_down	CAMPAIGN_ESTABLISH	1	0
civilisation_up	CAMPAIGN_ESTABLISH	1	0
court_intrigue_1	CAMPAIGN_ESTABLISH	1	0
court_intrigue_2	CAMPAIGN_ESTABLISH	1	0
court_intrigue_3	CAMPAIGN_ESTABLISH	1	0
diplomacy	CAMPAIGN_ESTABLISH	1	0
epithets	CAMPAIGN_ESTABLISH	1	0
everchosen	CAMPAIGN_ESTABLISH	1	0
faction	CAMPAIGN_ESTABLISH	1	0
front_end_faction_select/def_faction	FULLSCREEN_INTRO	1	0
front_end_faction_select/hef_faction	FULLSCREEN_INTRO	1	0
front_end_faction_select/lzd_faction	FULLSCREEN_INTRO	1	0
front_end_faction_select/skv_faction	FULLSCREEN_INTRO	1	0
full_moon	CAMPAIGN_ESTABLISH	1	0
full_moon_loop	CAMPAIGN_ESTABLISH	1	0
funeral	CAMPAIGN_ESTABLISH	1	0
generic	CAMPAIGN_ESTABLISH	1	0
green_knight_appears	CAMPAIGN_ESTABLISH	1	0
green_knight_leaves	CAMPAIGN_ESTABLISH	1	0
land_defeat	CAMPAIGN_ESTABLISH	1	0
land_victory	CAMPAIGN_ESTABLISH	1	0
lord_defects	CAMPAIGN_ESTABLISH	1	0
lord_loyalty_low	CAMPAIGN_ESTABLISH	1	0
lunar_eclipse	CAMPAIGN_ESTABLISH	1	0
lunar_eclipse_loop	CAMPAIGN_ESTABLISH	1	0
messenger	CAMPAIGN_ESTABLISH	1	0
politics	CAMPAIGN_ESTABLISH	1	0
ritual_complete	CAMPAIGN_ESTABLISH	1	0
ritual_failed	CAMPAIGN_ESTABLISH	1	0
ritual_interrupted	CAMPAIGN_ESTABLISH	1	0
ritual_started	CAMPAIGN_ESTABLISH	1	0
settlement_lost	CAMPAIGN_ESTABLISH	1	0
solar_eclipse	CAMPAIGN_ESTABLISH	1	0
solar_eclipse_loop	CAMPAIGN_ESTABLISH	1	0
spell_previews/beast/wh_dlc03_spell_beast_flock_of_doom	VIDEO_TUTORIAL	1	0
spell_previews/beast/wh_dlc03_spell_beast_panns_impenetrable_pelt	VIDEO_TUTORIAL	1	0
spell_previews/beast/wh_dlc03_spell_beast_the_amber_spear	VIDEO_TUTORIAL	1	0
spell_previews/beast/wh_dlc03_spell_beast_the_curse_of_anraheir	VIDEO_TUTORIAL	1	0
spell_previews/beast/wh_dlc03_spell_beast_transformation_of_kadon	VIDEO_TUTORIAL	1	0
spell_previews/beast/wh_dlc03_spell_beast_wyssans_wildform	VIDEO_TUTORIAL	1	0
spell_previews/big_waaagh/wh_main_spell_big_waaagh_brain_bursta	VIDEO_TUTORIAL	1	0
spell_previews/big_waaagh/wh_main_spell_big_waaagh_eadbutt	VIDEO_TUTORIAL	1	0
spell_previews/big_waaagh/wh_main_spell_big_waaagh_ere_we_go	VIDEO_TUTORIAL	1	0
spell_previews/big_waaagh/wh_main_spell_big_waaagh_fists_of_gork	VIDEO_TUTORIAL	1	0
spell_previews/big_waaagh/wh_main_spell_big_waaagh_foot_of_gork	VIDEO_TUTORIAL	1	0
