resource_cost_pooled_resource_junctions_tables
0
cost	unknown1	unknown2
-3	skaven_food_menace_below	wh2_main_resource_cost_menace_below_1
-6	skaven_food_menace_below	wh2_main_resource_cost_menace_below_2
-9	skaven_food_menace_below	wh2_main_resource_cost_menace_below_3
-12	skaven_food_menace_below	wh2_main_resource_cost_menace_below_4
-15	skaven_food_menace_below	wh2_main_resource_cost_menace_below_5
2	skaven_food_captives	wh2_main_resource_cost_skv_eat_captives_food
-20	skaven_food_colonisation	wh2_main_resource_cost_skv_occupy_primary_slot_2
-40	skaven_food_colonisation	wh2_main_resource_cost_skv_occupy_primary_slot_3
-80	skaven_food_colonisation	wh2_main_resource_cost_skv_occupy_primary_slot_4
-120	skaven_food_colonisation	wh2_main_resource_cost_skv_occupy_primary_slot_5
