stats_tables
1
key	label	public	ladder
stat_0		False	False
stat_1		False	False
stat_10		False	False
stat_11	player_stats_total_mp_naval_battles_won	True	False
stat_12		False	False
stat_13		False	False
stat_14		False	False
stat_15		False	False
stat_16	player_stats_total_mp_naval_battles_completed	True	False
stat_17	player_stats_total_mp_land_battles_completed	True	False
stat_18	player_stats_total_mp_land_battles_won	True	False
stat_19		False	False
stat_2		False	False
stat_20	player_stats_ranked_land_battles_won	True	True
stat_21	player_stats_ranked_land_battles_lost	True	True
stat_22	player_stats_ranked_naval_battles_won	True	True
stat_23	player_stats_ranked_naval_battles_lost	True	True
stat_24	player_stats_campaign_land_battles_won	True	False
stat_25	player_stats_campaign_land_battles_lost	True	False
stat_26	player_stats_campaign_naval_battles_won	True	False
stat_27	player_stats_campaign_naval_battles_lost	True	False
stat_28	player_stats_campaign_battles_fought_personally	True	False
stat_29	player_stat_men_killed	True	False
stat_3		False	False
stat_30	player_stats_men_lost	False	False
stat_31	player_stats_enemy_generals_killed	False	False
stat_32	player_stats_generals_lost	False	False
stat_33		False	False
stat_34	player_stats_enemy_ships_sunk	False	False
stat_35	player_stats_ships_lost	False	False
stat_36	player_stats_campaigns_completed	True	False
stat_37		False	False
stat_38	player_stats_mp_consecutive_land	False	False
stat_39	player_stats_mp_consecutive_naval	False	False
stat_4	player_stat_battles_finished	False	False
stat_40	player_stats_decisive_victories	True	False
stat_45		False	False
stat_46	player_stats_most_men_killed	True	False
stat_47	player_stats_most_men_lost	True	False
stat_48	player_stats_enemy_units_wiped_out	False	False
stat_49	player_stats_friendly_units_rallied	False	False
stat_5	player_stat_battles_started	False	False
stat_50	player_stats_best_1v1_placement	True	True
stat_51	player_stats_best_2v2_placement	True	True
stat_52	player_stats_best_3v3_placement	True	True
stat_53	player_stats_best_4v4_placement	True	True
stat_54	player_stats_best_1v1_skill	False	True
stat_55	player_stats_best_2v2_skill	False	True
stat_56	player_stats_best_3v3_skill	False	True
stat_57	player_stats_best_4v4_skill	False	True
stat_58	player_stats_best_clan_ladder_placement	True	True
stat_59	player_stats_best_streak	False	False
stat_6	player_stat_battles_won	True	False
stat_60	CARD_STAT_BEST_1V1_LADDER_PLACEMENT_NAVAL	True	True
stat_61	CARD_STAT_BEST_2V2_LADDER_PLACEMENT_NAVAL	True	True
stat_62	CARD_STAT_BEST_3V3_LADDER_PLACEMENT_NAVAL	True	True
stat_63	CARD_STAT_BEST_4V4_LADDER_PLACEMENT_NAVAL	True	True
stat_64	CARD_STAT_BEST_1V1_SKILL_NAVAL	False	True
stat_65	CARD_STAT_BEST_2V2_SKILL_NAVAL	False	True
stat_66	CARD_STAT_BEST_3V3_SKILL_NAVAL	False	True
stat_67	CARD_STAT_BEST_4V4_SKILL_NAVAL	False	True
stat_68		False	False
stat_69		False	False
stat_7	player_stat_battles_lost	True	False
stat_70		False	False
stat_71		False	False
stat_72		False	False
stat_73		False	False
stat_74		False	False
stat_75		False	False
stat_76		False	False
stat_77		False	False
stat_78		False	False
stat_79		False	False
stat_8	player_stats_total_men_dead	False	False
stat_80		False	False
stat_9		False	False
