campaign_stance_effects_junctions_tables
3
stance	effect_bundle	culture	sub_culture	faction	unknown5
MILITARY_FORCE_ACTIVE_STANCE_TYPE_AMBUSH	wh_dlc03_bundle_stance_army_settlement_horde_beastmen	wh_dlc03_bst_beastmen			HORDE
MILITARY_FORCE_ACTIVE_STANCE_TYPE_AMBUSH	wh_dlc07_bundle_stance_army_ambush_bretonnia	wh_main_brt_bretonnia			
MILITARY_FORCE_ACTIVE_STANCE_TYPE_AMBUSH	wh_main_bundle_stance_army_ambush				
MILITARY_FORCE_ACTIVE_STANCE_TYPE_ASSEMBLE_FLEET	wh_main_bundle_stance_navy_mustering				
MILITARY_FORCE_ACTIVE_STANCE_TYPE_ASTROMANCY	wh2_main_bundle_stance_army_astromancy				
MILITARY_FORCE_ACTIVE_STANCE_TYPE_CHANNELING	wh2_main_bundle_stance_army_channelling_hef	wh2_main_hef_high_elves			
MILITARY_FORCE_ACTIVE_STANCE_TYPE_CHANNELING	wh_main_bundle_stance_army_channelling				
MILITARY_FORCE_ACTIVE_STANCE_TYPE_CHANNELING	wh_main_bundle_stance_army_channelling_vmp	wh2_main_def_dark_elves			
MILITARY_FORCE_ACTIVE_STANCE_TYPE_CHANNELING	wh_main_bundle_stance_army_channelling_vmp	wh_main_vmp_vampire_counts			
MILITARY_FORCE_ACTIVE_STANCE_TYPE_DEFAULT	wh2_main_bundle_stance_army_stalking	wh2_main_skv_skaven			
MILITARY_FORCE_ACTIVE_STANCE_TYPE_DEFAULT	wh_dlc03_bundle_stance_army_default_beastmen	wh_dlc03_bst_beastmen			HORDE
MILITARY_FORCE_ACTIVE_STANCE_TYPE_DEFAULT	wh_main_bundle_stance_army_default				
MILITARY_FORCE_ACTIVE_STANCE_TYPE_DOUBLE_TIME	wh2_main_bundle_stance_navy_double_time_hef	wh2_main_hef_high_elves			
MILITARY_FORCE_ACTIVE_STANCE_TYPE_DOUBLE_TIME	wh_main_bundle_stance_navy_double_time				
MILITARY_FORCE_ACTIVE_STANCE_TYPE_LAND_RAID	wh_dlc03_bundle_stance_army_raiding_horde_beastmen	wh_dlc03_bst_beastmen			HORDE
MILITARY_FORCE_ACTIVE_STANCE_TYPE_LAND_RAID	wh_main_bundle_stance_army_raiding				
MILITARY_FORCE_ACTIVE_STANCE_TYPE_LAND_RAID	wh_main_bundle_stance_army_raiding_bretonnia	wh_main_brt_bretonnia			
MILITARY_FORCE_ACTIVE_STANCE_TYPE_LAND_RAID	wh_main_bundle_stance_army_raiding_horde				HORDE
MILITARY_FORCE_ACTIVE_STANCE_TYPE_LAND_RAID	wh_main_bundle_stance_army_raiding_skaven	wh2_main_skv_skaven			
MILITARY_FORCE_ACTIVE_STANCE_TYPE_MARCH	wh_main_bundle_stance_army_forced_march				
MILITARY_FORCE_ACTIVE_STANCE_TYPE_MUSTER	wh_main_bundle_stance_army_mustering				
MILITARY_FORCE_ACTIVE_STANCE_TYPE_PATROL	wh2_main_bundle_stance_black_ark_patrol				SEA_LOCKED_HORDE
MILITARY_FORCE_ACTIVE_STANCE_TYPE_SEA_RAID	wh_main_bundle_stance_navy_raiding				
MILITARY_FORCE_ACTIVE_STANCE_TYPE_SETTLE	wh_dlc03_bundle_stance_army_settlement_horde_beastmen	wh_dlc03_bst_beastmen			HORDE
MILITARY_FORCE_ACTIVE_STANCE_TYPE_SETTLE	wh_main_bundle_stance_army_settlement_horde				HORDE
MILITARY_FORCE_ACTIVE_STANCE_TYPE_SETTLE	wh_main_bundle_stance_army_settlement_horde_recruitment_provider				SEA_LOCKED_HORDE
MILITARY_FORCE_ACTIVE_STANCE_TYPE_SETTLE	wh_main_bundle_stance_army_settlement_horde	wh_main_chs_chaos			HORDE
MILITARY_FORCE_ACTIVE_STANCE_TYPE_SET_CAMP_RAIDING	wh_main_bundle_stance_army_raiding_camp				
MILITARY_FORCE_ACTIVE_STANCE_TYPE_SET_CAMP	wh_main_bundle_stance_army_fortification				
MILITARY_FORCE_ACTIVE_STANCE_TYPE_STALKING	wh2_main_bundle_stance_army_stalking				
MILITARY_FORCE_ACTIVE_STANCE_TYPE_TUNNELING	wh_dlc05_bundle_stance_army_tunnelling_wood_elves	wh_dlc05_wef_wood_elves			
MILITARY_FORCE_ACTIVE_STANCE_TYPE_TUNNELING	wh_dlc06_bundle_stance_army_tunnelling_belegar			wh_main_dwf_karak_izor	
MILITARY_FORCE_ACTIVE_STANCE_TYPE_TUNNELING	wh_main_bundle_stance_army_tunnelling				
MILITARY_FORCE_ACTIVE_STANCE_TYPE_TUNNELING	wh_main_bundle_stance_army_use_beastpaths	wh_dlc03_bst_beastmen			HORDE
MILITARY_FORCE_SITUATIONAL_STANCE_BLOCKADE	wh_main_bundle_stance_navy_blockading				
MILITARY_FORCE_SITUATIONAL_STANCE_DOCK	wh_main_bundle_stance_navy_docked				
MILITARY_FORCE_SITUATIONAL_STANCE_GARRISON	wh_main_bundle_stance_army_garrisoned				
MILITARY_FORCE_SITUATIONAL_STANCE_LAY_SIEGE	wh_dlc03_bundle_stance_army_laying_siege_bst	wh_dlc03_bst_beastmen			HORDE
MILITARY_FORCE_SITUATIONAL_STANCE_LAY_SIEGE	wh_main_bundle_stance_army_laying_siege				
MILITARY_FORCE_SITUATIONAL_STANCE_LAY_SIEGE	wh_main_bundle_stance_army_laying_siege_grn	wh_main_grn_greenskins			
