character_skill_nodes_skill_locks_tables
0
character_skill	character_skill_node	level
mark_khorne	bst_lord_nurgle	1
mark_khorne	bst_lord_tzeentch	1
mark_khorne	bst_lord_slaanesh	1
mark_slaanesh	bst_lord_khorne	1
mark_slaanesh	bst_lord_tzeentch	1
mark_slaanesh	bst_lord_nurgle	1
mark_tzeentch	bst_lord_khorne	1
mark_tzeentch	bst_lord_slaanesh	1
mark_tzeentch	bst_lord_nurgle	1
mark_nurgle	bst_lord_khorne	1
mark_nurgle	bst_lord_slaanesh	1
mark_nurgle	bst_lord_tzeentch	1
mark_nurgle	gorebull_khorne	1
mark_khorne	gorebull_nurgle	1
mark_nurgle	doombull_khorne	1
mark_khorne	doombull_nurgle	1
mark_slaanesh	shaman_wild_nurgle	1
mark_slaanesh	shaman_wild_tzeentch	1
mark_tzeentch	shaman_wild_slaanesh	1
mark_tzeentch	shaman_wild_nurgle	1
mark_nurgle	shaman_wild_slaanesh	1
mark_nurgle	shaman_wild_tzeentch	1
mark_slaanesh	shaman_beast_nurgle	1
mark_slaanesh	shaman_beast_tzeentch	1
mark_tzeentch	shaman_beast_slaanesh	1
mark_tzeentch	shaman_beast_nurgle	1
mark_nurgle	shaman_beast_slaanesh	1
mark_nurgle	shaman_beast_tzeentch	1
mark_slaanesh	shaman_shadow_nurgle	1
mark_slaanesh	shaman_shadow_tzeentch	1
mark_tzeentch	shaman_shadow_slaanesh	1
mark_tzeentch	shaman_shadow_nurgle	1
mark_nurgle	shaman_shadow_slaanesh	1
mark_nurgle	shaman_shadow_tzeentch	1
mark_slaanesh	shaman_death_nurgle	1
mark_slaanesh	shaman_death_tzeentch	1
mark_tzeentch	shaman_death_slaanesh	1
mark_tzeentch	shaman_death_nurgle	1
mark_nurgle	shaman_death_slaanesh	1
mark_nurgle	shaman_death_tzeentch	1
mark_slaanesh	lshaman_wild_nurgle	1
mark_slaanesh	lshaman_wild_tzeentch	1
mark_tzeentch	lshaman_wild_slaanesh	1
mark_tzeentch	lshaman_wild_nurgle	1
mark_nurgle	lshaman_wild_slaanesh	1
