_kv_rules_tables
0
key	value
armour_roll_lower_cap	0.5
battle_camera_max_distance_from_army	200
battle_pipe_climb	10
battle_pipe_default	2
battle_pipe_jump	10
battle_pipe_jump_disembark	50
battle_pipe_ship_grapple	20
battle_pipe_siege_tower_wall_door	10
battle_pipe_wall_door	10
battleai_sallyout_defend_settlement_preference	0.05
battleai_sallyout_open_field_victory_factor	1.5
battleai_sallyout_tower_strength	1000
battlefield_zone_slot_threshold	8
bayonet_melee_attack_bonus	0
bayonet_ring_reload_time_penalty	0
boiling_oil_distance_multiplier	0.4
boiling_oil_flow_duration	5
bracing_attack_angle	80
bracing_calibration_ranks	7
bracing_calibration_ranks_multiplier	3.5
bracing_charge_reflector_bonus	1.75
bracing_immovable_by_small_entity_mass	600
bracing_max_multiplier_clamp	10
break_off_ignore_collision_time	0
break_off_speed_and_direction_checks	0
charge_cool_down_time	13
climbing_ladder_speed_modifier	0.9
climbing_walls_speed_modifier	1
collision_damage_armour_penetration_ratio	0.7
collision_damage_default	10
collision_damage_immunity_timer	3
collision_damage_maximum	70
collision_damage_modifier	0.6
collision_damage_normaliser	0.7
collision_disable_delay_knocked_back_vs_enemies	2
collision_disable_delay_knocked_back_vs_friends	2
collision_disable_delay_knocked_down_vs_enemies	2
collision_disable_delay_knocked_down_vs_friends	0
collision_disable_delay_knocked_flying_vs_enemies	2
collision_disable_delay_knocked_flying_vs_friends	0
collision_enable_death_distance_to_obstacles_threshold	10
collision_enable_death_fadeout_alpha	1
collision_enable_death_max_entity_size	3
collision_restitution_coefficient	0.3
collision_speed_delta_threshold_knocked_back	4
collision_speed_delta_threshold_knocked_down	7
collision_speed_delta_threshold_knocked_flying	10.5
collision_speed_delta_threshold_step_back	3
defense_line_pivot_factor	0.8
difficulty_mod_ai_easy_charge_bonus	0.8
difficulty_mod_ai_easy_melee_attack	0.8
difficulty_mod_ai_easy_melee_damage	0.9
difficulty_mod_ai_easy_melee_defence	0.9
difficulty_mod_ai_easy_missile_reload_additional	-10
difficulty_mod_ai_hard_charge_bonus	1.1
difficulty_mod_ai_hard_melee_attack	1.1
difficulty_mod_ai_hard_melee_damage	1.1
difficulty_mod_ai_hard_melee_defence	1.1
difficulty_mod_ai_hard_missile_reload_additional	10
difficulty_mod_ai_very_hard_charge_bonus	1.15
difficulty_mod_ai_very_hard_melee_attack	1.15
difficulty_mod_ai_very_hard_melee_damage	1.15
difficulty_mod_ai_very_hard_melee_defence	1.2
difficulty_mod_ai_very_hard_missile_reload_additional	20
discard_defensive_feature_distance	80
entity_formation_spacing	1.8
escalation_level_one_building_health	0.7
escalation_level_one_wall_breaches	1
escalation_level_one_wall_health	0.7
escalation_level_two_building_health	0.3
escalation_level_two_wall_breaches	4
escalation_level_two_wall_health	0.3
fire_damage_only_applies_to_siege_equipment	1
fire_on_walls_accuracy_modifier	0.1
fire_on_walls_reload_modifier	0
fire_volley_arrow_min_threshold	0.1
fire_volley_gun_min_threshold	0.025
fire_volley_max_aim_delay_training_ratio	0.11
firing_drill_improved_platoon_fire_reload_modifier	50
firing_drill_mass_fire_reload_modifier	0
firing_drill_platoon_fire_reload_modifier	0
firing_drill_rank_fire_reload_modifier	0
fort_wall_visibility_enabled	1
fort_wall_visibility_perimeter_distance	250
free_for_all_last_man_standing_bonus_ratio	0.2
general_auto_survive_threshold	0.5
hitpoint_threshold_to_fall_through_collision	50
impact_reflection_attack_cooldown_timer	0.5
impact_reflection_final_damage_modifier	1
impact_reflection_knockback_chance	75
impact_reflection_velocity_bonus_damage_modifier	3
interrupt_mass_ratio_clamp_hit_reaction	0.4
interrupt_mass_ratio_clamp_knockback	0.35
interrupt_mass_ratio_clamp_knockdown	0.5
interrupt_mass_ratio_clamp_melee_block	0.5
interrupt_mass_ratio_clamp_stepback	0.5
knockdown_getting_up_delay_armour_multiplier	0.02
knockdown_getting_up_delay_max	2
knockdown_getting_up_delay_min	0.7
magazine_explosion_interrupt_chance	15
magazine_explosion_radius	25
matched_combat_formed_charge_percentage	20
matched_combat_formed_vs_formed_percentage	40
matched_combat_formed_vs_free_percentage	60
matched_combat_min_hitpoints_to_initiate	15
matched_combat_min_hitpoints_whilst_active	5
matched_combat_percentage	100
melee_attack_interval	4
melee_defence_direction_penalty_coefficient_flank	0.6
melee_defence_direction_penalty_coefficient_rear	0.3
melee_defence_formed_attack_bonus	0
melee_height_damage_modifier_max_coefficient	0.3
melee_height_damage_modifier_max_difference	1
melee_hit_chance_base	35
melee_hit_chance_max	90
melee_hit_chance_min	8
melee_hit_chance_normalisation_coefficient	1
melee_mage_switch_to_melee_time	300
melee_max_hit_reactions	2
melee_on_damage_effect_knock_chance_charging_bonus	2
melee_on_damage_effect_knockback_chance	0.1
melee_on_damage_effect_knockdown_chance	0.05
melee_outnumbered_defence_penalty	1
melee_secondary_attack_probability	1
melee_weapon_building_damage_mult	1
missile_accuracy_for_towers	0.45
missile_armour_penetrating_coefficient	0.25
missile_armour_piercing_coefficient	0.5
missile_height_damage_modifier_max_coefficient	0.3
missile_height_damage_modifier_max_difference	40
missile_ignore_own_unit_for_friendly_fire	1
missile_lethality_coefficient_effective_range	40
missile_lethality_coefficient_extreme_range	120
missile_saving_bonus_base	20
missile_saving_bonus_coefficient	0.5
missile_shield_piercing_coefficient	0.5
missile_target_in_cover_penalty	0.2
night_battle_attacker_hiding_scalar_modifier	0.75
night_battle_defender_hiding_scalar_modifier	1
pike_attack_zone_cosine_angle	0.9903
pike_attack_zone_depth	1
pike_lower_bearing_tolerance	0.7854
pike_lower_delay_combat	20
pike_lower_delay_turn_rate_multiplier	0.5
projectile_aiming_target_size_modifier	0.9
projectile_friendly_fire_man_height_coefficient	1.15
projectile_friendly_fire_man_radius_coefficient	2.2
pursuit_charge_bonus_modifier	1
refusal_chance_vs_charge_reflectors	0
refusal_chance_vs_pike_phalanx	0
scaled_playable_area_size_max	1024
scaled_playable_area_size_min	1024
settlement_destruction_max_melee_attack_penalty	0
settlement_destruction_max_melee_defence_penalty	0
shield_defence_angle_melee	60
shield_defence_angle_missile	60
shockwave_speed_delta_threshold_knocked_back	2
shockwave_speed_delta_threshold_knocked_down	3.5
shockwave_speed_delta_threshold_knocked_flying	5.25
shockwave_speed_delta_threshold_step_back	1.5
tickets_multiple_victory_points	200
tickets_single_victory_point	150
unit_firing_line_of_sight_considered_obstructed_ratio	0.75
unit_max_drag_width	42
unit_spawn_offset	-22
unspottable_unit_reveal_distance	20
ward_save_max_value	90
ward_save_min_value	-100
