diplomatic_action_subculture_restrictions_tables
0
can_make_client_states	can_make_confederations	can_make_vassals	subculture
False	False	False	wh2_main_rogue_abominations
False	False	False	wh2_main_rogue_beastcatchas
False	False	False	wh2_main_rogue_bernhoffs_brigands
False	False	False	wh2_main_rogue_black_spider_tribe
False	False	False	wh2_main_rogue_boneclubbers_tribe
False	False	False	wh2_main_rogue_celestial_storm
False	False	False	wh2_main_rogue_college_of_pyrotechnics
False	False	False	wh2_main_rogue_doomseekers
False	False	False	wh2_main_rogue_gerhardts_mercenaries
False	False	False	wh2_main_rogue_heirs_of_mourkain
False	False	False	wh2_main_rogue_hung_warband
False	False	False	wh2_main_rogue_hunters_of_kurnous
False	False	False	wh2_main_rogue_jerrods_errantry
False	False	False	wh2_main_rogue_mangy_houndz
False	False	False	wh2_main_rogue_mengils_manflayers
False	False	False	wh2_main_rogue_morrsliebs_howlers
False	False	False	wh2_main_rogue_pirates_of_the_far_sea
False	False	False	wh2_main_rogue_pirates_of_the_southern_ocean
False	False	False	wh2_main_rogue_pirates_of_trantio
False	False	False	wh2_main_rogue_scions_of_tesseninck
False	False	False	wh2_main_rogue_scourge_of_aquitaine
False	False	False	wh2_main_rogue_stuff_snatchers
False	False	False	wh2_main_rogue_teef_snatchaz
False	False	False	wh2_main_rogue_the_wandering_dead
False	False	False	wh2_main_rogue_tor_elithis
False	False	False	wh2_main_rogue_troll_skullz
False	False	False	wh2_main_rogue_vashnaar
False	False	False	wh2_main_rogue_vauls_expedition
False	False	False	wh2_main_rogue_worldroot_rangers
False	False	False	wh2_main_rogue_wrath_of_nature
False	True	True	wh2_main_sc_def_dark_elves
False	True	True	wh2_main_sc_hef_high_elves
False	True	True	wh2_main_sc_lzd_lizardmen
False	True	True	wh2_main_sc_skv_skaven
False	True	False	wh_dlc03_sc_bst_beastmen
False	True	True	wh_dlc05_sc_wef_wood_elves
False	True	True	wh_main_sc_brt_bretonnia
False	False	True	wh_main_sc_chs_chaos
False	True	True	wh_main_sc_dwf_dwarfs
False	True	True	wh_main_sc_emp_empire
False	True	True	wh_main_sc_grn_greenskins
False	False	True	wh_main_sc_grn_savage_orcs
False	False	True	wh_main_sc_ksl_kislev
False	False	True	wh_main_sc_nor_norsca
False	False	True	wh_main_sc_teb_teb
False	True	True	wh_main_sc_vmp_vampire_counts
