resources_tables
5
key	unit	trade_value	icon_filepath	strategic_value	in_encyclopedia	unknown6
res_amber	sacks	50	ui\campaign ui\effect_bundles\resource_amber.png	500	False	True
res_animals	cages	50	ui\campaign ui\effect_bundles\resource_animals.png	500	False	True
res_dyes	ounce	50	ui\campaign ui\effect_bundles\resource_dyes.png	500	True	True
res_fortress		0	ui\campaign ui\effect_bundles\siege_defence.png	0	False	True
res_gems	sacks	50	ui\campaign ui\effect_bundles\resource_gemstones.png	500	True	True
res_gold	chests	0	ui\campaign ui\effect_bundles\resource_gold.png	0	True	True
res_location_brt		0	ui\campaign ui\effect_bundles\strategic_location.png	0	False	True
res_location_colony		0	ui\campaign ui\effect_bundles\resource_colony.png	0	False	True
res_location_def		0	ui\campaign ui\effect_bundles\strategic_location.png	0	False	True
res_location_dwf		0	ui\campaign ui\effect_bundles\strategic_location.png	0	False	True
res_location_dwf_grn		0	ui\campaign ui\effect_bundles\strategic_location.png	0	False	True
res_location_dwf_grn_skv		0	ui\campaign ui\effect_bundles\strategic_location.png	0	False	True
res_location_emp		0	ui\campaign ui\effect_bundles\strategic_location.png	0	False	True
res_location_emp_brt		0	ui\campaign ui\effect_bundles\strategic_location.png	0	False	True
res_location_emp_vmp		0	ui\campaign ui\effect_bundles\strategic_location.png	0	False	True
res_location_emp_vmp_brt		0	ui\campaign ui\effect_bundles\strategic_location.png	0	False	True
res_location_generic		0	ui\campaign ui\effect_bundles\strategic_location.png	0	False	True
res_location_grn		0	ui\campaign ui\effect_bundles\strategic_location.png	0	False	True
res_location_hef		0	ui\campaign ui\effect_bundles\strategic_location.png	0	False	True
res_location_hef_def		0	ui\campaign ui\effect_bundles\strategic_location.png	0	False	True
res_location_lzd		0	ui\campaign ui\effect_bundles\strategic_location.png	0	False	True
res_location_skv		0	ui\campaign ui\effect_bundles\strategic_location.png	0	False	True
res_location_skv_lzd		0	ui\campaign ui\effect_bundles\strategic_location.png	0	False	True
res_location_teb		0	ui\campaign ui\effect_bundles\strategic_location.png	0	False	True
res_location_vmp		0	ui\campaign ui\effect_bundles\strategic_location.png	0	False	True
res_medicine	bundle	50	ui\campaign ui\effect_bundles\resource_medicine.png	500	False	True
res_obsidian	chests	50	ui\campaign ui\effect_bundles\resource_obsidian.png	500	False	True
res_ritual_currency		0	ui\campaign ui\effect_bundles\resource_vortex_site.png	0	False	False
res_rom_furs	bundle	50	ui\campaign ui\effect_bundles\resource_furs.png	500	True	True
res_rom_glass	kegs	50	ui\campaign ui\effect_bundles\resource_dwarf_beer.png	500	True	True
res_rom_iron	ingot	50	ui\campaign ui\effect_bundles\resource_iron.png	500	True	True
res_rom_lead	barrels	50	ui\campaign ui\effect_bundles\resource_salt.png	500	True	True
res_rom_marble	slabs	50	ui\campaign ui\effect_bundles\resource_marble.png	500	True	True
res_rom_oil		0	ui\campaign ui\effect_bundles\resource_grain.png	0	True	True
res_rom_textiles	kilnful	50	ui\campaign ui\effect_bundles\resource_pottery.png	500	True	True
res_rom_timber	logs	50	ui\campaign ui\effect_bundles\resource_timber.png	500	True	True
res_rom_wine	barrels	50	ui\campaign ui\effect_bundles\resource_wine.png	500	True	True
res_savage		0	ui\campaign ui\effect_bundles\resource_savage_orcs.png	0	True	True
res_spices	sacks	50	ui\campaign ui\effect_bundles\resource_spices.png	500	False	True
res_trinkets	chests	50	ui\campaign ui\effect_bundles\resource_trinkets.png	500	False	True
