faction_political_parties_junctions_tables
0
faction_key	political_party_key
wh2_main_def_naggarond	wh2_main_political_party_def_malekith
wh2_main_def_cult_of_pleasure	wh2_main_political_party_def_morathi
wh2_main_hef_order_of_loremasters	wh2_main_political_party_hef_teclis
wh2_main_hef_eataine	wh2_main_political_party_hef_tyrion
wh2_main_lzd_last_defenders	wh2_main_political_party_lzd_kroq_gar
wh2_main_lzd_hexoatl	wh2_main_political_party_lzd_lord_mazdamundi
wh2_main_skv_clan_pestilens	wh2_main_political_party_skv_lord_skrolk
wh2_main_skv_clan_mors	wh2_main_political_party_skv_queek_headtaker
wh_dlc03_bst_beastmen	wh_dlc03_political_party_beastmen_council
wh_dlc03_bst_beastmen	wh_dlc03_political_party_beastmen_ruler
wh_dlc03_bst_mini_khazrak_herd	wh_dlc03_political_party_mini_beastmen_khazrak_council
wh_dlc03_bst_mini_khazrak_herd	wh_dlc03_political_party_mini_beastmen_khazrak_ruler
wh_dlc05_bst_mini_morghur_herd	wh_dlc05_political_party_mini_beastmen_morghur
wh_dlc05_bst_mini_morghur_herd	wh_dlc05_political_party_mini_beastmen_morghur_council
wh_dlc05_wef_mini_wood_elves	wh_dlc05_political_party_mini_wood_elves_council
wh_dlc05_wef_mini_argwylon	wh_dlc05_political_party_mini_wood_elves_durthu
wh_dlc05_wef_mini_argwylon	wh_dlc05_political_party_mini_wood_elves_durthu_council
wh_dlc05_wef_mini_wood_elves	wh_dlc05_political_party_mini_wood_elves_ruler
wh_dlc05_wef_wood_elves	wh_dlc05_political_party_wood_elves_council
wh_dlc05_wef_argwylon	wh_dlc05_political_party_wood_elves_durthu
wh_dlc05_wef_argwylon	wh_dlc05_political_party_wood_elves_durthu_council
wh_dlc05_wef_wood_elves	wh_dlc05_political_party_wood_elves_ruler
wh_main_dwf_karak_izor	wh_dlc06_political_party_belegar_council
wh_main_dwf_karak_izor	wh_dlc06_political_party_belegar_ruler
wh_main_grn_crooked_moon	wh_dlc06_political_party_skarsnik_council
wh_main_grn_crooked_moon	wh_dlc06_political_party_skarsnik_ruler
wh_main_grn_orcs_of_the_bloody_hand	wh_dlc06_political_party_wurrzag_council
wh_main_grn_orcs_of_the_bloody_hand	wh_dlc06_political_party_wurrzag_ruler
wh_main_brt_bordeleaux	wh_dlc07_political_party_bretonnia_alberic
wh_main_brt_bretonnia	wh_dlc07_political_party_bretonnia_council
wh_main_brt_bordeleaux	wh_dlc07_political_party_bretonnia_council_alberic
wh_main_brt_carcassonne	wh_dlc07_political_party_bretonnia_council_fay
wh_main_brt_carcassonne	wh_dlc07_political_party_bretonnia_fay
wh_main_brt_bretonnia	wh_dlc07_political_party_bretonnia_ruler
wh_main_chs_chaos	wh_main_political_party_chaos_council
wh_main_chs_chaos	wh_main_political_party_chaos_ruler
wh_main_chs_chaos_separatists	wh_main_political_party_chaos_separatist_council
wh_main_chs_chaos_separatists	wh_main_political_party_chaos_separatist_ruler
wh_main_dwf_dwarfs	wh_main_political_party_dwarf_council
wh_main_dwf_dwarfs	wh_main_political_party_dwarf_ruler
wh_main_emp_empire	wh_main_political_party_empire_council
wh_main_emp_empire	wh_main_political_party_empire_ruler
wh_main_emp_empire_separatists	wh_main_political_party_empire_separatist_council
wh_main_emp_empire_separatists	wh_main_political_party_empire_separatist_ruler
wh_main_grn_greenskins	wh_main_political_party_greenskins_council
wh_main_grn_greenskins	wh_main_political_party_greenskins_ruler
wh_main_vmp_vampire_counts	wh_main_political_party_vampire_council
wh_main_vmp_vampire_counts	wh_main_political_party_vampire_ruler
wh_main_vmp_schwartzhafen	wh_pro02_political_party_vlad_council
wh_main_vmp_schwartzhafen	wh_pro02_political_party_vlad_ruler
