audio_vo_actor_groups_tables
2
unknown0	unknown1	unknown2	unknown3	unknown4	unknown5	unknown6	unknown7	unknown8	unknown9	unknown10	unknown11	unknown12	unknown13	unknown14	unknown15
vo_actor_Empire_dlc03_AmberWizard	wh_dlc03_vo_actor_Empire_AmberWizard1	wh_dlc03_vo_actor_Empire_AmberWizard2													
wh2_main_vo_actor_Dark_Elves_Death_Hag	wh2_main_vo_actor_Dark_Elves_Death_Hag1	wh2_main_vo_actor_Dark_Elves_Death_Hag2													
wh2_main_vo_actor_Dark_Elves_Dreadlord	wh2_main_vo_actor_Dark_Elves_Dreadlord1	wh2_main_vo_actor_Dark_Elves_Dreadlord2													
wh2_main_vo_actor_Dark_Elves_DreadlordFemale	wh2_main_vo_actor_Dark_Elves_DreadlordFemale1	wh2_main_vo_actor_Dark_Elves_DreadlordFemale2													
wh2_main_vo_actor_Dark_Elves_Infantry	wh2_main_vo_actor_Dark_Elves_Inf1	wh2_main_vo_actor_Dark_Elves_Inf2	wh2_main_vo_actor_Dark_Elves_Inf3	wh2_main_vo_actor_Dark_Elves_Inf4											
wh2_main_vo_actor_Dark_Elves_Malekith	wh2_main_vo_actor_Dark_Elves_Malekith														
wh2_main_vo_actor_Dark_Elves_Morathi	wh2_main_vo_actor_Dark_Elves_Morathi														
wh2_main_vo_actor_Dark_Elves_Mounted	wh2_main_vo_actor_Dark_Elves_Mtd1	wh2_main_vo_actor_Dark_Elves_Mtd2	wh2_main_vo_actor_Dark_Elves_Mtd3	wh2_main_vo_actor_Dark_Elves_Mtd4											
wh2_main_vo_actor_Dark_Elves_Sorceress	wh2_main_vo_actor_Dark_Elves_Sorceress1	wh2_main_vo_actor_Dark_Elves_Sorceress2													
wh2_main_vo_actor_Dark_Elves_Witch_Elves_Inf	wh2_main_vo_actor_Dark_Elves_Witch_Elves_Inf1	wh2_main_vo_actor_Dark_Elves_Witch_Elves_Inf2	wh2_main_vo_actor_Dark_Elves_Witch_Elves_Inf3												
wh2_main_vo_actor_High_Elves_Infantry	wh2_main_vo_actor_High_Elves_Inf1	wh2_main_vo_actor_High_Elves_Inf2	wh2_main_vo_actor_High_Elves_Inf3	wh2_main_vo_actor_High_Elves_Inf4											
wh2_main_vo_actor_High_Elves_Loremasters_of_Hoeth	wh2_main_vo_actor_High_Elves_Loremasters_of_Hoeth1	wh2_main_vo_actor_High_Elves_Loremasters_of_Hoeth2													
wh2_main_vo_actor_High_Elves_Mage	wh2_main_vo_actor_High_Elves_Mage1	wh2_main_vo_actor_High_Elves_Mage2													
wh2_main_vo_actor_High_Elves_Mounted	wh2_main_vo_actor_High_Elves_Mtd1	wh2_main_vo_actor_High_Elves_Mtd2	wh2_main_vo_actor_High_Elves_Mtd3	wh2_main_vo_actor_High_Elves_Mtd4											
wh2_main_vo_actor_High_Elves_Noble	wh2_main_vo_actor_High_Elves_Noble1	wh2_main_vo_actor_High_Elves_Noble2													
wh2_main_vo_actor_High_Elves_Prince	wh2_main_vo_actor_High_Elves_Prince1	wh2_main_vo_actor_High_Elves_Prince2													
wh2_main_vo_actor_High_Elves_Princess	wh2_main_vo_actor_High_Elves_Princess1	wh2_main_vo_actor_High_Elves_Princess2													
wh2_main_vo_actor_High_Elves_Teclis	wh2_main_vo_actor_High_Elves_Teclis														
wh2_main_vo_actor_High_Elves_Tyrion	wh2_main_vo_actor_High_Elves_Tyrion														
wh2_main_vo_actor_Lizardmen_Chamelion_Skink_Chief	wh2_main_vo_actor_Lizardmen_Chamelion_Skink_Chief1	wh2_main_vo_actor_Lizardmen_Chamelion_Skink_Chief2													
wh2_main_vo_actor_Lizardmen_Kroq_Gar_Saurus	wh2_main_vo_actor_Lizardmen_Kroq_Gar_Saurus														
wh2_main_vo_actor_Lizardmen_Lord_Mazdamundi	wh2_main_vo_actor_Lizardmen_Lord_Mazdamundi														
wh2_main_vo_actor_Lizardmen_Saurus_Old_Blood_Lord	wh2_main_vo_actor_Lizardmen_Saurus_Old_Blood_Lord1	wh2_main_vo_actor_Lizardmen_Saurus_Old_Blood_Lord2													
wh2_main_vo_actor_Lizardmen_Saurus_Scar_Veteran	wh2_main_vo_actor_Lizardmen_Saurus_Scar_Veteran1	wh2_main_vo_actor_Lizardmen_Saurus_Scar_Veteran2													
wh2_main_vo_actor_Lizardmen_Saurus_Unit	wh2_main_vo_actor_Lizardmen_Saurus_Unit1	wh2_main_vo_actor_Lizardmen_Saurus_Unit2	wh2_main_vo_actor_Lizardmen_Saurus_Unit3	wh2_main_vo_actor_Lizardmen_Saurus_Unit4	wh2_main_vo_actor_Lizardmen_Saurus_Unit5	wh2_main_vo_actor_Lizardmen_Saurus_Unit6									
wh2_main_vo_actor_Lizardmen_Skink_Priest	wh2_main_vo_actor_Lizardmen_Skink_Priest1	wh2_main_vo_actor_Lizardmen_Skink_Priest2													
wh2_main_vo_actor_Lizardmen_Skink_Unit	wh2_main_vo_actor_Lizardmen_Skink_Unit1	wh2_main_vo_actor_Lizardmen_Skink_Unit2	wh2_main_vo_actor_Lizardmen_Skink_Unit3	wh2_main_vo_actor_Lizardmen_Skink_Unit4	wh2_main_vo_actor_Lizardmen_Skink_Unit5	wh2_main_vo_actor_Lizardmen_Skink_Unit6									
wh2_main_vo_actor_Lizardmen_Slann_Mage_Priest	wh2_main_vo_actor_Lizardmen_Slann_Mage_Priest1	wh2_main_vo_actor_Lizardmen_Slann_Mage_Priest2													
