battle_entity_effects_junctions_tables
4
unknown0	unknown1	unknown2	unknown3	unknown4	unknown5	unknown6	unknown7	unknown8	unknown9	unknown10	unknown11
	artillery_effects	unit_artillery_combat	unit_artillery_running	unit_artillery_walking	entity_artillery_footstep	wh_dlc02_arrow_impact_blood_medium	wh_dlc02_arrow_impact_blood_medium	wh_dlc02_blood_dismember_stump_large	wh_dlc02_blood_explosion_medium	wh_dlc02_blood_dismember_stump_large_onground	wh_dlc02_blood_explosion_medium_onground
unit_cavalry_impact	cavalry_effects	unit_cavalry_combat	unit_cavalry_running	unit_cavalry_walking	entity_cavalry_footstep	wh_dlc02_arrow_impact_blood_medium	wh_dlc02_arrow_impact_blood_medium	wh_dlc02_blood_dismember_stump_large	wh_dlc02_blood_explosion_medium	wh_dlc02_blood_dismember_stump_large_onground	wh_dlc02_blood_explosion_medium_onground
	ethereal_effects					wh_dlc02_arrow_impact_blood_medium	wh_dlc02_arrow_impact_blood_medium	wh_dlc02_blood_dismember_stump_large	wh_dlc02_blood_explosion_medium	wh_dlc02_blood_dismember_stump_large_onground	wh_dlc02_blood_explosion_medium_onground
unit_giant_impact	giant_effects	unit_giant_combat	unit_giant_running	unit_giant_walking	entity_giant_footstep	wh_dlc02_arrow_impact_blood_medium	wh_dlc02_arrow_impact_blood_medium	wh_dlc02_blood_dismember_stump_large	wh_dlc02_blood_explosion_medium	wh_dlc02_blood_dismember_stump_large_onground	wh_dlc02_blood_explosion_medium_onground
unit_infantry_impact	infantry_effects	unit_infantry_combat	unit_infantry_running	unit_infantry_walking	entity_infantry_footstep	wh_dlc02_arrow_impact_blood_medium	wh_dlc02_arrow_impact_blood_medium	wh_dlc02_blood_dismember_stump_large	wh_dlc02_blood_explosion_medium	wh_dlc02_blood_dismember_stump_large_onground	wh_dlc02_blood_explosion_medium_onground
unit_infantry_impact	infantry_effects_noblood	unit_infantry_combat	unit_infantry_running	unit_infantry_walking	entity_infantry_footstep						
unit_infantry_light_imapct	infantry_light_effects	unit_infantry_combat	unit_infantry_running	unit_infantry_walking	entity_infantry_footstep	wh_dlc02_arrow_impact_blood_medium	wh_dlc02_arrow_impact_blood_medium	wh_dlc02_blood_dismember_stump_large	wh_dlc02_blood_explosion_medium	wh_dlc02_blood_dismember_stump_large_onground	wh_dlc02_blood_explosion_medium_onground
unit_monstrous_infantry_impact	monstrous_infantry_effects	unit_war_beast_combat	unit_war_beast_running	unit_war_beast_walking	entity_war_beast_footstep	wh_dlc02_arrow_impact_blood_medium	wh_dlc02_arrow_impact_blood_medium	wh_dlc02_blood_dismember_stump_large	wh_dlc02_blood_explosion_medium	wh_dlc02_blood_dismember_stump_large_onground	wh_dlc02_blood_explosion_medium_onground
wh_dlc05_treeman_entity	treeman_effects	wh_dlc05_treeman_entity	wh_dlc05_treeman_entity	wh_dlc05_treeman_entity	wh_dlc05_treeman_entity	wh_dlc02_arrow_impact_blood_medium	wh_dlc02_arrow_impact_blood_medium	wh_dlc02_blood_dismember_stump_large	wh_dlc02_blood_explosion_medium	wh_dlc02_blood_dismember_stump_large_onground	wh_dlc02_blood_explosion_medium_onground
unit_war_beast_impact	war_beast_effects	unit_war_beast_combat	unit_war_beast_running	unit_war_beast_walking	entity_war_beast_footstep	wh_dlc02_arrow_impact_blood_medium	wh_dlc02_arrow_impact_blood_medium	wh_dlc02_blood_dismember_stump_large	wh_dlc02_blood_explosion_medium	wh_dlc02_blood_dismember_stump_large_onground	wh_dlc02_blood_explosion_medium_onground
