battle_climate_weather_descriptions_tables
1
key	climate_type	season	weather_type	probability	heat_fatigue	cold_fatigue	spotting_scalar
wh_brt_chs_autumn	brt_chs	season_autumn	dry	100	0	0	1
wh_brt_chs_spring	brt_chs	season_spring	dry	100	0	0	1
wh_brt_chs_summer	brt_chs	season_summer	dry	100	0	0	1
wh_brt_chs_winter	brt_chs	season_winter	dry	100	0	0	1
wh_brt_moorlands_autumn	brt_moorlands	season_autumn	dry	100	0	0	1
wh_brt_moorlands_spring	brt_moorlands	season_spring	dry	100	0	0	1
wh_brt_moorlands_summer	brt_moorlands	season_summer	dry	100	0	0	1
wh_brt_moorlands_winter	brt_moorlands	season_winter	dry	100	0	0	1
wh_brt_vmp_autumn	brt_vmp	season_autumn	dry	100	0	0	1
wh_brt_vmp_spring	brt_vmp	season_spring	dry	100	0	0	1
wh_brt_vmp_summer	brt_vmp	season_summer	dry	100	0	0	1
wh_brt_vmp_winter	brt_vmp	season_winter	dry	100	0	0	1
wh_bst_paths_autumn	bst_paths	season_autumn	dry	100	0	0	1
wh_bst_paths_spring	bst_paths	season_spring	dry	100	0	0	1
wh_bst_paths_summer	bst_paths	season_summer	dry	100	0	0	1
wh_bst_paths_winter	bst_paths	season_winter	dry	100	0	0	1
wh_brt_autumn	bst	season_autumn	dry	100	0	0	1
wh_brt_spring	bst	season_spring	dry	100	0	0	1
wh_brt_summer	bst	season_summer	dry	100	0	0	1
wh_brt_winter	bst	season_winter	dry	100	0	0	1
wh_chs_wastes_autumn	chs_wastes	season_autumn	dry	100	0	0	1
wh_chs_wastes_spring	chs_wastes	season_spring	dry	100	0	0	1
wh_chs_wastes_summer	chs_wastes	season_summer	dry	100	0	0	1
wh_chs_wastes_winter	chs_wastes	season_winter	dry	100	0	0	1
def_bleak_autumn	def_bleak	season_autumn	dry	100	0	0	1
def_bleak_spring	def_bleak	season_spring	dry	100	0	0	1
def_bleak_summer	def_bleak	season_summer	dry	100	0	0	1
def_bleak_winter	def_bleak	season_winter	dry	100	0	0	1
def_desert_autumn	def_desert	season_autumn	dry	100	0	0	1
def_desert_spring	def_desert	season_spring	dry	100	0	0	1
def_desert_summer	def_desert	season_summer	dry	100	0	0	1
def_desert_winter	def_desert	season_winter	dry	100	0	0	1
def_petrified_autumn	def_petrified	season_autumn	dry	100	0	0	1
def_petrified_spring	def_petrified	season_spring	dry	100	0	0	1
def_petrified_summer	def_petrified	season_summer	dry	100	0	0	1
def_petrified_winter	def_petrified	season_winter	dry	100	0	0	1
wh_default_autumn	default	season_autumn	dry	100	0	0	1
wh_default_spring	default	season_spring	dry	100	0	0	1
wh_default_summer	default	season_summer	dry	100	0	0	1
wh_default_winter	default	season_winter	dry	100	0	0	1
wh_def_autumn	def	season_autumn	dry	100	0	0	1
wh_def_spring	def	season_spring	dry	100	0	0	1
wh_def_summer	def	season_summer	dry	100	0	0	1
wh_def_winter	def	season_winter	dry	100	0	0	1
wh_dwf_subterranean_autumn	dwf_subterranean	season_autumn	dry	100	0	0	1
wh_dwf_subterranean_spring	dwf_subterranean	season_spring	dry	100	0	0	1
wh_dwf_subterranean_summer	dwf_subterranean	season_summer	dry	100	0	0	1
wh_dwf_subterranean_winter	dwf_subterranean	season_winter	dry	100	0	0	1
wh_emp_chs_autumn	emp_chs	season_autumn	dry	100	0	0	1
wh_emp_chs_spring	emp_chs	season_spring	dry	100	0	0	1
wh_emp_chs_summer	emp_chs	season_summer	dry	100	0	0	1
wh_emp_chs_winter	emp_chs	season_winter	dry	100	0	0	1
wh_emp_highlands_autumn	emp_highlands	season_autumn	dry	100	0	0	1
wh_emp_highlands_spring	emp_highlands	season_spring	dry	100	0	0	1
wh_emp_highlands_summer	emp_highlands	season_summer	dry	100	0	0	1
wh_emp_highlands_winter	emp_highlands	season_winter	dry	100	0	0	1
wh_emp_lowlands_autumn	emp_lowlands	season_autumn	dry	100	0	0	1
wh_emp_lowlands_spring	emp_lowlands	season_spring	dry	100	0	0	1
wh_emp_lowlands_summer	emp_lowlands	season_summer	dry	100	0	0	1
wh_emp_lowlands_winter	emp_lowlands	season_winter	dry	100	0	0	1
wh_emp_vmp_autumn	emp_vmp	season_autumn	dry	100	0	0	1
wh_emp_vmp_spring	emp_vmp	season_spring	dry	100	0	0	1
wh_emp_vmp_summer	emp_vmp	season_summer	dry	100	0	0	1
wh_emp_vmp_winter	emp_vmp	season_winter	dry	100	0	0	1
wh_grn_badlands_autumn	grn_badlands	season_autumn	dry	100	0	0	1
wh_grn_badlands_spring	grn_badlands	season_spring	dry	100	0	0	1
wh_grn_badlands_summer	grn_badlands	season_summer	dry	100	0	0	1
wh_grn_badlands_winter	grn_badlands	season_winter	dry	100	0	0	1
wh_grn_chs_autumn	grn_chs	season_autumn	dry	100	0	0	1
wh_grn_chs_spring	grn_chs	season_spring	dry	100	0	0	1
wh_grn_chs_summer	grn_chs	season_summer	dry	100	0	0	1
wh_grn_chs_winter	grn_chs	season_winter	dry	100	0	0	1
wh_hef_autumn	hef	season_autumn	dry	100	0	0	1
wh_hef_spring	hef	season_spring	dry	100	0	0	1
wh_hef_summer	hef	season_summer	dry	100	0	0	1
wh_hef_winter	hef	season_winter	dry	100	0	0	1
wh_iod_autumn	iod	season_autumn	dry	100	0	0	1
wh_iod_spring	iod	season_spring	dry	100	0	0	1
wh_iod_summer	iod	season_summer	dry	100	0	0	1
wh_iod_winter	iod	season_winter	dry	100	0	0	1
wh_lzd_autumn	lzd	season_autumn	dry	100	0	0	1
wh_lzd_spring	lzd	season_spring	dry	100	0	0	1
wh_lzd_summer	lzd	season_summer	dry	100	0	0	1
wh_lzd_winter	lzd	season_winter	dry	100	0	0	1
wh_mtn_pass_snow_autumn	mtn_pass_snow	season_autumn	dry	100	0	0	1
wh_mtn_pass_snow_spring	mtn_pass_snow	season_spring	dry	100	0	0	1
wh_mtn_pass_snow_summer	mtn_pass_snow	season_summer	dry	100	0	0	1
wh_mtn_pass_snow_winter	mtn_pass_snow	season_winter	dry	100	0	0	1
wh_mtn_pass_autumn	mtn_pass	season_autumn	dry	100	0	0	1
wh_mtn_pass_spring	mtn_pass	season_spring	dry	100	0	0	1
