cai_personalities_budget_allocations_tables
2
agents_funding_cap	agents_funds_allocation_percentage	agents_percentage_of_pool_to_save_on_fail	agents_turns_of_inactivity_until_cap	army_funding_cap	army_funds_allocation_percentage	army_percentage_of_pool_to_save_on_fail	army_turns_of_inactivity_until_cap	construction_funding_cap	construction_funds_allocation_percentage	construction_percentage_of_pool_to_save_on_fail	construction_turns_of_inactivity_until_cap	diplomacy_funding_cap	diplomacy_funds_allocation_percentage	diplomacy_percentage_of_pool_to_save_on_fail	diplomacy_turns_of_inactivity_until_cap	key	navy_funding_cap	navy_funds_allocation_percentage	navy_percentage_of_pool_to_save_on_fail	navy_turns_of_inactivity_until_cap	minimum_settable_tax_level	maximum_settable_tax_level	technology_funds_allocation_percentage	technology_turns_of_inactivity_until_cap	technology_funding_cap	technology_percentage_of_pool_to_save_on_fail
1000	5	0	4	6000	65	50	6	0	15	100	4	1000	0	100	4	budget_allocation_horde_tech	0	0	50	6	tax_low	tax_high	15	4	30000	100
1000	10	0	4	6000	25	50	6	0	45	100	4	1000	15	100	4	budget_allocation_military_light	0	0	50	6	tax_low	tax_high	1	-1	1	0
1000	10	0	4	6000	20	50	6	0	40	100	4	1000	15	100	4	budget_allocation_military_light_naval	3000	5	50	6	tax_low	tax_high	1	-1	1	0
1000	15	0	4	6000	25	50	6	0	35	100	4	5000	20	100	4	budget_allocation_military_light_schemer	0	0	50	6	tax_low	tax_high	1	-1	1	0
1000	10	0	4	6000	35	50	6	0	40	100	4	1000	10	100	4	budget_allocation_military_medium	0	0	50	6	tax_low	tax_high	1	-1	1	0
1000	10	0	4	6000	30	50	6	0	30	100	4	1000	10	100	4	budget_allocation_military_medium_naval	3000	5	50	6	tax_low	tax_high	1	-1	1	0
1000	15	0	4	6000	30	50	6	0	35	100	4	5000	20	100	4	budget_allocation_military_medium_schemer	0	0	50	6	tax_low	tax_high	1	-1	1	0
1000	10	0	4	6000	45	50	6	0	30	100	4	1000	10	100	4	budget_allocation_military_strong	0	0	50	6	tax_low	tax_high	1	-1	1	0
1000	10	0	4	6000	35	50	6	0	25	100	4	1000	5	100	4	budget_allocation_military_strong_naval	3000	5	50	6	tax_low	tax_high	1	-1	1	0
1000	15	0	4	6000	40	50	6	0	25	100	4	5000	20	100	4	budget_allocation_military_strong_schemer	0	0	50	6	tax_low	tax_high	1	-1	1	0
1000	10	0	4	6000	15	50	6	0	50	100	4	1000	20	100	4	budget_allocation_military_very_light	0	0	50	6	tax_low	tax_high	1	-1	1	0
1000	10	0	4	6000	10	50	6	0	45	100	4	1000	20	100	4	budget_allocation_military_very_light_naval	3000	5	50	6	tax_low	tax_high	1	-1	1	0
1000	10	0	4	6000	55	50	6	0	25	100	4	1000	5	100	4	budget_allocation_military_very_strong	0	0	50	6	tax_low	tax_high	1	-1	1	0
1000	10	0	4	6000	40	50	6	0	20	100	4	1000	5	100	4	budget_allocation_military_very_strong_naval	3000	5	50	6	tax_low	tax_high	1	-1	1	0
1000	10	0	4	6000	35	50	6	0	35	100	4	1000	10	100	4	default	0	0	50	6	tax_low	tax_high	1	-1	1	0
