warscape_animated_tables
2
key	texture_filename_base	category
brt_trebuchet	warmachines\tex	animation
brt_trebuchet_destruct	warmachines\tex	animation
bst_razorgor_chariot	warmachines\tex	animation
bst_razorgor_chariot_destruction	warmachines\tex	animation
campaign_building_placeholder1_anim	RigidModels/CampaignBuildings/Textures	campaign_building
campaign_building_siege	RigidModels\CampaignBuildings\Textures	campaign_building
campaign_ship	RigidModels/CampaignPieces/Textures	animation
campaign_ship2	RigidModels/CampaignPieces/Textures	animation
campaign_sho_castle_siege_lvl1	RigidModels\CampaignBuildings\Textures	campaign_building
campaign_sho_castle_siege_lvl2	RigidModels\CampaignBuildings\Textures	campaign_building
campaign_sho_castle_siege_lvl2:sho_custom_kyoto	RigidModels\CampaignBuildings\Textures	campaign_building
campaign_sho_castle_siege_lvl3	RigidModels\CampaignBuildings\Textures	campaign_building
campaign_sho_castle_siege_lvl3:sho_custom_kyoto	RigidModels\CampaignBuildings\Textures	campaign_building
campaign_sho_castle_siege_lvl4	RigidModels\CampaignBuildings\Textures	campaign_building
campaign_sho_castle_siege_lvl4:sho_custom_kyoto	RigidModels\CampaignBuildings\Textures	campaign_building
campaign_sho_castle_siege_lvl5	RigidModels\CampaignBuildings\Textures	campaign_building
campaign_sho_castle_siege_lvl5:sho_custom_kyoto	RigidModels\CampaignBuildings\Textures	campaign_building
campaign_sho_region_specialty_gold_mining_3_mining_complex_anim	RigidModels/CampaignBuildings/Textures	campaign_building
campaign_sho_region_specialty_horses_1_pastures	RigidModels\CampaignBuildings\Textures	campaign_building
campaign_sho_region_specialty_horses_1_pastures_anim	RigidModels/CampaignBuildings/Textures	campaign_building
campaign_sho_region_specialty_horses_2_breeders	RigidModels\CampaignBuildings\Textures	campaign_building
campaign_sho_region_specialty_horses_2_breeders_anim	RigidModels/CampaignBuildings/Textures	campaign_building
campaign_sho_region_specialty_horses_3_warhorse	RigidModels\CampaignBuildings\Textures	campaign_building
campaign_sho_region_specialty_horses_3_warhorse_breeders_anim	RigidModels/CampaignBuildings/Textures	campaign_building
campaign_sho_region_specialty_iron_mining_3_mining_complex_anim	RigidModels/CampaignBuildings/Textures	campaign_building
campaign_sho_region_specialty_stone_1_stonemason	RigidModels/CampaignBuildings/Textures	campaign_building
campaign_sho_region_specialty_stone_1_stonemason_anim	RigidModels/CampaignBuildings/Textures	campaign_building
campaign_sho_region_specialty_stone_2_quarry	RigidModels/CampaignBuildings/Textures	campaign_building
campaign_sho_region_specialty_stone_2_quarry_anim	RigidModels/CampaignBuildings/Textures	campaign_building
campaign_sho_region_specialty_stone_3_stoneworls	RigidModels/CampaignBuildings/Textures	campaign_building
campaign_sho_region_specialty_stone_3_stoneworls_anim	RigidModels/CampaignBuildings/Textures	campaign_building
campaign_trader_trade_cart	RigidModels\CampaignTradeRoutes\Textures	campaign_animation
campaign_trader_trade_ship	RigidModels\campaign\textures	campaign_animation
campaign_trader_villager	RigidModels\CampaignTradeRoutes\Textures	campaign_animation
chariot_celtic	rigidmodels/buildings/textures	animation
chariot_celtic_destruction_anim	rigidmodels/buildings/textures	animation
chariot_egyptian	rigidmodels/buildings/textures	animation
chariot_egyptian_destruction_anim	rigidmodels/buildings/textures	animation
chariot_generic	rigidmodels/buildings/textures	animation
chariot_generic_destruction_anim	rigidmodels/buildings/textures	animation
chariot_roman	rigidmodels/buildings/textures	animation
