cai_personality_group_overrides_tables
2
unknown0	unknown1	unknown2	unknown3	unknown4	unknown5	unknown6
-2	att_fact_blue	wh_group_vampires_default_hard	main_warhammer			
-2	wh2_main_brt_knights_of_origo	wh2_group_bretonnia_default_hard	main_warhammer			
-2	wh2_main_brt_knights_of_origo	wh2_group_bretonnia_default_hard	wh2_main_great_vortex			
-3	wh2_main_brt_knights_of_origo	wh2_group_bretonnia_default_hard	main_warhammer			
-3	wh2_main_brt_knights_of_origo	wh2_group_bretonnia_default_hard	wh2_main_great_vortex			
1	wh2_main_brt_knights_of_origo	wh2_group_bretonnia_default_easy	main_warhammer			
1	wh2_main_brt_knights_of_origo	wh2_group_bretonnia_default_easy	wh2_main_great_vortex			
-2	wh2_main_brt_knights_of_the_flame	wh2_group_bretonnia_default_hard	main_warhammer			
-2	wh2_main_brt_knights_of_the_flame	wh2_group_bretonnia_default_hard	wh2_main_great_vortex			
-3	wh2_main_brt_knights_of_the_flame	wh2_group_bretonnia_default_hard	main_warhammer			
-3	wh2_main_brt_knights_of_the_flame	wh2_group_bretonnia_default_hard	wh2_main_great_vortex			
1	wh2_main_brt_knights_of_the_flame	wh2_group_bretonnia_default_easy	main_warhammer			
1	wh2_main_brt_knights_of_the_flame	wh2_group_bretonnia_default_easy	wh2_main_great_vortex			
-2	wh2_main_brt_thegans_crusaders	wh2_group_bretonnia_default_hard	main_warhammer			
-2	wh2_main_brt_thegans_crusaders	wh2_group_bretonnia_default_hard	wh2_main_great_vortex			
-3	wh2_main_brt_thegans_crusaders	wh2_group_bretonnia_default_hard	main_warhammer			
-3	wh2_main_brt_thegans_crusaders	wh2_group_bretonnia_default_hard	wh2_main_great_vortex			
1	wh2_main_brt_thegans_crusaders	wh2_group_bretonnia_default_easy	main_warhammer			
1	wh2_main_brt_thegans_crusaders	wh2_group_bretonnia_default_easy	wh2_main_great_vortex			
-2	wh2_main_bst_blooded_axe	wh2_group_beastmen_default_hard	main_warhammer			
-2	wh2_main_bst_blooded_axe	wh2_group_beastmen_default_hard	wh2_main_great_vortex			
-3	wh2_main_bst_blooded_axe	wh2_group_beastmen_default_hard	main_warhammer			
-3	wh2_main_bst_blooded_axe	wh2_group_beastmen_default_hard	wh2_main_great_vortex			
1	wh2_main_bst_blooded_axe	wh2_group_beastmen_default_easy	main_warhammer			
1	wh2_main_bst_blooded_axe	wh2_group_beastmen_default_easy	wh2_main_great_vortex			
-2	wh2_main_bst_manblight	wh2_group_beastmen_default_hard	main_warhammer			
-2	wh2_main_bst_manblight	wh2_group_beastmen_default_hard	wh2_main_great_vortex			
-3	wh2_main_bst_manblight	wh2_group_beastmen_default_hard	main_warhammer			
-3	wh2_main_bst_manblight	wh2_group_beastmen_default_hard	wh2_main_great_vortex			
1	wh2_main_bst_manblight	wh2_group_beastmen_default_easy	main_warhammer			
1	wh2_main_bst_manblight	wh2_group_beastmen_default_easy	wh2_main_great_vortex			
-2	wh2_main_bst_ripper_horn	wh2_group_beastmen_default_hard	main_warhammer			
-2	wh2_main_bst_ripper_horn	wh2_group_beastmen_default_hard	wh2_main_great_vortex			
-3	wh2_main_bst_ripper_horn	wh2_group_beastmen_default_hard	main_warhammer			
-3	wh2_main_bst_ripper_horn	wh2_group_beastmen_default_hard	wh2_main_great_vortex			
1	wh2_main_bst_ripper_horn	wh2_group_beastmen_default_easy	main_warhammer			
1	wh2_main_bst_ripper_horn	wh2_group_beastmen_default_easy	wh2_main_great_vortex			
-2	wh2_main_bst_shadowgor	wh2_group_beastmen_default_hard	main_warhammer			
-2	wh2_main_bst_shadowgor	wh2_group_beastmen_default_hard	wh2_main_great_vortex			
-3	wh2_main_bst_shadowgor	wh2_group_beastmen_default_hard	main_warhammer			
-3	wh2_main_bst_shadowgor	wh2_group_beastmen_default_hard	wh2_main_great_vortex			
1	wh2_main_bst_shadowgor	wh2_group_beastmen_default_easy	main_warhammer			
1	wh2_main_bst_shadowgor	wh2_group_beastmen_default_easy	wh2_main_great_vortex			
-2	wh2_main_bst_skrinderkin	wh2_group_beastmen_default_hard	wh2_main_great_vortex			
-3	wh2_main_bst_skrinderkin	wh2_group_beastmen_default_hard	wh2_main_great_vortex			
1	wh2_main_bst_skrinderkin	wh2_group_beastmen_default_easy	wh2_main_great_vortex			
-2	wh2_main_bst_stone_horn	wh2_group_beastmen_default_hard	wh2_main_great_vortex			
-3	wh2_main_bst_stone_horn	wh2_group_beastmen_default_hard	wh2_main_great_vortex			
1	wh2_main_bst_stone_horn	wh2_group_beastmen_default_easy	wh2_main_great_vortex			
-2	wh2_main_def_bleak_holds	wh2_group_darkelf_passive_hard	main_warhammer			
-2	wh2_main_def_bleak_holds	wh2_group_darkelf_passive_hard	wh2_main_great_vortex			
-3	wh2_main_def_bleak_holds	wh2_group_darkelf_passive_hard	main_warhammer			
-3	wh2_main_def_bleak_holds	wh2_group_darkelf_passive_hard	wh2_main_great_vortex			
1	wh2_main_def_bleak_holds	wh2_group_darkelf_passive_easy	main_warhammer			
1	wh2_main_def_bleak_holds	wh2_group_darkelf_passive_easy	wh2_main_great_vortex			
-2	wh2_main_def_blood_hall_coven	wh2_group_darkelf_passive_hard	wh2_main_great_vortex			
-3	wh2_main_def_blood_hall_coven	wh2_group_darkelf_passive_hard	wh2_main_great_vortex			
1	wh2_main_def_blood_hall_coven	wh2_group_darkelf_passive_easy	wh2_main_great_vortex			
-2	wh2_main_def_clar_karond	wh2_group_darkelf_default_hard	main_warhammer			
-2	wh2_main_def_clar_karond	wh2_group_darkelf_default_hard_against_darkelves	main_warhammer		wh2_main_sc_def_dark_elves	
-2	wh2_main_def_clar_karond	wh2_group_darkelf_default_hard_easier_for_darkelves	main_warhammer		wh2_main_sc_hef_high_elves	
-2	wh2_main_def_clar_karond	wh2_group_darkelf_default_hard_easier_for_darkelves	main_warhammer		wh2_main_sc_lzd_lizardmen	
-2	wh2_main_def_clar_karond	wh2_group_darkelf_default_hard_against_darkelves	main_warhammer		wh2_main_sc_skv_skaven	
-2	wh2_main_def_clar_karond	wh2_group_darkelf_default_hard	wh2_main_great_vortex			
-2	wh2_main_def_clar_karond	wh2_group_darkelf_default_hard_against_darkelves	wh2_main_great_vortex		wh2_main_sc_def_dark_elves	
-2	wh2_main_def_clar_karond	wh2_group_darkelf_default_hard_easier_for_darkelves	wh2_main_great_vortex		wh2_main_sc_hef_high_elves	
-2	wh2_main_def_clar_karond	wh2_group_darkelf_default_hard_easier_for_darkelves	wh2_main_great_vortex		wh2_main_sc_lzd_lizardmen	
-2	wh2_main_def_clar_karond	wh2_group_darkelf_default_hard_against_darkelves	wh2_main_great_vortex		wh2_main_sc_skv_skaven	
-3	wh2_main_def_clar_karond	wh2_group_darkelf_default_hard	main_warhammer			
-3	wh2_main_def_clar_karond	wh2_group_darkelf_default_hard_against_darkelves	main_warhammer		wh2_main_sc_def_dark_elves	
-3	wh2_main_def_clar_karond	wh2_group_darkelf_default_hard_easier_for_darkelves	main_warhammer		wh2_main_sc_hef_high_elves	
-3	wh2_main_def_clar_karond	wh2_group_darkelf_default_hard_easier_for_darkelves	main_warhammer		wh2_main_sc_lzd_lizardmen	
