battle_context_unit_attribute_junctions_tables
0
key	battle_context	unit_attribute
fighting_culture_empire_and_bretonnia	wh2_main_effect_cause_fear_versus_brt	causes_fear
fighting_culture_beastmen	wh2_main_effect_cause_fear_versus_bst	causes_fear
fighting_culture_chaos	wh2_main_effect_cause_fear_versus_chs	causes_fear
fighting_culture_darkelf	wh2_main_effect_cause_fear_versus_def	causes_fear
fighting_culture_dwarfs	wh2_main_effect_cause_fear_versus_dwf	causes_fear
fighting_culture_empire_and_bretonnia	wh2_main_effect_cause_fear_versus_emp	causes_fear
fighting_culture_greenskins	wh2_main_effect_cause_fear_versus_grn	causes_fear
fighting_culture_highelf	wh2_main_effect_cause_fear_versus_hef	causes_fear
fighting_culture_empire_and_bretonnia	wh2_main_effect_cause_fear_versus_human	causes_fear
fighting_culture_lizardmen	wh2_main_effect_cause_fear_versus_lzd	causes_fear
fighting_culture_rogue_armies	wh2_main_effect_cause_fear_versus_rogue	causes_fear
fighting_culture_skaven	wh2_main_effect_cause_fear_versus_skv	causes_fear
fighting_culture_vampire_counts	wh2_main_effect_cause_fear_versus_vmp	causes_fear
fighting_culture_wood_elves	wh2_main_effect_cause_fear_versus_wef	causes_fear
fighting_culture_empire_and_bretonnia	wh2_main_effect_cause_terror_versus_brt	causes_terror
fighting_culture_beastmen	wh2_main_effect_cause_terror_versus_bst	causes_terror
fighting_culture_chaos	wh2_main_effect_cause_terror_versus_chs	causes_terror
fighting_culture_darkelf	wh2_main_effect_cause_terror_versus_def	causes_terror
fighting_culture_dwarfs	wh2_main_effect_cause_terror_versus_dwf	causes_terror
fighting_culture_empire_and_bretonnia	wh2_main_effect_cause_terror_versus_emp	causes_terror
fighting_culture_greenskins	wh2_main_effect_cause_terror_versus_grn	causes_terror
fighting_culture_highelf	wh2_main_effect_cause_terror_versus_hef	causes_terror
fighting_culture_empire_and_bretonnia	wh2_main_effect_cause_terror_versus_human	causes_terror
fighting_culture_lizardmen	wh2_main_effect_cause_terror_versus_lzd	causes_terror
fighting_culture_rogue_armies	wh2_main_effect_cause_terror_versus_rogue	causes_terror
fighting_culture_skaven	wh2_main_effect_cause_terror_versus_skv	causes_terror
fighting_culture_vampire_counts	wh2_main_effect_cause_terror_versus_vmp	causes_terror
fighting_culture_wood_elves	wh2_main_effect_cause_terror_versus_wef	causes_terror
