battles_tables
11
key	type	is_naval	specification	screenshot_path	map_path	team_size_1	team_size_2	release	multiplayer	singleplayer	intro_movie	year	defender_funds_ratio	has_key_buildings	matchmaking	playable_area_width	playable_area_height	is_large_settlement	has_15m_walls	is_underground	catchment_name	title_upgrade	battle_environment	battle_environment_audio
def_bleak_forest_infield_a_1	classic	False	terrain/battles/def_bleak_forest_infield_a/			4	4	False	True	True		0	0	False	False	0	0	False	False	False	catchment_01		weather/battle/wh_def_bleak_01.environment	
def_bleak_forest_infield_a_1_ambush	ambush	False	terrain/battles/def_bleak_forest_infield_a/			1	1	False	True	True		0	0	False	False	0	0	False	False	False	catchment_01		weather/battle/wh_def_bleak_02.environment	
def_bleak_forest_infield_a_2	classic	False	terrain/battles/def_bleak_forest_infield_a/	UI/Frontend UI/battle_map_images/cairnwoods.png		4	4	True	True	True		0	0	False	True	0	0	False	False	False	catchment_02		weather/battle/wh_def_bleak_03.environment	dark_elves_hills
def_bleak_forest_infield_a_3	classic	False	terrain/battles/def_bleak_forest_infield_a/			4	4	False	True	True		0	0	False	False	0	0	False	False	False	catchment_03		weather/battle/wh_def_bleak_02.environment	
def_bleak_mountain_pass_infield_a_1_ambush	ambush	False	terrain/battles/def_bleak_mountain_pass_infield_a/			1	1	False	True	True		0	0	False	False	0	0	False	False	False	catchment_01		weather/battle/wh_def_bleak_01.environment	
def_bleak_mountain_pass_infield_a_2	classic	False	terrain/battles/def_bleak_mountain_pass_infield_a/			4	4	False	True	True		0	0	False	False	0	0	False	False	False	catchment_02		weather/battle/wh_def_bleak_01.environment	
def_bleak_mountain_pass_infield_a_3_ambush	ambush	False	terrain/battles/def_bleak_mountain_pass_infield_a/			1	1	False	True	True		0	0	False	False	0	0	False	False	False	catchment_03		weather/battle/wh_def_bleak_02.environment	
def_bleak_mountain_pass_infield_a_4	classic	False	terrain/battles/def_bleak_mountain_pass_infield_a/			4	4	False	True	True		0	0	False	False	0	0	False	False	False	catchment_04		weather/battle/wh_def_bleak_03.environment	
def_bleak_plains_infield_a_1	classic	False	terrain/battles/def_bleak_plains_infield_a/			4	4	False	True	True		0	0	False	False	0	0	False	False	False	catchment_01		weather/battle/wh_def_bleak_01.environment	
def_bleak_plains_infield_a_2	classic	False	terrain/battles/def_bleak_plains_infield_a/			4	4	False	True	True		0	0	False	False	0	0	False	False	False	catchment_02		weather/battle/wh_def_bleak_02.environment	
def_bleak_plains_infield_a_2_ambush	ambush	False	terrain/battles/def_bleak_plains_infield_a/	UI/Frontend UI/battle_map_images/grey_guardians.png		1	1	True	True	True		0	0	False	False	0	0	False	False	False	catchment_02		weather/battle/wh_def_bleak_03.environment	dark_elves_hills
def_bleak_plains_infield_a_4	classic	False	terrain/battles/def_bleak_plains_infield_a/	UI/Frontend UI/battle_map_images/bleak_dale.png		4	4	True	True	True		0	0	False	True	0	0	False	False	False	catchment_04		weather/battle/wh_def_bleak_02.environment	dark_elves_hills
def_bleak_river_infield_a_1	classic	False	terrain/battles/def_bleak_river_infield_a/			4	4	False	True	True		0	0	False	False	0	0	False	False	False	catchment_01		weather/battle/wh_def_bleak_01.environment	
def_bleak_river_infield_a_2	classic	False	terrain/battles/def_bleak_river_infield_a/			4	4	False	True	True		0	0	False	False	0	0	False	False	False	catchment_02		weather/battle/wh_def_bleak_02.environment	
def_bleak_river_infield_a_3	classic	False	terrain/battles/def_bleak_river_infield_a/	UI/Frontend UI/battle_map_images/the_pitch_flow.png		4	4	True	True	True		0	0	False	True	0	0	False	False	False	catchment_03		weather/battle/wh_def_bleak_03.environment	dark_elves_hills
def_bleak_river_infield_a_4	classic	False	terrain/battles/def_bleak_river_infield_a/			4	4	False	True	True		0	0	False	False	0	0	False	False	False	catchment_04		weather/battle/wh_def_bleak_02.environment	
def_bleak_river_infield_a_5	classic	False	terrain/battles/def_bleak_river_infield_a/	UI/Frontend UI/battle_map_images/the_twisted_glade.png		4	4	True	True	True		0	0	False	True	0	0	False	False	False	catchment_05		weather/battle/wh_def_02.environment	dark_elves_hills
def_coast_infield_a_1	classic	False	terrain/battles/def_coast_infield_a/			4	4	False	True	True		0	0	False	False	0	0	False	False	False	catchment_01		weather/battle/wh_def_01.environment	
def_coast_infield_a_2	classic	False	terrain/battles/def_coast_infield_a/			4	4	False	True	True		0	0	False	False	0	0	False	False	False	catchment_02		weather/battle/wh_def_03.environment	
def_coast_infield_a_3	classic	False	terrain/battles/def_coast_infield_a/	UI/Frontend UI/battle_map_images/doom_glades.png		4	4	True	True	True		0	0	False	True	0	0	False	False	False	catchment_03		weather/battle/wh_def_04.environment	dark_elves_beach
