building_culture_variants_tables
4
building	culture	battlefield_building	artpiece	artpiece_animated	faction	disables	flavour	display_tooltip
wh2_main_brt_defence_norsca_1		wh_main_PLACEHOLDER	empire_garrison			False	wh_main_emp_garrison_1	True
wh2_main_brt_resource_animals_1		wh_main_PLACEHOLDER	empire_resource_animals			False	wh2_main_hef_resource_animals_1	True
wh2_main_brt_resource_animals_2		wh_main_PLACEHOLDER	empire_resource_animals			False	wh2_main_hef_resource_animals_2	True
wh2_main_brt_resource_animals_3		wh_main_PLACEHOLDER	empire_resource_animals			False	wh2_main_hef_resource_animals_3	True
wh2_main_brt_resource_dyes_1		wh_main_PLACEHOLDER	empire_cinnabar			False	wh_main_emp_resource_dyes_1	True
wh2_main_brt_resource_dyes_2		wh_main_PLACEHOLDER	empire_cinnabar			False	wh_main_emp_resource_dyes_2	True
wh2_main_brt_resource_dyes_3		wh_main_PLACEHOLDER	empire_cinnabar			False	wh_main_emp_resource_dyes_3	True
wh2_main_brt_resource_furs_1		wh_main_PLACEHOLDER	empire_wild_game			False	wh_main_emp_resource_furs_1	True
wh2_main_brt_resource_furs_2		wh_main_PLACEHOLDER	empire_wild_game			False	wh_main_emp_resource_furs_2	True
wh2_main_brt_resource_furs_3		wh_main_PLACEHOLDER	empire_wild_game			False	wh_main_emp_resource_furs_3	True
wh2_main_brt_resource_gemstones_1		wh_main_PLACEHOLDER	dwarf_gemstones			False	wh_main_dwf_resource_gems_1	True
wh2_main_brt_resource_gemstones_2		wh_main_PLACEHOLDER	dwarf_gemstones			False	wh_main_dwf_resource_gems_2	True
wh2_main_brt_resource_gemstones_3		wh_main_PLACEHOLDER	dwarf_gemstones			False	wh_main_dwf_resource_gems_3	True
wh2_main_brt_resource_gold_1		wh_main_PLACEHOLDER	empire_gold			False	wh_main_emp_resource_gold_1	True
wh2_main_brt_resource_gold_2		wh_main_PLACEHOLDER	empire_gold			False	wh_main_emp_resource_gold_2	True
wh2_main_brt_resource_gold_3		wh_main_PLACEHOLDER	empire_gold			False	wh_main_emp_resource_gold_3	True
wh2_main_brt_resource_iron_1		wh_main_PLACEHOLDER	empire_iron			False	wh_main_emp_resource_iron_1	True
wh2_main_brt_resource_iron_2		wh_main_PLACEHOLDER	empire_iron			False	wh_main_emp_resource_iron_2	True
wh2_main_brt_resource_iron_3		wh_main_PLACEHOLDER	empire_iron			False	wh_main_emp_resource_iron_3	True
