combat_potentials_adjustments_for_banners_junctions_tables
0
unknown0	unknown1	unknown2	unknown3	unknown4
0	wh_main_banner_magic_standard_banner_of_swiftness	basic_always_apply_if_possible	melee	0.1
0	wh_main_banner_magic_standard_banner_of_the_barrows	basic_always_apply_if_possible	melee	0.1
0	wh_main_banner_magic_standard_lichbone_pennant	basic_always_apply_if_possible	melee	0.1
0	wh_main_banner_magic_standard_morks_war_banner	basic_always_apply_if_possible	melee	0.1
0	wh_main_banner_magic_standard_rampagers_standard	basic_always_apply_if_possible	melee	0.1
0	wh_main_banner_magic_standard_rangers_standard	basic_always_apply_if_possible	melee	0.1
0	wh_main_banner_magic_standard_steel_standard	basic_always_apply_if_possible	melee	0.1
0	wh_main_banner_magic_standard_the_bad_moon_banner	basic_always_apply_if_possible	melee	0.05
0	wh_main_banner_magic_standard_wailing_banner	basic_always_apply_if_possible	melee	0.1
0	wh_main_banner_mark_of_chaos_mark_of_nurgle	basic_always_apply_if_possible	melee	0.1
0	wh_main_banner_mark_of_chaos_mark_of_tzeentch	basic_always_apply_if_possible	melee	0.1
0	wh_main_banner_rune_master_rune_of_battle	basic_always_apply_if_possible	melee	0.05
0	wh_main_banner_rune_master_rune_of_sanctuary	basic_always_apply_if_possible	melee	0.1
0	wh_main_banner_rune_master_rune_of_valaya	basic_always_apply_if_possible	melee	0.1
0	wh_main_banner_rune_strollaz_rune	basic_always_apply_if_possible	melee	0.1
0	wh_main_banner_magic_standard_standard_of_discipline	morale_apply_if_morale_affected	melee	0.1
0	wh_main_banner_magic_standard_the_bad_moon_banner	morale_apply_if_morale_affected	melee	0.05
0	wh_main_banner_magic_standard_war_banner	morale_apply_if_morale_affected	melee	0.1
0	wh_main_banner_mark_of_chaos_mark_of_slaanesh	morale_apply_if_morale_affected	melee	0.1
0	wh_main_banner_rune_master_rune_of_battle	morale_apply_if_morale_affected	melee	0.05
