cai_personality_diplomatic_events_tables
2
id	diplomatic_factor_group_active	diplomatic_factor_group_inactive
ALLY_REFUSED_TO_JOIN_WAR	diplomatic_factor_broken_treaties	
BATTLE_ALLY_SUPPORT_REFUSED	diplomatic_factor_war_atrocities	
BATTLE_ATTACK	diplomatic_factor_war_atrocities	
BATTLE_SUPPORT	diplomatic_factor_reinforcements	
CITY_BESIEGED	diplomatic_factor_war_atrocities	
CITY_LOOTED	diplomatic_factor_war_atrocities	
CITY_OCCUPIED	diplomatic_factor_war_atrocities	
CITY_RAZED	diplomatic_factor_war_atrocities	
CITY_SACKED	diplomatic_factor_war_atrocities	
CLIENT_STATE	diplomatic_factor_treaties	diplomatic_factor_past_treaties
CLIENT_STATE_BROKEN	diplomatic_factor_broken_treaties	
CULTURAL_DIFFERENCES	diplomatic_factor_cultural_differences	
CULTURAL_DIFFERENCES_FACTION	diplomatic_factor_cultural_differences_personality	
CULTURAL_DIFFERENCES_LEADER		
CULTURAL_SIMILARITIES	diplomatic_factor_cultural_similarities	
CULTURAL_SIMILARITIES_FACTION	diplomatic_factor_cultural_similarities_personality	
CULTURAL_SIMILARITIES_LEADER		
DEFENSIVE_ALLIANCE	diplomatic_factor_treaties	diplomatic_factor_past_treaties
DEFENSIVE_ALLIANCE_BROKEN	diplomatic_factor_broken_treaties	
DEFENSIVE_ALLIANCE_PAST	diplomatic_factor_past_treaties	
DILEMMA_BONUS_LARGE	diplomatic_factor_dilemma_events	
DILEMMA_BONUS_MEDIUM	diplomatic_factor_dilemma_events	
DILEMMA_BONUS_SMALL	diplomatic_factor_dilemma_events	
DILEMMA_BONUS_XLARGE	diplomatic_factor_dilemma_events	
DILEMMA_BONUS_XXLARGE	diplomatic_factor_dilemma_events	
DILEMMA_BONUS_XXXLARGE	diplomatic_factor_dilemma_events	
DILEMMA_PENALTY_LARGE	diplomatic_factor_dilemma_events	
DILEMMA_PENALTY_MEDIUM	diplomatic_factor_dilemma_events	
DILEMMA_PENALTY_SMALL	diplomatic_factor_dilemma_events	
DILEMMA_PENALTY_XLARGE	diplomatic_factor_dilemma_events	
DILEMMA_PENALTY_XXLARGE	diplomatic_factor_dilemma_events	
DILEMMA_PENALTY_XXXLARGE	diplomatic_factor_dilemma_events	
DIPLOMATIC_MARRIAGE		
DIVORCE		
EXPANSIONISM	diplomatic_factor_expansion	
FACTION_KILLED	diplomatic_factor_war_atrocities	
FACTION_LIBERATED	diplomatic_factor_liberation	
HOSTILE_AGENT_ACTION	diplomatic_factor_agent_actions	
HOSTILE_AGENT_ACTION_TOWARDS_ALLY	diplomatic_factor_agent_actions	
JOINED_CONFEDERATION	diplomatic_factor_confederation	
MILITARY_ACCESS	diplomatic_factor_treaties	diplomatic_factor_past_treaties
MILITARY_ACCESS_BROKEN	diplomatic_factor_broken_treaties	
MILITARY_ACCESS_DISSOLVED	diplomatic_factor_broken_treaties	
MILITARY_ALLIANCE	diplomatic_factor_treaties	diplomatic_factor_past_treaties
MILITARY_ALLIANCE_BROKEN	diplomatic_factor_broken_treaties	
MILITARY_ALLIANCE_PAST	diplomatic_factor_past_treaties	
NON_AGGRESSION_PACT	diplomatic_factor_treaties	diplomatic_factor_past_treaties
NON_AGGRESSION_PACT_BROKEN	diplomatic_factor_broken_treaties	
NON_AGGRESSION_PACT_PAST	diplomatic_factor_past_treaties	
OTHER_STUFF	diplomatic_factor_confederation_subculture_penalty	
PEACE	diplomatic_factor_treaties	diplomatic_factor_past_treaties
RAIDING	diplomatic_factor_raiding	
REBELLED_AGAINST	diplomatic_factor_rebellion	
REGION_GIFT		
RELIGIOUS_DIFFERENCES		
RELIGIOUS_DIFFERENCES_FACTION		
RELIGIOUS_DIFFERENCES_LEADER		
RELIGIOUS_SIMILARITIES		
RELIGIOUS_SIMILARITIES_FACTION	diplomatic_factor_cultural_similarities_personality	
RELIGIOUS_SIMILARITIES_LEADER		
RITUALS	diplomatic_factor_rituals	
STATE_GIFT_ACCEPTED	diplomatic_factor_gifts	
STATE_GIFT_LARGE	diplomatic_factor_gifts	
STATE_GIFT_MEDIUM	diplomatic_factor_gifts	
STATE_GIFT_REFUSED	diplomatic_factor_broken_treaties	
STATE_GIFT_SMALL	diplomatic_factor_gifts	
TECHNOLOGIES	diplomatic_factor_technology	
TRADE_AGREEMENT	diplomatic_factor_treaties	diplomatic_factor_past_treaties
TRADE_AGREEMENT_BROKEN	diplomatic_factor_broken_treaties	
TRADE_AGREEMENT_DISSOLVED	diplomatic_factor_broken_treaties	
TRADE_AGREEMENT_PAST	diplomatic_factor_past_treaties	
TRESSPASSING	diplomatic_factor_trespassing	
TROOPS_ENSLAVED	diplomatic_factor_war_atrocities	
TROOPS_EXECUTED	diplomatic_factor_war_atrocities	
TROOPS_RELEASED	diplomatic_factor_troops_released	
VASSALAGE	diplomatic_factor_treaties	diplomatic_factor_past_treaties
VASSALAGE_BROKEN	diplomatic_factor_broken_treaties	
VASSALAGE_CANCELLED	diplomatic_factor_broken_treaties	
VASSALAGE_FORCED	diplomatic_factor_treaties	diplomatic_factor_past_treaties
VORTEX_INTERVENTION		
WAR	diplomatic_factor_war	diplomatic_factor_past_war
WAR_PAST	diplomatic_factor_past_war	
WAR_TARGET	diplomatic_factor_war	diplomatic_factor_past_war
