cdir_events_payloads_tables
0
effect_bundle_key	payload_key
zar_sk_payload_food_for_gold	zar_sk_payload_food_for_gold
zar_sk_payload_fury_thieves	zar_sk_payload_fury_thieves
zar_sk_payload_false_prophet_use	zar_sk_payload_false_prophet_use
zar_sk_payload_false_prophet_kill	zar_sk_payload_false_prophet_kill
zar_sk_payload_skaven_food_theft	zar_sk_payload_skaven_food_theft
zar_sk_payload_skaven_raid_2	zar_sk_payload_skaven_raid_2
zar_sk_payload_sewer_patrol	zar_sk_payload_sewer_patrol
zar_sk_payload_skaven_raid_3	zar_sk_payload_skaven_raid_3
zar_sk_payload_vermintide_heroes	zar_sk_payload_vermintide_heroes
zar_sk_payload_bad_food	zar_sk_payload_bad_food
zar_sk_payload_skavenblight_has_fallen	zar_sk_payload_skavenblight_has_fallen
zar_sk_payload_retake_skavenblight_denied	zar_sk_payload_retake_skavenblight_denied
zar_sk_payload_skaven_lair_support	zar_sk_payload_skaven_lair_support
