cdir_events_mission_issuer_junctions_tables
0
issuer_key	mission_key
CLAN_ELDERS	wh2_main_def_malekith_circlet_of_iron_stage_1
CLAN_ELDERS	wh2_main_def_malekith_circlet_of_iron_stage_2
CLAN_ELDERS	wh2_main_def_malekith_circlet_of_iron_stage_3
CLAN_ELDERS	wh2_main_def_malekith_destroyer_stage_1
CLAN_ELDERS	wh2_main_def_malekith_destroyer_stage_2
CLAN_ELDERS	wh2_main_def_malekith_destroyer_stage_3
CLAN_ELDERS	wh2_main_def_malekith_supreme_spellshield_stage_1
CLAN_ELDERS	wh2_main_def_malekith_supreme_spellshield_stage_2
CLAN_ELDERS	wh2_main_def_malekith_supreme_spellshield_stage_3
CLAN_ELDERS	wh2_main_def_morathi_heartrender_and_the_darksword_stage_1
CLAN_ELDERS	wh2_main_def_morathi_heartrender_and_the_darksword_stage_2
CLAN_ELDERS	wh2_main_def_morathi_heartrender_and_the_darksword_stage_3
CLAN_ELDERS	wh2_main_def_morathi_heartrender_and_the_darksword_stage_4
CLAN_ELDERS	wh2_main_def_morathi_heartrender_and_the_darksword_stage_5
CLAN_ELDERS	wh2_main_def_morathi_heartrender_and_the_darksword_stage_6
CLAN_ELDERS	wh2_main_dilemma_loyalty_skv_the_skavenblight_question_2_a
CLAN_ELDERS	wh2_main_great_vortex_def_malekith_circlet_of_iron_stage_1
CLAN_ELDERS	wh2_main_great_vortex_def_malekith_circlet_of_iron_stage_2
CLAN_ELDERS	wh2_main_great_vortex_def_malekith_circlet_of_iron_stage_3
CLAN_ELDERS	wh2_main_great_vortex_def_malekith_destroyer_stage_1
CLAN_ELDERS	wh2_main_great_vortex_def_malekith_destroyer_stage_2
CLAN_ELDERS	wh2_main_great_vortex_def_malekith_destroyer_stage_3
CLAN_ELDERS	wh2_main_great_vortex_def_malekith_supreme_spellshield_stage_1
CLAN_ELDERS	wh2_main_great_vortex_def_malekith_supreme_spellshield_stage_2
CLAN_ELDERS	wh2_main_great_vortex_def_malekith_supreme_spellshield_stage_3
CLAN_ELDERS	wh2_main_great_vortex_def_morathi_heartrender_and_the_darksword_stage_1
CLAN_ELDERS	wh2_main_great_vortex_def_morathi_heartrender_and_the_darksword_stage_2
CLAN_ELDERS	wh2_main_great_vortex_def_morathi_heartrender_and_the_darksword_stage_3
CLAN_ELDERS	wh2_main_great_vortex_def_morathi_heartrender_and_the_darksword_stage_4
CLAN_ELDERS	wh2_main_great_vortex_def_morathi_heartrender_and_the_darksword_stage_5
CLAN_ELDERS	wh2_main_great_vortex_def_morathi_heartrender_and_the_darksword_stage_6
CLAN_ELDERS	wh2_main_great_vortex_hef_teclis_sword_of_teclis_stage_1
CLAN_ELDERS	wh2_main_great_vortex_hef_teclis_sword_of_teclis_stage_2
CLAN_ELDERS	wh2_main_great_vortex_hef_teclis_sword_of_teclis_stage_3
CLAN_ELDERS	wh2_main_great_vortex_hef_teclis_war_crown_of_saphery_stage_1
CLAN_ELDERS	wh2_main_great_vortex_hef_teclis_war_crown_of_saphery_stage_2
CLAN_ELDERS	wh2_main_great_vortex_hef_teclis_war_crown_of_saphery_stage_3
CLAN_ELDERS	wh2_main_great_vortex_hef_tyrion_dragon_armour_of_aenarion_stage_1
CLAN_ELDERS	wh2_main_great_vortex_hef_tyrion_dragon_armour_of_aenarion_stage_2
CLAN_ELDERS	wh2_main_great_vortex_hef_tyrion_dragon_armour_of_aenarion_stage_3
CLAN_ELDERS	wh2_main_great_vortex_hef_tyrion_dragon_armour_of_aenarion_stage_4
CLAN_ELDERS	wh2_main_great_vortex_hef_tyrion_sunfang_stage_1
CLAN_ELDERS	wh2_main_great_vortex_hef_tyrion_sunfang_stage_2
CLAN_ELDERS	wh2_main_great_vortex_hef_tyrion_sunfang_stage_3
CLAN_ELDERS	wh2_main_great_vortex_hef_tyrion_sunfang_stage_4
CLAN_ELDERS	wh2_main_great_vortex_liz_kroq_gar_hand_of_gods_stage_1
CLAN_ELDERS	wh2_main_great_vortex_liz_kroq_gar_hand_of_gods_stage_2
CLAN_ELDERS	wh2_main_great_vortex_liz_kroq_gar_hand_of_gods_stage_3
CLAN_ELDERS	wh2_main_great_vortex_liz_kroq_gar_revered_spear_of_tlanxla_stage_1
CLAN_ELDERS	wh2_main_great_vortex_liz_kroq_gar_revered_spear_of_tlanxla_stage_2
CLAN_ELDERS	wh2_main_great_vortex_liz_kroq_gar_revered_spear_of_tlanxla_stage_3
CLAN_ELDERS	wh2_main_great_vortex_lzd_mazdamundi_cobra_mace_of_mazdamundi_stage_1
CLAN_ELDERS	wh2_main_great_vortex_lzd_mazdamundi_cobra_mace_of_mazdamundi_stage_2
CLAN_ELDERS	wh2_main_great_vortex_lzd_mazdamundi_cobra_mace_of_mazdamundi_stage_3
CLAN_ELDERS	wh2_main_great_vortex_lzd_mazdamundi_sunburst_standard_of_hexoatl_stage_1
CLAN_ELDERS	wh2_main_great_vortex_lzd_mazdamundi_sunburst_standard_of_hexoatl_stage_2
CLAN_ELDERS	wh2_main_great_vortex_lzd_mazdamundi_sunburst_standard_of_hexoatl_stage_3
CLAN_ELDERS	wh2_main_great_vortex_lzd_mazdamundi_sunburst_standard_of_hexoatl_stage_4
CLAN_ELDERS	wh2_main_great_vortex_skv_queek_headtaker_dwarfgouger_stage_1
CLAN_ELDERS	wh2_main_great_vortex_skv_queek_headtaker_dwarfgouger_stage_2
CLAN_ELDERS	wh2_main_great_vortex_skv_queek_headtaker_dwarfgouger_stage_3
CLAN_ELDERS	wh2_main_great_vortex_skv_queek_headtaker_dwarfgouger_stage_4
CLAN_ELDERS	wh2_main_great_vortex_skv_queek_headtaker_warp_shard_armour_stage_1
CLAN_ELDERS	wh2_main_great_vortex_skv_queek_headtaker_warp_shard_armour_stage_2
CLAN_ELDERS	wh2_main_great_vortex_skv_queek_headtaker_warp_shard_armour_stage_4
CLAN_ELDERS	wh2_main_great_vortex_skv_queek_headtaker_warp_shard_armour_stage_5
CLAN_ELDERS	wh2_main_great_vortex_skv_queek_headtaker_warp_shard_armour_stage_6
CLAN_ELDERS	wh2_main_great_vortex_skv_skrolk_liber_bubonicus_stage_1
CLAN_ELDERS	wh2_main_great_vortex_skv_skrolk_liber_bubonicus_stage_2
CLAN_ELDERS	wh2_main_great_vortex_skv_skrolk_liber_bubonicus_stage_3
CLAN_ELDERS	wh2_main_great_vortex_skv_skrolk_rod_of_corruption_stage_1
CLAN_ELDERS	wh2_main_great_vortex_skv_skrolk_rod_of_corruption_stage_2
CLAN_ELDERS	wh2_main_great_vortex_skv_skrolk_rod_of_corruption_stage_3
CLAN_ELDERS	wh2_main_hef_teclis_sword_of_teclis_stage_1
CLAN_ELDERS	wh2_main_hef_teclis_sword_of_teclis_stage_2
CLAN_ELDERS	wh2_main_hef_teclis_sword_of_teclis_stage_3
