land_units_to_unit_abilites_junctions_tables
0
ability	land_unit
wh_main_unit_passive_stormrage	wh_dlc01_chs_mon_dragon_ogre_shaggoth
wh_main_unit_passive_stormrage	wh_dlc01_chs_mon_dragon_ogre
wh_main_unit_passive_trollflesh	wh_dlc01_chs_mon_trolls_1
wh_main_unit_passive_grailknight_regeneration	wh_dlc07_brt_cav_grail_guardians_0
wh_main_unit_passive_grailknight_regeneration	wh_dlc07_brt_cav_royal_hippogryph_knights_0
wh_main_unit_passive_grailknight_regeneration	wh_dlc07_brt_cav_royal_pegasus_knights_0
wh_main_unit_passive_grailknight_regeneration	wh_main_brt_cav_grail_knights
wh_main_unit_passive_grailknight_regeneration	wh_main_brt_cha_paladin_0
wh_main_unit_passive_grailknight_regeneration	wh_main_brt_cha_paladin_3
wh_main_unit_passive_grailknight_regeneration	wh_main_brt_cha_paladin_4
wh_main_unit_passive_trollflesh	wh_main_chs_mon_trolls
wh_main_unit_passive_trollflesh	wh_main_grn_mon_trolls
wh_main_unit_passive_trollflesh	wh_main_nor_mon_chaos_trolls
wh_main_unit_passive_bloodknight_regeneration	wh_dlc02_vmp_cav_blood_knights_0
vmp_unit_terrorgheist_shreik	wh_main_vmp_mon_terrorgheist
vmp_unit_terrorgheist_shreik	wh_dlc04_vmp_cha_strigoi_ghoul_king_1
wh_main_lord_passive_dorghar	wh_main_chs_cha_archaon_the_everchosen_1
wh_main_lord_passive_kemmler	wh_main_vmp_cha_heinrich_kemmler
wh_main_unit_passive_stormrage	wh_pro04_chs_mon_dragon_ogre_ror_0
wh_main_unit_passive_trollflesh	wh_dlc08_nor_mon_norscan_ice_trolls_0
wh_main_unit_passive_trollflesh	wh_dlc08_nor_cha_throgg_0
wh_main_impetuous	brt_tournament
bst_main2	bst_Pestigor
bst_main2	bst_Khorngor
bst_main2	bst_Slaangor
bst_main2	bst_Tzaangor
wh_main_unit_passive_regeneration	bst_Pestigor
wh_main_unit_passive_deathblow	dwf_giant_slayer
wh_emp_last_stand	emp_imp_guard
wh_emp_prayer_of_binding	emp_witch_squad
wh_emp_sigmarite_aura_faith	emp_sigmar_war
wh_emp_last_stand	wh_main_emp_cha_karl_franz_0
wh_emp_last_stand	wh_main_emp_cha_karl_franz_1
wh_emp_last_stand	wh_main_emp_cha_karl_franz_2
wh_emp_last_stand	wh_main_emp_cha_karl_franz_3
wh_emp_last_stand	wh_main_emp_cha_karl_franz_4
wh_main_unit_passive_frenzy	vmp_blood_dragon
wh_main_unit_passive_unstable	vmp_blood_dragon
wh_main_unit_passive_unstable_mark_ii	vmp_blood_dragon
wh_main_unit_passive_unstable	vmp_black_grail
wh_main_unit_passive_unstable_mark_ii	vmp_black_grail
wh_main_unit_passive_unstable	vmp_zombie_dragon
wh_main_unit_passive_unstable_mark_ii	vmp_zombie_dragon
wh_dlc05_unit_abilities_the_shadows_coil	wef_shadowdancer
wh_dlc06_unit_abilities_smoke_bomb	wef_wildwood_warden
wh_dlc05_unit_passive_guardians_of_the_wildwood	wef_wildwood_warden
unit_ability_dwf_engineers_aura	dwf_sniper
unit_ability_dwf_shieldbearer_aura	dwf_oathsworn
unit_ability_grn_black_orc_bellow_aura	grn_black_orc_boss
we_spell_passive_shadow_dancers_mana_regen	wef_shadowdancer
we_spell_shadow_dancers_withering	wef_shadowdancer
vmp_black_grail_regeneration	vmp_black_grail
unit_ability_leadership_boost_aura	wef_eternal_sword
bst_tzaangor_magic_aura	bst_Tzaangor
wh_main_unit_passive_frenzy	grn_savage_big_great
wh_main_unit_passive_bloodknight_regeneration	vmp_blood_dragon
chs_zealot_dark_healing	chs_zelot
chs_soul_drain	chs_zelot
wh_main_unit_passive_hydra	wh2_main_def_mon_war_hydra_0
wh_lzd_solar	wh2_main_lzd_mon_bastiladon_2
wh_lzd_solar	wh2_main_lzd_mon_bastiladon_blessed_2
wh_hef_dragon_prince	wh2_main_hef_cav_dragon_princes
wh_def_dread_glory	wh2_main_def_cav_cold_one_knights_1
wh_lzd_slann	wh2_main_lzd_cha_lord_mazdamundi_0
wh_lzd_slann	wh2_main_lzd_cha_lord_mazdamundi_1
wh_lzd_slann	wh2_main_lzd_cha_slann_mage_priest_campaign_0
wh_lzd_slann	wh2_main_lzd_cha_slann_mage_priest_heavens_0
wh_lzd_slann	wh2_main_lzd_cha_slann_mage_priest_high_0
wh_lzd_slann	wh2_main_lzd_cha_slann_mage_priest_light_0
chs_main1	wh_dlc01_chs_inf_chaos_warriors_2
chs_main2	wh_dlc01_chs_inf_chosen_2
chs_main1	wh_dlc01_chs_inf_forsaken_0
chs_main2	wh_dlc06_chs_inf_aspiring_champions_0
chs_main1	wh_main_chs_inf_chaos_marauders_0
