land_units_to_unit_abilites_junctions_tables
0
ability	land_unit
wh_main_character_abilities_deadly_onslaught	wh_dlc01_chs_cha_chaos_lord_10
wh_main_character_abilities_foe_seeker	wh_dlc01_chs_cha_chaos_lord_10
wh_main_character_abilities_stand_or_die	wh_dlc01_chs_cha_chaos_lord_10
wh_main_character_abilities_deadly_onslaught	wh_dlc01_chs_cha_chaos_lord_2
wh_main_character_abilities_foe_seeker	wh_dlc01_chs_cha_chaos_lord_2
wh_main_character_abilities_stand_or_die	wh_dlc01_chs_cha_chaos_lord_2
wh_main_character_abilities_stand_or_die	wh_dlc01_chs_cha_chaos_sorcerer_lord_death_0
wh_main_character_abilities_stand_or_die	wh_dlc01_chs_cha_chaos_sorcerer_lord_death_10
wh_main_character_abilities_stand_or_die	wh_dlc01_chs_cha_chaos_sorcerer_lord_death_12
wh_main_character_abilities_stand_or_die	wh_dlc01_chs_cha_chaos_sorcerer_lord_death_13
wh_main_character_abilities_stand_or_die	wh_dlc01_chs_cha_chaos_sorcerer_lord_death_9
wh_main_character_abilities_stand_or_die	wh_dlc01_chs_cha_chaos_sorcerer_lord_fire_0
wh_main_character_abilities_stand_or_die	wh_dlc01_chs_cha_chaos_sorcerer_lord_fire_10
wh_main_character_abilities_stand_or_die	wh_dlc01_chs_cha_chaos_sorcerer_lord_fire_12
wh_main_character_abilities_stand_or_die	wh_dlc01_chs_cha_chaos_sorcerer_lord_fire_13
wh_main_character_abilities_stand_or_die	wh_dlc01_chs_cha_chaos_sorcerer_lord_fire_9
wh_main_character_abilities_stand_or_die	wh_dlc01_chs_cha_chaos_sorcerer_lord_metal_0
wh_main_character_abilities_stand_or_die	wh_dlc01_chs_cha_chaos_sorcerer_lord_metal_10
wh_main_character_abilities_stand_or_die	wh_dlc01_chs_cha_chaos_sorcerer_lord_metal_12
wh_main_character_abilities_stand_or_die	wh_dlc01_chs_cha_chaos_sorcerer_lord_metal_13
wh_main_character_abilities_stand_or_die	wh_dlc01_chs_cha_chaos_sorcerer_lord_metal_9
wh_main_character_abilities_stand_or_die	wh_dlc01_chs_cha_chaos_sorcerer_lord_shadows_0
wh_main_character_abilities_stand_or_die	wh_dlc01_chs_cha_chaos_sorcerer_lord_shadows_1
wh_main_character_abilities_stand_or_die	wh_dlc01_chs_cha_chaos_sorcerer_lord_shadows_2
wh_main_character_abilities_stand_or_die	wh_dlc01_chs_cha_chaos_sorcerer_lord_shadows_3
wh_main_character_abilities_stand_or_die	wh_dlc01_chs_cha_chaos_sorcerer_lord_shadows_4
wh_main_character_abilities_arcane_conduit	wh_dlc01_chs_cha_chaos_sorcerer_shadows_0
wh_main_character_abilities_arcane_conduit	wh_dlc01_chs_cha_chaos_sorcerer_shadows_1
wh_main_character_abilities_arcane_conduit	wh_dlc01_chs_cha_chaos_sorcerer_shadows_2
wh_main_character_abilities_arcane_conduit	wh_dlc01_chs_cha_chaos_sorcerer_shadows_3
wh_main_character_abilities_deadly_onslaught	wh_dlc01_chs_cha_exalted_hero_10
wh_main_character_abilities_foe_seeker	wh_dlc01_chs_cha_exalted_hero_10
wh_main_character_abilities_deadly_onslaught	wh_dlc01_chs_cha_kholek
wh_main_character_abilities_foe_seeker	wh_dlc01_chs_cha_kholek
wh_main_character_abilities_stand_or_die	wh_dlc01_chs_cha_kholek
wh_main_lord_abilities_lord_of_the_storm	wh_dlc01_chs_cha_kholek
wh_main_character_abilities_deadly_onslaught	wh_dlc01_chs_cha_prince_sigvald_the_magnificent
wh_main_character_abilities_foe_seeker	wh_dlc01_chs_cha_prince_sigvald_the_magnificent
wh_main_character_abilities_stand_or_die	wh_dlc01_chs_cha_prince_sigvald_the_magnificent
wh_main_unit_passive_frenzy	wh_dlc01_chs_inf_forsaken_0
wh_main_character_abilities_stand_or_die	wh_dlc01_nor_cha_chaos_sorcerer_lord_0
wh_main_character_abilities_stand_or_die	wh_dlc01_nor_cha_chaos_sorcerer_lord_1
wh_main_character_abilities_stand_or_die	wh_dlc01_nor_cha_chaos_sorcerer_lord_2
wh_dlc02_unit_passive_the_flag_of_blood_keep	wh_dlc02_vmp_cav_blood_knights_0
wh_main_unit_passive_frenzy	wh_dlc02_vmp_cav_blood_knights_0
wh_main_unit_passive_unstable	wh_dlc02_vmp_cav_blood_knights_0
wh_main_unit_passive_unstable_mark_ii	wh_dlc02_vmp_cav_blood_knights_0
wh_dlc03_character_abilities_apocalyptic_vision	wh_dlc03_bst_cha_beastlord_0_qb
wh_dlc03_character_abilities_call_of_violence	wh_dlc03_bst_cha_beastlord_0_qb
wh_main_character_abilities_deadly_onslaught	wh_dlc03_bst_cha_beastlord_0_qb
wh_dlc03_character_abilities_apocalyptic_vision	wh_dlc03_bst_cha_beastlord_0
wh_dlc03_character_abilities_call_of_violence	wh_dlc03_bst_cha_beastlord_0
wh_main_character_abilities_deadly_onslaught	wh_dlc03_bst_cha_beastlord_0
wh_dlc03_character_abilities_apocalyptic_vision	wh_dlc03_bst_cha_beastlord_1
wh_dlc03_character_abilities_call_of_violence	wh_dlc03_bst_cha_beastlord_1
wh_main_character_abilities_deadly_onslaught	wh_dlc03_bst_cha_beastlord_1
wh_dlc03_unit_passive_primal_fury	wh_dlc03_bst_cha_bray_shaman_beasts_0
wh_main_character_abilities_arcane_conduit	wh_dlc03_bst_cha_bray_shaman_beasts_0
wh_dlc03_unit_passive_primal_fury	wh_dlc03_bst_cha_bray_shaman_beasts_1
wh_main_character_abilities_arcane_conduit	wh_dlc03_bst_cha_bray_shaman_beasts_1
wh_dlc03_unit_passive_primal_fury	wh_dlc03_bst_cha_bray_shaman_death_0
wh_main_character_abilities_arcane_conduit	wh_dlc03_bst_cha_bray_shaman_death_0
wh_dlc03_unit_passive_primal_fury	wh_dlc03_bst_cha_bray_shaman_death_1
wh_main_character_abilities_arcane_conduit	wh_dlc03_bst_cha_bray_shaman_death_1
wh_dlc03_unit_passive_primal_fury	wh_dlc03_bst_cha_bray_shaman_shadows_0
wh_main_character_abilities_arcane_conduit	wh_dlc03_bst_cha_bray_shaman_shadows_0
wh_dlc03_unit_passive_primal_fury	wh_dlc03_bst_cha_bray_shaman_shadows_1
wh_main_character_abilities_arcane_conduit	wh_dlc03_bst_cha_bray_shaman_shadows_1
wh_dlc03_unit_passive_primal_fury	wh_dlc03_bst_cha_bray_shaman_wild_0
wh_main_character_abilities_arcane_conduit	wh_dlc03_bst_cha_bray_shaman_wild_0
wh_dlc03_unit_passive_primal_fury	wh_dlc03_bst_cha_bray_shaman_wild_1
wh_main_character_abilities_arcane_conduit	wh_dlc03_bst_cha_bray_shaman_wild_1
wh_dlc03_unit_abilities_slaughterers_call	wh_dlc03_bst_cha_gorebull_0
wh_dlc03_unit_passive_bloodgreed	wh_dlc03_bst_cha_gorebull_0
wh_main_character_abilities_deadly_onslaught	wh_dlc03_bst_cha_gorebull_0
wh_main_character_abilities_foe_seeker	wh_dlc03_bst_cha_gorebull_0
wh_dlc03_quest_passive_poisoning	wh_dlc03_bst_cha_graktar_0
wh_dlc03_character_abilities_apocalyptic_vision	wh_dlc03_bst_cha_khazrak_one_eye_0
wh_dlc03_character_abilities_call_of_violence	wh_dlc03_bst_cha_khazrak_one_eye_0
wh_main_character_abilities_deadly_onslaught	wh_dlc03_bst_cha_khazrak_one_eye_0
wh_dlc03_character_abilities_apocalyptic_vision	wh_dlc03_bst_cha_khazrak_one_eye_1
wh_dlc03_character_abilities_call_of_violence	wh_dlc03_bst_cha_khazrak_one_eye_1
wh_main_character_abilities_deadly_onslaught	wh_dlc03_bst_cha_khazrak_one_eye_1
wh_dlc03_hero_passive_something_wicked_this_way_comes	wh_dlc03_bst_cha_malagor_the_dark_omen_0
wh_dlc03_hero_passive_unholy_power	wh_dlc03_bst_cha_malagor_the_dark_omen_0
wh_dlc03_unit_passive_primal_fury	wh_dlc03_bst_cha_malagor_the_dark_omen_0
wh_main_character_abilities_arcane_conduit	wh_dlc03_bst_cha_malagor_the_dark_omen_0
wh_dlc03_unit_passive_drunken	wh_dlc03_bst_inf_centigors_0
wh_dlc03_unit_passive_primal_fury	wh_dlc03_bst_inf_centigors_0
wh_dlc03_unit_passive_drunken	wh_dlc03_bst_inf_centigors_1
wh_dlc03_unit_passive_primal_fury	wh_dlc03_bst_inf_centigors_1
wh_dlc03_unit_passive_drunken	wh_dlc03_bst_inf_centigors_2
wh_dlc03_unit_passive_unbinding_cygor	wh_dlc03_bst_inf_cygor_0_summoned
wh_main_unit_passive_unbinding_critical	wh_dlc03_bst_inf_cygor_0_summoned
wh_dlc03_unit_passive_soul_eater	wh_dlc03_bst_inf_cygor_0
wh_dlc03_unit_passive_primal_fury	wh_dlc03_bst_inf_gor_herd_0
wh_dlc03_unit_passive_primal_fury	wh_dlc03_bst_inf_gor_herd_1
wh_dlc03_unit_passive_bloodgreed	wh_dlc03_bst_inf_minotaurs_0
wh_dlc03_unit_passive_bloodgreed	wh_dlc03_bst_inf_minotaurs_1
wh_dlc03_unit_passive_bloodgreed	wh_dlc03_bst_inf_minotaurs_2
wh_dlc03_unit_passive_primal_fury	wh_dlc03_bst_inf_ungor_herd_1
wh_dlc03_unit_passive_primal_fury	wh_dlc03_bst_inf_ungor_raiders_0
wh_dlc03_unit_passive_primal_fury	wh_dlc03_bst_inf_ungor_spearmen_0
wh_dlc03_unit_passive_primal_fury	wh_dlc03_bst_inf_ungor_spearmen_1
wh_dlc03_unit_passive_unbinding_chaos_spawn	wh_dlc03_bst_mon_chaos_spawn_0_summoned
wh_main_unit_passive_unbinding_critical	wh_dlc03_bst_mon_chaos_spawn_0_summoned
wh_dlc03_unit_passive_unbinding_giant	wh_dlc03_bst_mon_giant_0_summoned
wh_main_unit_passive_unbinding_critical	wh_dlc03_bst_mon_giant_0_summoned
wh_dlc03_lord_passive_crush_the_weak	wh_dlc03_emp_cha_boris_todbringer_0
wh_main_character_abilities_deadly_onslaught	wh_dlc03_emp_cha_boris_todbringer_0
wh_main_character_abilities_foe_seeker	wh_dlc03_emp_cha_boris_todbringer_0
wh_main_character_abilities_stand_your_ground	wh_dlc03_emp_cha_boris_todbringer_0
wh_main_lord_passive_hold_the_line	wh_dlc03_emp_cha_boris_todbringer_0
wh_dlc03_lord_passive_crush_the_weak	wh_dlc03_emp_cha_boris_todbringer_1
wh_main_character_abilities_deadly_onslaught	wh_dlc03_emp_cha_boris_todbringer_1
wh_main_character_abilities_foe_seeker	wh_dlc03_emp_cha_boris_todbringer_1
wh_main_character_abilities_stand_your_ground	wh_dlc03_emp_cha_boris_todbringer_1
wh_main_lord_passive_hold_the_line	wh_dlc03_emp_cha_boris_todbringer_1
wh_dlc03_lord_passive_crush_the_weak	wh_dlc03_emp_cha_boris_todbringer_2
wh_main_character_abilities_deadly_onslaught	wh_dlc03_emp_cha_boris_todbringer_2
wh_main_character_abilities_foe_seeker	wh_dlc03_emp_cha_boris_todbringer_2
wh_main_character_abilities_stand_your_ground	wh_dlc03_emp_cha_boris_todbringer_2
wh_main_lord_passive_hold_the_line	wh_dlc03_emp_cha_boris_todbringer_2
wh_dlc03_lord_passive_crush_the_weak	wh_dlc03_emp_cha_boris_todbringer_3
wh_main_character_abilities_deadly_onslaught	wh_dlc03_emp_cha_boris_todbringer_3
wh_main_character_abilities_foe_seeker	wh_dlc03_emp_cha_boris_todbringer_3
wh_main_character_abilities_stand_your_ground	wh_dlc03_emp_cha_boris_todbringer_3
wh_main_lord_passive_hold_the_line	wh_dlc03_emp_cha_boris_todbringer_3
wh_main_character_abilities_arcane_conduit	wh_dlc03_emp_cha_wizard_beasts_0
wh_main_character_abilities_arcane_conduit	wh_dlc03_emp_cha_wizard_beasts_1
wh_main_character_abilities_arcane_conduit	wh_dlc03_emp_cha_wizard_beasts_2
wh_main_character_abilities_arcane_conduit	wh_dlc03_emp_cha_wizard_beasts_3
wh_main_mount_passive_bloodroar	wh_dlc03_emp_cha_wizard_beasts_3
wh_main_character_abilities_arcane_conduit	wh_dlc03_emp_cha_wizard_beasts_4
wh_dlc04_hero_passive_divine_power	wh_dlc04_emp_cha_arch_lector_0
wh_dlc04_spell_bound_hammer_of_sigmar_upgraded	wh_dlc04_emp_cha_arch_lector_0
wh_dlc04_spell_bound_shield_of_faith_upgraded	wh_dlc04_emp_cha_arch_lector_0
wh_dlc04_spell_bound_soulfire_upgraded	wh_dlc04_emp_cha_arch_lector_0
wh_main_character_passive_benediction	wh_dlc04_emp_cha_arch_lector_0
wh_main_hero_abilities_faiths_bastion	wh_dlc04_emp_cha_arch_lector_0
wh_dlc04_hero_passive_divine_power	wh_dlc04_emp_cha_arch_lector_1
wh_dlc04_spell_bound_hammer_of_sigmar_upgraded	wh_dlc04_emp_cha_arch_lector_1
wh_dlc04_spell_bound_shield_of_faith_upgraded	wh_dlc04_emp_cha_arch_lector_1
wh_dlc04_spell_bound_soulfire_upgraded	wh_dlc04_emp_cha_arch_lector_1
wh_main_character_passive_benediction	wh_dlc04_emp_cha_arch_lector_1
