projectile_bombardments_tables
6
arrival_window	bombardment_key	num_projectiles	projectile_type	radius_spread	start_time	launch_source	launch_vfx	launch_height	audio_type	launch_height_underground	unknown
1	wh2_main_army_abilities_bloodwrack_cauldron	1	wh2_main_army_abilities_bloodwrack_cauldron	8	4	above_target	wh2_main_abilities_bloodwrack_cauldron_bomb_spawn	200	wh2_main_ability_bloodwrack_cauldron	75	True
1.5	wh2_main_army_abilities_bolt_of_spite	1	wh2_main_army_abilities_bolt_of_spite	8	4	above_target	wh2_main_abilities_bolt_of_spite_bomb_spawn	280	wh_main_spell_heavens_comet_of_casandora	75	True
1	wh2_main_army_abilities_brazen_cauldron	1	wh2_main_army_abilities_brazen_cauldron	8	4	above_target	wh2_main_abilities_brazen_cauldron_bomb_spawn	200	wh2_main_ability_brazen_cauldron	75	True
1	wh2_main_army_abilities_heal_splosion	1	wh2_main_army_abilities_vortic_enrichment	1	1	launch_and_explode		1		1	True
0.1	wh2_main_army_abilities_khaines_flail	2	wh2_main_army_abilities_khaines_flail	1	2	above_target	wh2_main_abilities_khaines_flail_spawn	240	wh_main_spell_heavens_urannons_thunderbolt	75	True
0.1	wh2_main_army_abilities_khaines_lash	1	wh2_main_army_abilities_khaines_lash	1	2	above_target	wh2_main_abilities_khaines_lash_spawn	240	wh_main_spell_heavens_urannons_thunderbolt	75	True
0.1	wh2_main_army_abilities_khaines_scourge	3	wh2_main_army_abilities_khaines_scourge	1	2	above_target	wh2_main_abilities_khaines_scourge_spawn	240	wh_main_spell_heavens_urannons_thunderbolt	75	True
1	wh2_main_army_abilities_skaven_bomb	1	wh2_main_army_abilities_skaven_bomb	1	1	launch_and_explode		1		1	True
1	wh2_main_army_abilities_sky_cauldron	1	wh2_main_army_abilities_sky_cauldron	8	4	above_target	wh2_main_abilities_sky_cauldron_bomb_spawn	200	wh2_main_ability_sky_cauldron	75	True
3	wh2_main_army_abilities_soul_rain	15	wh2_main_army_abilities_soul_rain	8	2	above_target	wh2_main_abilities_soul_rain_spawn	220	wh2_main_ability_soul_rain	75	True
3	wh2_main_army_abilities_soul_storm	45	wh2_main_army_abilities_soul_storm	16	2	above_target	wh2_main_abilities_soul_storm_spawn	220	wh2_main_ability_soul_storm	75	True
3	wh2_main_army_abilities_soul_torrent	30	wh2_main_army_abilities_soul_torrent	12	2	above_target	wh2_main_abilities_soul_torrent_spawn	220	wh2_main_ability_soul_torrent	75	True
0.1	wh2_main_army_abilities_vauls_hammer	1	wh2_main_army_abilities_vauls_hammer	0.1	0.1	launch_and_explode		1		1	True
0.1	wh2_main_army_abilities_warpbomb	1	wh2_main_army_abilities_warpbomb	0.1	0.1	launch_and_explode		1		1	False
0.5	wh2_main_bound_doombolt	1	wh2_main_bound_doombolt	6	4	above_target	wh2_main_dark_doombolt_bomb_spawn	150	wh_main_spell_dark_magic_doombolt	75	True
0.1	wh2_main_bound_urannons_thunderbolt	1	wh2_main_bound_urannons_thunderbolt	1	3	above_target	wh_main_heavens_urannons_thunderbolt_bomb_spawn	150	wh_main_spell_heavens_urannons_thunderbolt	75	True
0.5	wh2_main_spell_dark_magic_doombolt	1	wh2_main_spell_dark_magic_doombolt	6	4	above_target	wh2_main_dark_doombolt_bomb_spawn	150	wh_main_spell_dark_magic_doombolt	75	True
0.5	wh2_main_spell_dark_magic_doombolt_upgraded	1	wh2_main_spell_dark_magic_doombolt_upgraded	6	4	above_target	wh2_main_dark_doombolt_bomb_spawn	150	wh_main_spell_dark_magic_doombolt	75	True
0.1	wh2_main_spell_plague_the_dreaded_thirteenth_spell	1	wh2_main_spell_plague_the_dreaded_thirteenth_spell	0.1	0.1	launch_and_explode		1		1	False
0.1	wh2_main_spell_plague_vermintide	1	wh2_main_spell_plague_vermintide	0.1	0.1	launch_and_explode		1		1	False
1	wh2_main_spell_ruin_warp_lightning	5	wh2_main_spell_ruin_warp_lightning	8	3	above_target	wh2_main_ruin_warp_lightning_bomb_spawn	100	wh_main_spell_ruin_warp_lightning	75	True
2	wh2_main_spell_ruin_warp_lightning_upgraded	10	wh2_main_spell_ruin_warp_lightning	8	3	above_target	wh2_main_ruin_warp_lightning_bomb_spawn	100	wh_main_spell_ruin_warp_lightning	75	True
0.7	wh2_main_unit_abilities_drop_rocks	1	wh2_main_unit_abilities_drop_rocks	3	0.1	activaters_entities		1		1	True
0.2	wh2_main_unit_abilities_wake_of_fire	1	wh2_main_unit_abilities_wake_of_fire	1.5	0.1	activaters_entities		1		1	False
0.1	wh_dl03_item_abilities_stone_of_spite	1	wh_main_unit_abilities_gyrobomber_bomb	0.1	0.1	at_target		0		0	True
3	wh_dlc05_weapon_abilities_hawks_talon	25	wh_dlc05_wef_hawks_talon	10	2	above_target	wh_dlc05_wef_hawks_talon_bomb_spawn	150	wh_dlc05_ability_the_bow_of_loren_bombardment	75	True
2	wh_dlc05_weapon_abilities_the_bow_of_loren	15	wh_dlc05_wef_bow_of_loren	10	2	above_target	wh_dlc05_wef_bow_of_loren_spawn	150	wh_dlc05_ability_the_bow_of_loren_bombardment	75	True
0.2	wh_dlc06_unit_abilities_skyhammer_bomb	1	wh_dlc06_unit_abilities_skyhammer_bomb	1.5	0.1	activaters_entities		1		1	True
1	wh_dlc07_item_abilities_chalice_of_potions	1	wh_dlc07_item_abilities_chalice_of_potions	8	4	above_target	wh_main_heavens_comet_of_casandora_bomb_spawn	150	wh_dlc07_ability_chalice_of_potions	75	True
1	wh_main_lord_abilities_lord_of_the_storm	5	wh_main_lord_abilities_lord_of_the_storm	8	3	above_target	wh_main_heavens_urannons_thunderbolt_bomb_spawn	150		75	True
2	wh_main_spell_bound_soulfire	30	wh_main_spell_bound_soulfire	15	1	above_target	wh_main_spell_bound_soulfire_spawn	150		75	True
2	wh_main_spell_bound_soulfire_upgraded	60	wh_main_spell_bound_soulfire	30	1	above_target	wh_main_spell_bound_soulfire_spawn	150		75	True
3	wh_main_spell_fire_piercing_bolts_of_burning	30	wh_main_spell_fire_piercing_bolts_of_burning	8	2	above_target	wh_main_fire_piercing_bolts_of_burning_bomb_spawn	150	wh_main_spell_fire_piercing_bolts_of_burning	75	True
3	wh_main_spell_fire_piercing_bolts_of_burning_upgraded	60	wh_main_spell_fire_piercing_bolts_of_burning_upgraded	16	2	above_target	wh_main_fire_piercing_bolts_of_burning_bomb_spawn	150	wh_main_spell_fire_piercing_bolts_of_burning	75	True
