provincial_initiatives_to_subculture_junctions_tables
0
provincial_initiative_key	subculture
wh2_main_edict_def_demand_hostages	wh2_main_sc_def_dark_elves
wh2_main_edict_def_enforce_tribute	wh2_main_sc_def_dark_elves
wh2_main_edict_def_festivals_of_hedonism	wh2_main_sc_def_dark_elves
wh2_main_edict_def_increase_production	wh2_main_sc_def_dark_elves
wh2_main_edict_def_read_portents	wh2_main_sc_def_dark_elves
wh2_main_edict_def_sacrifices_for_khaine	wh2_main_sc_def_dark_elves
wh2_main_edict_hef_banish_corruption	wh2_main_sc_hef_high_elves
wh2_main_edict_hef_rally_citizen_militia	wh2_main_sc_hef_high_elves
wh2_main_edict_hef_reaver_patrols	wh2_main_sc_hef_high_elves
wh2_main_edict_hef_rebuild_lost_splendour	wh2_main_sc_hef_high_elves
wh2_main_edict_hef_tribute_for_the_king	wh2_main_sc_hef_high_elves
wh2_main_edict_lzd_alignment_of_crafting	wh2_main_sc_lzd_lizardmen
wh2_main_edict_lzd_alignment_of_monuments	wh2_main_sc_lzd_lizardmen
wh2_main_edict_lzd_alignment_of_order	wh2_main_sc_lzd_lizardmen
wh2_main_edict_lzd_alignment_of_war	wh2_main_sc_lzd_lizardmen
wh2_main_edict_skv_devious_planning	wh2_main_sc_skv_skaven
wh2_main_edict_skv_efficient_planning	wh2_main_sc_skv_skaven
wh2_main_edict_skv_expansionist_planning	wh2_main_sc_skv_skaven
wh2_main_edict_skv_martial_planning	wh2_main_sc_skv_skaven
wh_main_edict_brag_about_da_boss	wh_main_sc_grn_greenskins
wh_main_edict_brag_about_da_boss	wh_main_sc_grn_savage_orcs
wh_main_edict_camp_ruckus	wh_main_sc_grn_greenskins
wh_main_edict_camp_ruckus	wh_main_sc_grn_savage_orcs
wh_main_edict_collect_tribute	wh_main_sc_ksl_kislev
wh_main_edict_collect_tribute	wh_main_sc_teb_teb
wh_main_edict_council_of_burgomeisters	wh_main_sc_emp_empire
wh_main_edict_empower_the_guilds	wh_main_sc_dwf_dwarfs
wh_main_edict_evocation_of_nagash	wh_main_sc_vmp_vampire_counts
wh_main_edict_extensive_patrols	wh_main_sc_brt_bretonnia
wh_main_edict_foster_independence	wh_main_sc_ksl_kislev
wh_main_edict_foster_independence	wh_main_sc_teb_teb
wh_main_edict_foster_terror	wh_main_sc_vmp_vampire_counts
wh_main_edict_give_it_ere	wh_main_sc_grn_greenskins
wh_main_edict_give_it_ere	wh_main_sc_grn_savage_orcs
wh_main_edict_harvest_corpses	wh_main_sc_vmp_vampire_counts
wh_main_edict_high_kings_tribute	wh_main_sc_dwf_dwarfs
wh_main_edict_host_festag	wh_main_sc_emp_empire
wh_main_edict_host_festag	wh_main_sc_ksl_kislev
wh_main_edict_host_festag	wh_main_sc_teb_teb
wh_main_edict_imperial_taxation	wh_main_sc_emp_empire
wh_main_edict_levy_conscripts	wh_main_sc_ksl_kislev
wh_main_edict_levy_conscripts	wh_main_sc_teb_teb
wh_main_edict_levy_tithes	wh_main_sc_brt_bretonnia
wh_main_edict_masters_of_steel_and_stone	wh_main_sc_dwf_dwarfs
wh_main_edict_realm_of_chivalry	wh_main_sc_brt_bretonnia
wh_main_edict_repress_mortals	wh_main_sc_vmp_vampire_counts
wh_main_edict_sigmarite_dogma	wh_main_sc_emp_empire
wh_main_edict_state_troop_levy	wh_main_sc_emp_empire
wh_main_edict_stimulate_trade	wh_main_sc_ksl_kislev
wh_main_edict_stimulate_trade	wh_main_sc_teb_teb
wh_main_edict_the_peasants_duty	wh_main_sc_brt_bretonnia
wh_main_edict_venerate_the_ancestors	wh_main_sc_dwf_dwarfs
wh_main_edict_venerate_the_lady	wh_main_sc_brt_bretonnia
