cai_personality_deal_generation_generator_priorities_tables
2
component_key	generator_key	last_stand_priority	param1	param2	param3	param4	peace_priority	tension_priority	total_war_priority	war_priority	failure_timeout	min_payment_cap	max_payment_cap	max_payment_pct
default	BREAK_TREATIES_WITH_DISLIKED_FACTIONS	100	0	0	0	0	100	100	100	100	5	0	10000	10
default	DECLARE_WAR_ON_FACTIONS_I_DISLIKE	100	0	-250	0	0	600	400	150	150	5	0	10000	25
default	DECLARE_WAR_ON_NEARBY_FACTIONS	100	0	-250	0	0	250	200	150	150	5	0	10000	25
default	DEMAND_GIFTS_FROM_NEARBY_FACTIONS	-100	0	0	0	0	-100	-100	-100	-100	5	0	10000	100
default	DEMAND_GIFTS_FROM_WEAKER_FACTIONS	-30	50	-30	0	0	-30	-30	-30	-30	5	0	10000	10
default	DEMAND_VASSALAGE_OR_CLIENT_STATE_FROM_ENEMIES	-100	0	0	0	0	-100	-100	-100	-100	5	0	10000	10
default	DIPLOMATIC_MARRIAGE	-100	0	0	0	0	-100	-100	-100	-100	5	0	10000	10
default	FORM_CONFEDERATION	-100	0	0	0	0	-100	-100	-100	-100	5	0	10000	10
default	MILITARY_ACCESS	200	0	-200	0	0	200	200	200	200	5	0	10000	10
default	OFFER_GIFTS_TO_STRONGER_FACTIONS	25	-30	-25	0	0	25	25	25	25	5	0	10000	10
default	OFFER_TO_JOIN_ALLYS_WAR	20	0	-50	0	0	50	50	30	40	5	0	10000	10
default	OFFER_TO_JOIN_WAR_AGAINST_FACTION_I_DISLIKE	5	0	-50	0	0	50	50	20	40	5	0	10000	10
default	OFFER_VASSALAGE_OR_CLIENT_STATE_TO_ALLIES_OF_ENEMIES	-100	0	0	0	0	-100	-100	-100	-100	5	0	10000	10
default	OFFER_VASSALAGE_OR_CLIENT_STATE_TO_ENEMIES	-100	0	0	0	0	-100	-100	-100	-100	5	0	10000	10
default	OFFER_VASSALAGE_OR_CLIENT_STATE_TO_NEIGHBOURS	-100	0	0	0	0	-100	-100	-100	-100	5	0	10000	10
default	OFFER_VASSALAGE_OR_CLIENT_STATE_TO_PLAYER	-100	0	0	0	0	-100	-100	-100	-100	5	0	10000	10
default	PEACE	450	0	-50	0	0	100	150	300	150	5	0	10000	25
default	REQUEST_ALLY_TO_JOIN_WAR	50	0	-50	0	0	50	50	50	50	5	0	10000	10
default	REQUEST_BREAK_ALLIANCE_WITH_DISLIKED_FACTIONS	0	0	0	0	0	0	0	0	0	5	0	10000	10
default	REQUEST_BREAK_ALLIANCE_WITH_LIKED_FACTIONS	0	0	0	0	0	0	0	0	0	5	0	10000	10
default	REQUEST_BREAK_TREATY_WITH_DISLIKED_FACTIONS	0	0	0	0	0	0	0	0	0	5	0	10000	10
default	REQUEST_BREAK_TREATY_WITH_LIKED_FACTIONS	0	0	0	0	0	0	0	0	0	5	0	10000	10
default	TRADE_AGREEMENT	200	0	-200	0	0	200	200	200	200	5	0	10000	10
default	TREATIES_WITH_ALLIES_OF_ALLIES	200	0	-200	0	0	200	200	200	200	5	0	10000	10
default	TREATIES_WITH_ENEMIES_OF_ENEMIES	200	0	-200	0	0	200	200	200	200	5	0	10000	10
default	TREATIES_WITH_NEIGHBOURS	200	0	-200	0	0	200	200	200	200	5	0	10000	10
default	UPGRADE_TREATIES	200	0	-200	0	0	200	200	200	200	5	0	10000	10
passive	BREAK_TREATIES_WITH_DISLIKED_FACTIONS	10	0	0	0	0	90	60	25	35	5	0	10000	10
passive	DECLARE_WAR_ON_FACTIONS_I_DISLIKE	60	0	-260	0	0	260	240	160	190	5	0	10000	25
passive	DECLARE_WAR_ON_NEARBY_FACTIONS	60	0	-260	0	0	260	240	160	190	5	0	10000	25
passive	DEMAND_GIFTS_FROM_NEARBY_FACTIONS	-100	0	0	0	0	-100	-100	-100	-100	5	0	10000	100
passive	DEMAND_GIFTS_FROM_WEAKER_FACTIONS	-30	50	-30	0	0	-30	-30	-30	-30	5	0	10000	10
passive	DEMAND_VASSALAGE_OR_CLIENT_STATE_FROM_ENEMIES	60	0	-60	0	0	60	60	60	60	5	0	10000	10
passive	DIPLOMATIC_MARRIAGE	-100	0	-10	0	0	-100	-100	-100	-100	5	0	10000	10
passive	FORM_CONFEDERATION	-100	0	0	0	0	-100	-100	-100	-100	5	0	10000	10
passive	MILITARY_ACCESS	-100	0	-190	0	0	-100	-100	-100	-100	5	0	10000	10
passive	OFFER_GIFTS_TO_STRONGER_FACTIONS	-100	-30	-25	0	0	-100	-100	-100	-100	5	0	10000	10
passive	OFFER_TO_JOIN_ALLYS_WAR	-100	0	-90	0	0	-100	-100	-100	-100	5	0	10000	10
