effect_bonus_value_ids_unit_sets_tables
0
bonus_value_id	effect	unit_set
minimum_xp_gain_from_eligible_battle	minimum_xp_gain_from_eligible_battle	all_units
armour_mod	wh2_main_effect_armour_increase_dinosaurs	lzd_dinos
cost_mod	wh2_main_effect_building_recruitment_cost_reduction_brt_resource_animals	brt_monster_knights
cost_mod	wh2_main_effect_building_recruitment_cost_reduction_brt_resource_iron	brt_sword_inf
cost_mod	wh2_main_effect_building_recruitment_cost_reduction_brt_resource_iron	wh_dlc07_peasant_mob
cost_mod	wh2_main_effect_building_recruitment_cost_reduction_brt_resource_pastures	brt_horse_knights
cost_mod	wh2_main_effect_building_recruitment_cost_reduction_brt_resource_timber	brt_bow_cav
cost_mod	wh2_main_effect_building_recruitment_cost_reduction_brt_resource_timber	brt_bow_inf
cost_mod	wh2_main_effect_building_recruitment_cost_reduction_brt_resource_timber	brt_polearms
cost_mod	wh2_main_effect_building_recruitment_cost_reduction_brt_resource_timber	brt_spear_cav
cost_mod	wh2_main_effect_building_recruitment_cost_reduction_brt_resource_timber	brt_spear_inf
cost_mod	wh2_main_effect_building_recruitment_cost_reduction_brt_resource_timber	brt_trebuchets
cost_mod	wh2_main_effect_building_recruitment_cost_reduction_def_blackguard	def_blackguard
cost_mod	wh2_main_effect_building_recruitment_cost_reduction_def_executioners	def_executioners
cost_mod	wh2_main_effect_building_recruitment_cost_reduction_def_resource_animals	def_beasts
cost_mod	wh2_main_effect_building_recruitment_cost_reduction_def_resource_furs	def_beasts
cost_mod	wh2_main_effect_building_recruitment_cost_reduction_def_resource_iron	def_blackguard
cost_mod	wh2_main_effect_building_recruitment_cost_reduction_def_resource_iron	def_coldonechariots
cost_mod	wh2_main_effect_building_recruitment_cost_reduction_def_resource_iron	def_coldoneknights
cost_mod	wh2_main_effect_building_recruitment_cost_reduction_def_resource_iron	def_executioners
cost_mod	wh2_main_effect_building_recruitment_cost_reduction_def_resource_iron	def_swordmen
cost_mod	wh2_main_effect_building_recruitment_cost_reduction_def_resource_medicine	def_witchelves
cost_mod	wh2_main_effect_building_recruitment_cost_reduction_def_resource_pastures	def_darkriders
cost_mod	wh2_main_effect_building_recruitment_cost_reduction_def_resource_salt	def_corsairs
cost_mod	wh2_main_effect_building_recruitment_cost_reduction_def_resource_wood	def_boltthrowers
cost_mod	wh2_main_effect_building_recruitment_cost_reduction_def_resource_wood	def_crossbowmen
cost_mod	wh2_main_effect_building_recruitment_cost_reduction_def_resource_wood	def_shades
cost_mod	wh2_main_effect_building_recruitment_cost_reduction_def_resource_wood	def_spearmen
cost_mod	wh2_main_effect_building_recruitment_cost_reduction_hef_resource_animals	hef_dragons
cost_mod	wh2_main_effect_building_recruitment_cost_reduction_hef_resource_animals	hef_eagles
cost_mod	wh2_main_effect_building_recruitment_cost_reduction_hef_resource_animals	hef_phoenix
cost_mod	wh2_main_effect_building_recruitment_cost_reduction_hef_resource_furs	hef_whitelions
cost_mod	wh2_main_effect_building_recruitment_cost_reduction_hef_resource_iron	hef_chariots
cost_mod	wh2_main_effect_building_recruitment_cost_reduction_hef_resource_iron	hef_dragonprince
