variants_tables
5
variant_name	tech_folder	variant_file_name	low_poly_filename	mount_scale	scale	scale_variation
wh_dlc03_bst_bestigors		bst_bestigors	hu6\bst\bst_bestigors\low_poly\bst_bestigor_axe_lowlod	1	1.12	0.05
wh_dlc03_bst_centigors		bst_centigors	ce1/bst/bst_centigor/low_poly/bst_centigor_spear_shield_lowlod	1	1	0.05
wh_dlc03_bst_centigors_great_weapons		bst_centigors_great_weapons	ce1/bst/bst_centigor/low_poly/bst_centigor_great_spear_lowlod	1	1	0.05
wh_dlc03_bst_centigors_throwing_axes		bst_centigors_throwing_axes	ce1/bst/bst_centigor/low_poly/bst_centigor_spear_axe_lowlod	1	1	0.05
wh_dlc03_bst_ch_beastlords		bst_beastlords		1	1.13	0.05
wh_dlc03_bst_ch_bray_shaman		bst_bray_shaman		1	1.05	0.05
wh_dlc03_bst_ch_gorebull		bst_gorebulls		1	1.27	0
wh_dlc03_bst_ch_khazrak		bst_ch_khazrak		1	1.22	0
wh_dlc03_bst_chaos_spawn		bst_chaos_spawn	hc02\bst\bst_chaos_spawn\low_poly\bst_chaos_spawn_lowlod	1	0.8	0
wh_dlc03_bst_chaos_warhounds		bst_chaos_warhounds	wf1\bst\bst_warhounds\low_poly\bst_warhound_lowlod	1	1	0.05
wh_dlc03_bst_chaos_warhounds_poison		bst_chaos_warhounds_poison	wf1\chs\chs_warhounds_poison\low_poly\chs_warhound_poison_lowlod	1	1.35	0.05
wh_dlc03_bst_gors		bst_gors	hu\bst\bst_gor\low_poly\bst_gor_lowlod	1	1.06	0.05
wh_dlc03_bst_gors_dual_axes		bst_gors_dual_axes	hu6\bst\bst_gor\low_poly\bst_gor_axe_axe_lowlod	1	1.06	0.05
wh_dlc03_bst_gors_shields		bst_gors_shields	hu6\bst\bst_gor\low_poly\bst_gor_axe_shield_lowlod	1	1.06	0.05
wh_dlc03_bst_malagor		bst_ch_malagor		1	1.1	0
wh_dlc03_bst_minotaurs		bst_minotaurs	hu12\bst\bst_minotaurs\low_poly\bst_minotaur_axe_axe_lowlod	1	1.12	0
wh_dlc03_bst_minotaurs_great_weapons		bst_minotaurs_great_weapons	hu12\bst\bst_minotaurs\low_poly\bst_minotaur_lowlod	1	1.12	0
wh_dlc03_bst_minotaurs_shields		bst_minotaurs_shields	hu12\bst\bst_minotaurs\low_poly\bst_minotaur_axe_shield_lowlod	1	1.12	0
wh_dlc03_bst_ungor_raiders		bst_ungor_raiders	hu6b\bst\bst_ungor\low_poly\bst_ungor_lowlod	1	1.04	0.05
wh_dlc03_bst_ungor_spearmen		bst_ungor_spearmen	hu6b\bst\bst_ungor\low_poly\bst_ungor_spear_lowlod	1	1.04	0.05
wh_dlc03_bst_ungor_spearmen_shields		bst_ungor_spearmen_shield	hu6b\bst\bst_ungor\low_poly\bst_ungor_spear_shield_lowlod	1	1.04	0.05
wh_dlc03_bst_ungors_shield		bst_ungors_shield	hu6b\bst\bst_ungor\low_poly\bst_ungor_axe_shield_lowlod	1	1.04	0.05
